Core,Water depth,Species,Core depth (cm),Age (ka),d18Ob,d18Ob (Uvigerina scale),d13C,3Point
B16,1533,C.wuellerstorfi,0,2.16,3.79,4.43,,
B17,2217,C.wuellerstorfi,0,2.77,3.59,4.23,,4.4
B16,1533,C.wuellerstorfi,1,3.47,3.9,4.54,,4.36
B17,2217,C.wuellerstorfi,1,3.69,3.67,4.31,,4.39
HLY-18TC,2598,C.wuellerstorfi,0,4.15,3.69,4.33,,4.28
P30,765,C. teretis,1,4.48,3.57,4.21,1.42,4.29
HLY-18TC,2598,C.wuellerstorfi,1,4.5,3.69,4.33,,4.27
B17,2217,C.wuellerstorfi,2,4.61,3.65,4.29,,4.4
B16,1533,C.wuellerstorfi,2,4.77,3.95,4.59,,4.52
B17,2217,C.wuellerstorfi,3,5.53,4.05,4.69,,4.55
HLY-18TC,2598,C.wuellerstorfi,4,5.55,3.72,4.36,,4.56
P39,1470,C. teretis,1,5.8,3.99,4.63,0.87,4.51
B16,1533,C.wuellerstorfi,3,6.08,3.9,4.54,,4.53
HLY-18TC,2598,C.wuellerstorfi,6,6.26,3.76,4.4,,4.48
B17,2217,C.wuellerstorfi,4,6.45,3.86,4.5,,4.37
P40,700,C. teretis,4,6.46,3.56,4.2,0.61,4.37
HLY-18TC,2598,C.wuellerstorfi,8,6.96,3.78,4.42,,4.36
B17,2217,C.wuellerstorfi,5,7.37,3.81,4.45,,4.54
B16,1533,C.wuellerstorfi,4,7.38,4.11,4.75,,4.59
HLY-18TC,2598,C.wuellerstorfi,10,7.66,3.92,4.56,,4.64
P15,2627,C. wuellerstorfi,5.5,7.72,3.98,4.62,1.44,4.56
B17,2217,C.wuellerstorfi,6,8.31,3.86,4.5,,4.58
HLY-18TC,2598,C.wuellerstorfi,12,8.36,3.99,4.63,,4.56
B16,1533,C.wuellerstorfi,5,8.69,3.92,4.56,,4.64
HLY-18TC,2598,C.wuellerstorfi,14,9.06,4.09,4.73,,4.61
B17,2217,C.wuellerstorfi,7,9.25,3.9,4.54,,4.61
HLY-18TC,2598,C.wuellerstorfi,16,9.76,3.92,4.56,,4.62
B16,1533,C.wuellerstorfi,7,10.13,4.13,4.77,,4.67
B17,2217,C.wuellerstorfi,8,10.18,4.04,4.68,,4.71
HLY-18TC,2598,C.wuellerstorfi,18,10.46,4.04,4.68,,4.57
P15,2627,C. wuellerstorfi,7.5,10.53,3.7,4.34,1.42,4.45
B16,1533,C.wuellerstorfi,8,10.55,3.71,4.35,,4.48
B16,1533,C.wuellerstorfi,9,10.97,4.13,4.77,,4.68
B17,2217,C.wuellerstorfi,9,11.12,4.3,4.94,,4.77
HLY-18TC,2598,C.wuellerstorfi,20,11.16,3.97,4.61,,4.78
B16,1533,C.wuellerstorfi,10,11.39,4.15,4.79,,4.59
P40,700,C. teretis,10.5,11.45,3.73,4.37,0.77,4.61
B16,1533,C.wuellerstorfi,11,11.82,4.02,4.66,,4.5
HLY-18TC,2598,C.wuellerstorfi,22,11.86,3.83,4.47,,4.7
B17,2217,C.wuellerstorfi,10,12.06,4.34,4.98,,4.73
HLY-18TC,2598,C.wuellerstorfi,23,12.21,4.09,4.73,,4.86
B16,1533,C.wuellerstorfi,12,12.24,4.22,4.86,,4.69
HLY-18TC,2598,C.wuellerstorfi,24,12.56,3.85,4.49,,4.7
B16,1533,C.wuellerstorfi,13,12.66,4.12,4.76,,4.67
HLY-18TC,2598,C.wuellerstorfi,25,12.91,4.13,4.77,,4.75
HLY-18TC,2598,C.wuellerstorfi,26,13.26,4.07,4.71,,4.66
P15,2627,C. wuellerstorfi,9.5,13.33,3.87,4.51,1.5,4.72
B17,2217,C.wuellerstorfi,11,14.07,4.3,4.94,,4.79
B17,2217,C.wuellerstorfi,12,16.08,4.29,4.93,,4.77
P9,1400,C. wuellerstorfi,17.75,17.09,3.81,4.45,1.05,4.68
B17,2217,C.wuellerstorfi,13,18.08,4.03,4.67,,4.56
HLY-18TC,2598,C.wuellerstorfi,28,18.34,3.93,4.57,,4.61
B16,1533,C.wuellerstorfi,14,19.22,3.94,4.58,,4.61
B17,2217,C.wuellerstorfi,14,20.09,4.04,4.68,,4.63
B17,2217,C.wuellerstorfi,15,22.1,3.99,4.63,,4.54
P21,1470,O. tener,2.5,22.47,3.67,4.31,0.66,4.53
B17,2217,C.wuellerstorfi,16,24.11,3.99,4.63,,4.47
P9,1400,O.tener,28.25,24.8,3.83,4.47,0.8,4.58
B17,2217,C.wuellerstorfi,17,26.12,4.02,4.66,,4.67
HLY-18TC,2598,C.wuellerstorfi,29,26.27,4.26,4.9,,4.76
HLY-18TC,2598,C.wuellerstorfi,30,28.5,4.08,4.72,,4.7
P15,2627,C. wuellerstorfi,20.5,28.77,3.83,4.47,1.65,4.61
B17,2217,C.wuellerstorfi,18,30.13,4.01,4.65,,4.55
P15,2627,C. wuellerstorfi,22.5,31.58,3.9,4.54,1.13,4.72
B17,2217,C.wuellerstorfi,19,32.14,4.32,4.96,,4.73
B17,2217,C.wuellerstorfi,20,33.51,4.06,4.7,,4.75
B16,1533,C.wuellerstorfi,17,34.35,3.96,4.6,,4.67
B17,2217,C.wuellerstorfi,21,34.88,4.07,4.71,,4.71
B16,1533,C.wuellerstorfi,18,35.58,4.18,4.82,,4.65
P21,1470,C. wuellerstorfi,17.5,36.06,3.78,4.42,1.43,4.54
B17,2217,C.wuellerstorfi,22,36.26,3.75,4.39,,4.5
B16,1533,C.wuellerstorfi,19,36.8,4.05,4.69,,4.59
P9,1400,C. wuellerstorfi,44.75,36.91,4.05,4.69,1.54,4.62
P30,765,C. teretis,49.5,37.45,3.83,4.47,1.76,4.61
B17,2217,C.wuellerstorfi,23,37.63,4.03,4.67,,4.19
P21,1470,O. tener,19.5,37.87,2.8,3.44,0.81,4.29
P9,1400,C. wuellerstorfi,46.25,38.02,4.13,4.77,1.56,4.4
B16,1533,C.wuellerstorfi,20,38.03,4.35,4.99,,4.54
P21,1470,O. tener,20.5,38.77,3.21,3.85,0.27,4.43
B17,2217,C.wuellerstorfi,24,39,3.81,4.45,,4.38
B16,1533,C.wuellerstorfi,21,39.26,4.18,4.82,,4.48
P15,2627,O.tener,28.5,40,3.54,4.18,1.15,4.49
B17,2217,C.wuellerstorfi,25,40.35,3.83,4.47,,4.41
B16,1533,C.wuellerstorfi,22,40.48,3.95,4.59,,4.41
P21,1470,O. tener,23.5,41.49,3.52,4.16,1.08,4.26
P39,1470,O.tener,48,42.91,3.4,4.04,1.48,3.91
P40,700,C. teretis,53,44.06,2.91,3.55,1.1,3.97
P39,1470,C. teretis,54,47.64,3.67,4.31,1.45,4
P40,700,C. teretis,60,49.43,3.5,4.14,1.65,4.17
P21,1470,O. tener,32.5,49.64,3.43,4.07,0.89,4.28
P15,2627,C. wuellerstorfi,35.5,49.82,3.99,4.63,1.4,4.38
P21,1470,C. wuellerstorfi,34.5,51.45,3.79,4.43,1.43,4.5
P21,1470,C. teretis,36.5,53.26,3.78,4.42,1.5,4.35
P39,1470,C. teretis,62,53.96,3.57,4.21,1.3,4.33
P40,700,C. teretis,67,54.8,3.72,4.36,1.43,4.23
P15,2627,O.tener,39.5,55.44,3.48,4.12,1.78,4.32
P15,2627,C. wuellerstorfi,43.5,61.05,3.83,4.47,1.1,4.2
P15,2627,O.tener,45.5,63.86,3.37,4.01,2.2,4.31
P15,2627,C. wuellerstorfi,47.5,66.67,3.8,4.44,0.53,4.29
P15,2627,O.tener,47.5,66.67,3.77,4.41,2.58,4.4
P15,2627,O.tener,49.5,69.47,3.7,4.34,2.71,4.22
P39,1470,C. teretis,84,71.33,3.26,3.9,1.02,4.1
P39,1470,O.tener,84,71.33,3.41,4.05,1,4.18
P15,2627,O.tener,51.5,72.28,3.95,4.59,2.57,4.37
P21,1470,C. teretis,59.5,74.09,3.73,4.48,1.94,4.42
P39,1470,O.tener,91,76.85,3.55,4.19,1,4.31
P39,1470,C. teretis,91,76.85,3.62,4.26,1.02,4.29
P21,1470,O. tener,63.6,77.8,3.79,4.43,1.24,4.34
P21,1470,O. tener,65.5,79.52,3.68,4.32,0.72,4.49
P39,1470,C. teretis,98,82.38,4.08,4.72,0.83,4.53
P15,2627,O.tener,60.5,84.91,3.91,4.55,1.92,4.7
P30,765,C. teretis,131,87.14,4.18,4.82,0.8,4.62
P15,2627,C. wuellerstorfi,62.5,87.72,3.84,4.48,1.62,4.62
P40,700,C. teretis,111,88.57,3.92,4.56,1.82,4.3
P30,765,C. teretis,136,90.19,3.22,3.86,0.77,4.25
P15,2726,O.tener,64.5,90.53,3.68,4.32,1.8,4.17
P40,700,C. teretis,114,90.87,3.7,4.34,1.76,4.31
P30,765,C. teretis,138,91.4,3.62,4.26,1.34,4.32
P30,765,C. teretis,139,92.01,3.72,4.36,1.38,4.38
P15,2726,C. wuellerstorfi,66.5,93.33,3.87,4.51,2.06,4.59
P39,1470,C. teretis,113,94.22,4.26,4.9,0.28,4.58
P30,765,C. teretis,143,94.45,3.68,4.32,1.36,4.5
P30,765,C. teretis,150,98.72,3.64,4.28,1.41,4.39
P30,765,C. teretis,151,99.33,3.93,4.57,0.99,4.38
P39,1470,C. teretis,121,100.54,3.65,4.29,1.68,4.44
P9,1400,C. wuellerstorfi,133.25,101.89,3.8,4.44,1.42,4.43
P9,1400,C. wuellerstorfi,134.75,102.99,3.91,4.55,1.55,4.52
P9,1400,C. wuellerstorfi,135.75,103.73,3.93,4.57,1.6,4.58
P9,1400,C. wuellerstorfi,136.25,104.09,3.96,4.6,1.59,4.74
P39,1470,C. teretis,126,104.49,4.4,5.04,0.94,4.72
P9,1400,C. wuellerstorfi,139.25,106.3,3.87,4.51,1.5,4.69
P9,1400,C. wuellerstorfi,141.5,107.95,3.9,4.54,1.49,4.48
P21,1470,C. wuellerstorfi,97.5,108.5,3.75,4.39,1.54,4.5
P9,1400,C. wuellerstorfi,143.75,109.6,3.93,4.57,1.41,4.35
P30,765,C. teretis,169,110.3,3.45,4.09,0.82,4.42
P9,1400,C. wuellerstorfi,144.75,110.33,3.97,4.61,1.26,4.39
P15,2726,C. wuellerstorfi,79.5,111.58,3.83,4.47,1.63,4.48
P40,700,C. teretis,141,111.59,3.73,4.37,2.06,4.46
P9,1400,C. wuellerstorfi,146.75,111.8,3.9,4.54,1.37,4.46
P40,700,C. teretis,144,113.89,3.83,4.47,2.28,4.48
P30,765,C. teretis,177,115.18,3.79,4.43,1.16,4.48
P9,1400,C. teretis,152.75,116.21,3.9,4.54,1.38,4.45
P40,700,C. teretis,148,116.96,3.74,4.38,2.03,4.42
P30,765,C. teretis,188,121.88,3.7,4.34,1.38,4.3
P21,1470,C. teretis,112.5,122.08,3.56,4.2,0.56,4.34
P40,700,C. teretis,155,122.34,3.85,4.49,2.27,4.33
P30,765,C. teretis,189,122.49,3.66,4.3,1.57,4.13
P21,1470,C. wuellerstorfi,114.5,123.89,2.95,3.59,0.79,4.02
P21,1470,C. wuellerstorfi,114.5,123.89,3.53,4.17,0.46,4.04
P9,1400,C. teretis,177.75,133.19,3.72,4.36,1.6,4.29
P15,2726,C. wuellerstorfi,95.5,134.03,3.69,4.33,1.03,4.31
P9,1400,C. teretis,178.75,134.45,3.59,4.23,1.59,4.29
P9,1400,C. teretis,180.25,136.35,3.67,4.31,1.68,4.15
P40,700,C. teretis,180,156.15,3.28,3.92,1.19,4.2
P39,1470,C. teretis,156,156.34,3.75,4.39,1.04,4.06
P40,700,C. teretis,181.5,158.77,3.23,3.87,0.99,4.04
P40,700,C. teretis,182,159.64,3.22,3.86,1.08,3.95
P30,765,C. teretis,266,169.43,3.48,4.12,1.12,3.99
P40,700,C. teretis,188,170.1,3.36,4,0.74,4.14
P30,765,C. teretis,270,171.87,3.67,4.31,1.48,3.99
P30,765,C. teretis,272,173.09,3.01,3.65,1.91,3.95
P30,765,C. teretis,274,174.31,3.26,3.9,1.31,4.08
P39,1470,C. teretis,166,179.51,4.06,4.7,-0.73,4.28
P30,765,C. teretis,292,185.28,3.59,4.23,1.67,4.22
P30,765,C. teretis,298,188.94,3.09,3.73,1.32,4.04
P30,765,C. teretis,302,191.38,3.52,4.16,1.55,4.06
P30,765,C. teretis,305,193.21,3.65,4.29,1.63,3.94
P15,2726,C. wuellerstorfi,138.5,194.38,2.74,3.38,0.26,3.67
P15,2726,C. wuellerstorfi,140.5,197.19,2.71,3.35,0.14,3.66
P39,1470,C. teretis,174,198.04,3.61,4.25,0.4,3.72
P30,765,C. teretis,315,199.3,2.92,3.56,1.29,3.85
P15,2726,C. wuellerstorfi,142.5,200,3.11,3.75,0.22,3.73
P15,2726,C. wuellerstorfi,144.5,202.81,3.24,3.88,0.37,3.86
P30,765,C. teretis,322,203.57,3.3,3.94,1.08,4.11
P9,1400,C. wuellerstorfi,242.75,215.33,3.88,4.52,1.82,4.38
P9,1400,C. wuellerstorfi,244.25,217.23,4.05,4.69,1.88,4.36
P9,1400,C. wuellerstorfi,250.75,225.44,3.21,3.85,1.52,4.22
P30,765,C. teretis,363,228.56,3.47,4.11,1.37,3.9
P30,765,C. teretis,367,231,3.1,3.74,0.95,4.07
P40,700,C. teretis,218,232.38,3.73,4.37,0.97,4.09
P30,765,C. teretis,371,233.44,3.52,4.16,1.22,4.27
P9,1400,C. teretis,259.25,236.19,3.64,4.28,1.02,4.24
P30,765,C. teretis,377,237.1,3.63,4.27,1.26,4.33
P9,1400,C. wuellerstorfi,262.25,239.98,3.81,4.45,1.47,4.35
P9,1400,C. teretis,263.75,241.87,3.7,4.34,1.55,4.36
P9,1400,C. teretis,265.25,243.77,3.66,4.3,1.12,4.37
P30,765,C. teretis,389,244.41,3.85,4.49,0.75,4.35
P40,700,C. teretis,225,247.55,3.63,4.27,1.34,4.39
P21,1470,C. teretis,171.5,272.54,3.77,4.41,0.23,4.35
P21,1470,C. teretis,173.5,277.86,3.74,4.38,0.44,4.39
P30,765,C. teretis,477,298.06,3.75,4.39,1.22,4.59
P9,1400,C. wuellerstorfi,311.5,300.99,4.35,4.99,1.2,4.53
P40,700,C. teretis,255,303.12,3.56,4.2,1.43,4.56
P9,1400,C. wuellerstorfi,318.75,303.8,3.86,4.5,1.58,4.49
P9,1400,C. wuellerstorfi,321.75,304.97,4.14,4.78,1.2,4.63
P9,1400,C. wuellerstorfi,327.75,307.3,3.98,4.62,1.29,4.65
P9,1400,C. wuellerstorfi,328.75,307.69,3.91,4.55,1.22,4.56
P9,1400,C. wuellerstorfi,329.25,307.88,3.87,4.51,1.3,4.34
P40,700,C. teretis,262,308.18,3.3,3.94,1.34,4.29
P9,1400,C. wuellerstorfi,330.75,308.47,3.79,4.43,0.98,4.26
P9,1400,C. wuellerstorfi,332.25,309.05,3.77,4.41,0.96,4.41
P30,765,C. teretis,501,312.69,3.73,4.37,0.72,4.33
P30,765,C. teretis,505,315.13,3.56,4.2,1.44,4.15
P39,1470,C. teretis,225,316.2,3.23,3.87,0.87,4.09
P30,765,C. teretis,509,317.57,3.56,4.2,1.47,4.14
P30,765,C. teretis,512,319.39,3.7,4.34,1.38,4.25
P30,765,C. teretis,525,327.32,3.57,4.21,0.87,4.36
P9,1400,C. teretis,380.25,327.7,3.89,4.53,0.38,4.33
P30,765,C. teretis,526,327.93,3.61,4.25,1.11,4.44
P9,1400,C. teretis,381.75,328.28,3.91,4.55,0.07,4.37
P30,765,C. teretis,529,329.76,3.66,4.3,1.17,4.32
P9,1400,C. teretis,395.75,333.72,3.46,4.1,0.84,4.12
P9,1400,C. teretis,396.75,334.11,3.34,3.98,0.38,4.06
P30,765,C. teretis,547,345.18,3.47,4.11,0.68,4.16
P21,1470,C. teretis,204.5,360.3,3.74,4.38,1.48,4.31
P40,700,C. teretis,344,367.42,3.79,4.43,1.18,4.35
P21,1470,C. teretis,208.5,370.93,3.61,4.25,1.43,4.29
P39,1470,C. teretis,274,371.5,3.55,4.19,0.21,4.1
P40,700,C. teretis,351,372.48,3.24,3.88,0.88,4.12
P15,2726,C. wuellerstorfi,267.5,375.44,3.67,4.31,1.42,4.18
P21,1470,C. teretis,210.5,376.25,3.7,4.34,1.49,4.37
P39,1470,C. teretis,281,377.36,3.82,4.46,0,4.36
P40,700,C. teretis,358,377.54,3.62,4.26,1.23,4.37
P15,2726,C. wuellerstorfi,269.5,378.24,3.76,4.4,1.49,4.3
P15,2726,C. wuellerstorfi,271.5,381.05,3.59,4.23,1.46,4.38
P21,1470,C. teretis,212.5,381.57,3.88,4.52,0.4,4.33
P40,700,C. teretis,364.5,382.23,3.59,4.23,1.02,4.32
P15 ,2726,C. wuellerstorfi,273.5,383.86,3.57,4.21,1.44,4.23
P40,700,C. teretis,368,384.76,3.63,4.27,1.2,4.23
P40,700,C. teretis,370.5,386.57,3.57,4.21,1.09,4.28
P15 ,2726,C. wuellerstorfi,275.5,386.66,3.72,4.36,1.37,4.29
P30,765,C. teretis,583,386.8,3.67,4.31,0.77,4.35
P21,1470,C. teretis,214.5,386.89,3.74,4.38,0.32,4.25
P40,700,C. teretis,372.5,388.01,3.41,4.05,0.92,4.24
P30,765,C. teretis,585,389.12,3.65,4.29,1.06,4.05
P40,700,C. teretis,374.5,389.46,3.17,3.81,0.44,4.16
P15 ,2726,C. wuellerstorfi,277.5,389.47,3.76,4.4,1.4,4.12
P9,1400,C. teretis,416.75,390.2,3.51,4.15,0.45,4.3
P21,1470,C. teretis,216.5,392.21,3.71,4.35,0.47,4.21
