depth,calyrBP ,d18Oforams-b,sst-uk37,uk37,notes
25,3500,,11.1,0.418,1020C 1H-1 25
50,5300,,10.7,0.403,1020C 1H-1 50
75,7000,,10.55,0.375,1020C 1H-1 75
77,7120,3.64,,,1020C 1H-1 77
97,8320,3.69,,,1020C 1H-1 97
100,8500,,10.8,0.407,1020C 1H-1 100
125,9829.8,,10.3,0.39,1020C 1H-1 125
137,10468.1,4.16,,,1020C 1H-1 137
151,11212.8,,8.3,0.32,1020C 1H-2 0
157,11531.9,4.51,,,1020C 1H-2 7
175,12489.4,,8.7,0.335,1020C 1H-2 25
197,13659.6,4.64,,,1020C 1H-2 47
200,13819.1,,8.4,0.326,1020C 1H-2 50
217,14723.4,4.75,,,1020C 1H-2 67
225,15148.9,,6.83,0.272,1020C 1H-2 75
250,16478.7,,9.75,0.37,1020C 1H-2 100
257,16851.1,5.08,,,1020C 1H-2 107
275,17808.5,,6.8,0.27,1020C 1H-2 125
277,17914.9,5.14,,,1020C 1H-2 127
291,18659.6,5.235,,,1020D 1H-2 127
311,19723.4,5.185,,,1020D 1H-2 147
315,19936.2,,6.5,0.258,1020D 1H-3 0
317,20042.6,5.12,,,1020C 1H-3 17
331,20787.2,5.3,,,1020D 1H-3 17
337,21173.9,5.1,,,1020C 1H-3 37
340,21434.8,,5.9,0.239,1020D 1H-3 25
351,22391.3,5.115,,,1020D 1H-3 37
365,23608.7,,6.1,0.246,1020D 1H-3 50
371,24130.4,4.735,,,1020D 1H-3 57
377,24652.2,5.035,,,1020C 1H-3 77
390,25782.6,,5.6,0.23,1020D 1H-3 75
391,25869.6,5.13,,,1020D 1H-3 77
397,26391.3,4.95,,,1020C 1H-3 97
411,27608.7,5.075,,,1020D 1H-3 97
415,27956.5,,7.1,0.28,1020D 1H-3 100
440,30130.4,,6.1,0.248,1020D 1H-3 125
451,31087.5,4.53,,,1020D 1H-3 137
459,31787.9,,5.6,0.228,1020D 1H-3 144
465,32313.2,,5.1,0.212,1020D 1H-4 0
471,32838.5,4.87,,,1020D 1H-4 7
490,34501.9,,5.8,0.238,1020D 1H-4 25
511,36340.4,4.78,,,1020D 1H-4 47
515,36690.6,,6.6,0.264,1020D 1H-4 50
531,38091.3,4.725,,,1020D 1H-4 67
540,38879.2,,6.1,0.248,1020D 1H-4 75
551,39842.3,4.79,,,1020D 1H-4 87
565,41067.9,,7.2,0.284,1020D 1H-4 100
571,41593.2,4.87,,,1020D 1H-4 107
590,43256.6,,6.8,0.269,1020D 1H-4 125
591,43344.2,4.865,,,1020D 1H-4 127
605,44569.8,4.72,,,1020C 2H-1 17
614,45357.7,,7.4,0.29,1020D 1H-5 0
625,46320.8,4.64,,,1020C 2H-1 37
631,46846,4.775,,,1020D 1H-5 17
638,47458.9,,7.4,0.292,1020D 1H-5 25
645,48071.7,4.555,,,1020C 2H-1 57
651,48597,4.55,,,1020D 1H-5 37
663,49647.5,,7.5,0.294,1020C 2H-1 75
664,49735.1,,7.4,0.291,1020D 1H-5 50
665,49822.6,4.75,,,1020C 2H-1 77
671,50347.9,5.035,,,1020D 1H-5 57
685,51573.6,4.83,,,1020C 2H-1 97
688,51836.2,,7.5,0.293,1020C 2H-1 100
705,53324.5,4.725,,,1020C 2H-1 117
713,54024.9,,8.7,0.336,1020C 2H-1 125
725,54783.8,4.595,,,1020C 2H-1 137
738,55542.7,,7.8,0.303,1020C 2H-2 0
763,57002.2,,8,0.312,1020C 2H-2 25
788,58461.6,,7.7,0.302,1020C 2H-2 50
813,59921.1,,7.1,0.282,1020C 2H-2 75
838,61380.5,,6.6,0.262,1020C 2H-2 100
863,62840,,7.2,0.284,1020C 2H-2 125
888,64299.5,,6.7,0.268,1020C 2H-3 0
905,65408.9,4.855,,,1020C 2H-3 17
913,66063.1,,7.3,0.288,1020C 2H-3 25
925,67044.4,4.83,,,1020C 2H-3 37
938,68107.6,,7.2,0.285,1020C 2H-3 50
945,68680,4.72,,,1020C 2H-3 57
963,70152,,8.9,0.342,1020C 2H-3 75
965,70315.6,4.585,,,1020C 2H-3 77
985,71951.1,4.415,,,1020C 2H-3 97
988,72196.4,,8,0.31,1020C 2H-3 100
1005,73586.7,4.47,,,1020C 2H-3 117
1013,74240.9,,7.3,0.287,1020C 2H-3 125
1025,75222.2,4.415,,,1020C 2H-3 137
1039,76367.1,,8.2,0.318,1020C 2h-4 0
1046,76939.6,4.43,,,1020C 2H-4 7
1063,78329.8,,8.3,0.322,1020C 2H-4 25
1065,78493.3,4.2,,,1020C 2H-4 27
1085,80128.9,4.14,,,1020C 2H-4 47
