depth,calyrBP ,d18Ocarb,d18Owater,Mg/Ca-g.rub-w,sst-mg/ca
1,3520,-1.86,0.84,4.14,28.2
4,3860,-1.85,0.87,4.161,28.3
6,4080,-1.81,0.85,4.062,28
9,4410,-1.77,0.89,4.057,28
11,4630,-2.01,0.76,4.253,28.5
13,4860,-1.91,0.84,4.229,28.5
16,5190,-1.83,0.77,3.967,27.8
21,5750,-1.87,0.84,4.147,28.3
26,6780,-1.65,1.06,4.155,28.3
31,7820,-1.75,0.95,4.145,28.3
38,9280,-1.41,1.15,3.891,27.6
43,10320,-1.2,1.34,3.854,27.4
48,11650,-0.95,1.48,3.672,26.9
53,12960,-0.83,1.63,3.718,27.1
56,13750,-0.62,1.89,3.808,27.3
61,15070,-0.56,1.96,3.819,27.3
66,16380,-0.3,2.15,3.712,27
71,17260,-0.18,2.17,3.537,26.5
76,18140,-0.05,2.18,3.373,26
81,19010,-0.1,2.11,3.347,25.9
86,19890,0.02,2.34,3.509,26.4
91,20770,-0.26,1.87,3.225,25.5
96,21650,0.07,2.29,3.351,25.9
101,22250,-0.23,2.11,3.537,26.5
106,23310,0.03,2.32,3.458,26.2
111,24370,-0.08,2.23,3.495,26.4
116,25430,-0.17,2.04,3.334,25.8
121,26490,-0.32,1.94,3.409,26.1
126,27550,-0.31,2.13,3.7,27
131,28610,-0.37,2.01,3.594,26.7
136,29670,-0.33,1.96,3.471,26.3
141,30070,-0.39,1.87,3.415,26.1
146,30480,-0.3,2.02,3.5,26.4
153,32210,-0.51,1.86,3.576,26.6
156,32950,-0.37,1.93,3.48,26.3
161,34190,-0.61,1.8,3.638,26.8
166,35430,-0.63,1.7,3.526,26.5
171,36670,-0.64,1.7,3.542,26.5
176,37900,-0.64,1.49,3.225,25.5
181,39140,-0.56,1.8,3.571,26.6
188,40880,-0.52,1.69,3.335,25.8
193,42110,-0.69,1.58,3.429,26.1
196,42860,-0.62,1.49,3.204,25.4
201,44100,-0.66,1.46,3.209,25.4
206,45330,-0.75,1.44,3.315,25.8
211,46570,-0.65,1.61,3.409,26.1
216,47810,-0.72,1.57,3.456,26.2
221,49050,-0.71,1.57,3.444,26.2
226,50290,-0.69,1.6,3.47,26.3
231,51520,-0.7,1.45,3.259,25.6
236,52760,-0.76,1.63,3.62,26.8
241,54000,-0.85,1.43,3.447,26.2
246,55240,-0.93,1.43,3.56,26.6
251,56480,-0.74,1.55,3.463,26.3
256,57710,-0.47,1.82,3.47,26.3
261,58950,-0.52,1.73,3.401,26.1
266,60190,-0.54,1.79,3.529,26.5
271,61430,-0.58,1.78,3.568,26.6
276,62670,-0.55,1.92,3.752,27.2
281,63900,-0.44,2.04,3.765,27.2
286,65140,-0.43,2.13,3.892,27.6
291,66380,-0.37,2.09,3.727,27.1
296,67620,-0.79,1.69,3.756,27.2
303,69350,-0.69,1.75,3.689,27
306,70100,-0.87,1.56,3.686,27
311,71330,-0.89,1.5,3.62,26.8
316,72570,-1.1,1.3,3.632,26.8
321,73810,-1.19,1.09,3.44,26.2
326,75050,-1.24,1.27,3.807,27.3
331,76290,-1.16,1.2,3.57,26.6
338,78020,-1.15,1.06,3.348,25.9
343,79260,-1.16,1.06,3.35,25.9
346,80000,-1.32,0.91,3.365,25.9
351,81500,-1.35,0.98,3.514,26.4
356,83000,-1.27,1.1,3.581,26.6
361,84500,-1.45,0.87,3.498,26.4
366,86000,-1.15,1.25,3.635,26.8
371,87500,-1.23,1.22,3.71,27
376,89000,-0.9,1.63,3.839,27.4
381,90650,-1.09,1.35,3.698,27
386,92300,-1.08,1.23,3.496,26.4
392,93920,-1.25,1.06,3.487,26.3
396,95000,-1.24,1.16,3.634,26.8
401,96500,-1.34,1.09,3.683,26.9
406,98000,-1.37,1.05,3.666,26.9
411,99180,-1.34,1.04,3.594,26.7
416,100350,-1.35,1.23,3.927,27.7
421,101530,-1.31,1.08,3.614,26.7
426,102710,-1.32,1.29,3.974,27.8
431,103880,-1.35,1,3.554,26.5
436,105060,-1.33,1.09,3.662,26.9
441,106240,-1.58,0.72,3.477,26.3
453,109060,-1.29,0.96,3.406,26.1
457,110000,-1.05,1.32,3.584,26.6
461,110980,-1.31,0.95,3.409,26.1
465,111960,-1.34,1.04,3.601,26.7
470,113180,-1.33,0.97,3.477,26.3
476,114650,-1.53,0.85,3.593,26.7
481,115880,-1.7,0.76,3.722,27.1
488,117590,-1.85,0.73,3.931,27.7
493,118820,-1.96,0.51,3.746,27.1
498,120040,-1.88,0.78,4.053,28
503,121440,-1.74,0.95,4.107,28.2
506,123890,-2.07,0.8,4.453,29.1
511,126100,-1.83,0.97,4.311,28.7
517,128600,-1.68,1.3,4.655,29.5
522,130750,-1.76,1.15,4.516,29.2
526,131800,-1.51,1.26,4.26,28.6
531,132800,-0.89,1.67,3.88,27.5
537,133200,-0.55,2.08,4.01,27.9
542,135100,-0.54,1.97,3.81,27.3
547,135900,-0.24,1.95,3.32,25.8
