"Taxa","Specific Leaf Area","std.error","Leaf Lifespan","std.error","Max Plant Height","std.error","Max Plant Longevity","std.error","Seed Mass","std.error","Whole Plant Growth Form","Whole Plant Woodiness","Obs num","Error"
"Abies","6.99872907358298",1.6475811283447,"103",7,"14.6436749576567",0.0151423800085011,"",,"22.28828",11.734576997847,"tree","woody",904889,
"Acacia","15.343625",1.77400430762784,"",,"5.53908769716088",0.0755936140543597,"",,"42.532",17.6942652856794,"liana, shrub, tree","herbaceous, woody",12203,
"Acalypha","",,"",,"4.53333333333333",1.98774020211674,"",,"",,"herb, shrub, tree","herbaceous, woody",694,
"Acer","22.3295534510022",0.459015854238148,"5.2675",0.155100773692461,"15.6215453942561",0.00663894968937571,"",,"55.7207578571429",11.4666338532707,"shrub, tree","woody",2226459,
"Agave","",,"",,"",,"",,"11.3955",1.2995,"shrub","herbaceous, woody",166,
"Alnus","14.2656607503333",4.30894295143792,"",,"17.4194474954725",0.0551339858032719,"",,"0.601263615384615",0.10952501226213,"shrub, tree","woody",35123,
"Alternanthera","",,"",,"0.17",0.0650640709864771,"",,"0.386735083333333",0.0398031788705866,"herb, shrub, vine","herbaceous",125,
"Amaranthaceae","14.594098",3.28298855121732,"",,"2.88214285714286",1.65333169410673,"",,"1.14990726315789",0.345202822624578,"herb, liana, shrub, tree","herbaceous, woody",6309,
"Ambrosia","12.6833333333333",3.13399815642008,"",,"0.64",,"",,"6.1394",2.43644795963304,"herb, shrub","herbaceous, woody",290,
"Anacardiaceae","18.5953648015059",1.47869308544248,"",,"10.0676191549296",0.31526339111087,"",,"784.15128125",213.549387457148,"liana, shrub, tree, vine","woody",15309,
"Apiaceae","14.8051607871818",3.41181003083234,"",,"0.8928",0.143108986808178,"",,"6.343662765625",0.733536300087725,"herb, tree","herbaceous, woody",6437,
"Arceuthobium","",,"",,"",,"",,"",,"shrub","woody",44,
"Arecaceae","18.325845827931",0.460362525823783,"",,"8.99834226378968",0.0391155146728765,"",,"7758.4045",971.47038123009,"liana, tree, vine","woody",70456,
"Artemisia","7.43950651728571",1.88616919862479,"",,"2.2205",0.557498083276654,"",,"0.234246",0.0713451887909693,"herb, shrub","herbaceous, woody",1135,
"Asteraceae","11.9687417372094",0.516274117749586,"2.74764921737234",0.125731887903772,"0.534870249262537",0.0271643119773464,"",,"6.83629364618885",0.28168370364637,"herb, liana, shrub, tree, vine","herbaceous, woody",42921,
"Begonia","",,"",,"0.4",,"",,"",,"herb, liana, tree, vine","herbaceous, woody",436,
"Betula","22.6835694718128",2.03119278369228,"4.55",0.95,"16.2400813918544",0.0123875071865247,"",,"0.992064",0.315804021659003,"tree","woody",445392,
"Bignoniaceae","21.9891515607692",0.649045760705192,"",,"11.317387020827",0.0970244537505337,"",,"45.4974772117962",3.90443050108101,"liana, shrub, tree, vine","herbaceous, woody",22121,
"Brassicaceae","22.1820610454762",2.64057687540534,"",,"0.532947774193548",0.0561780612684636,"",,"1.42753254545455",0.272365923408676,"herb","herbaceous, woody",9022,
"Brosimum","19.4046112913636",0.791746890769589,"",,"27.4",5.88727441181401,"",,"658.607",126.117744972138,"tree","woody",5379,
"Bursera","13.5120047525",1.2777555376629,"",,"7.93649068150209",0.112552142251127,"",,"32.2714285714286",17.3906750366768,"tree","woody",2433,
"Buxus","6.72692342436245",0.401441694802697,"",,"2.25",0.511866755862867,"",,"13.543",0.565363305023121,"shrub, tree","woody",157,
"Byrsonima","",,"",,"7.91823614457831",0.52116035436235,"",,"291",,"tree","woody",1309,
"Caesalpinia","17.1689375",1.30155501058269,"",,"9.25221818181818",1.40904315114376,"",,"9.66666666666667",1.17378779077727,"shrub, tree","woody",762,
"Camassia","",,"",,"0.85",0.15,"",,"5.709573",1.840859,"","herbaceous",23,
