"site","Region","long","lat","MIS_1","MIS_2","MIS_3","MIS_4","MIS_5a","MIS_5b","MIS_5c","MIS_5d","MIS_5e","MIS_6"
"Annie",4,-81.350875,27.20731,34.3078594508766,29.4213630242227,30.1685613244445,31.7075505552843,,,,,,
"Baldwin",5,-116.806408,34.276446,21.0947087438035,20.0137034285313,20.8045184962199,23.4304600886559,23.2910823318804,22.5837714014715,23.3412759825361,25.8122971986922,25.7539354335327,22.1747653746718
"Bear",5,-111.333,41.98435,21.0947087438035,20.0137034285313,20.8045184962199,23.4304600886559,23.2910823318804,22.5837714014715,23.3412759825361,25.8122971986922,25.7539354335327,22.1747653746718
"Carp",5,-120.880556,45.918056,21.0947087438035,20.0137034285313,20.8045184962199,23.4304600886559,23.2910823318804,22.5837714014715,23.3412759825361,25.8122971986922,25.7539354335327,22.1747653746718
"Cranberry Glades",2,-80.283333,38.2,33.4079843389894,31.4221807291787,25.0628994272885,21.4816051766476,21.5436652280399,20.7657495167059,20.0908066664254,,,
"Cuatro Cienegas",6,-102,26,26.4451238864582,25.9870620922764,20.6423202462581,14.1911331915359,12.6996734720911,11.9199917089154,11.3309633879766,,,
"Dark",2,-91.475,45.275,33.4079843389894,31.4221807291787,25.0628994272885,21.4816051766476,21.5436652280399,20.7657495167059,20.0908066664254,,,
"Fargher",3,-122.51919,45.886765,35.2624685807606,26.4253894033937,27.7171911625668,26.1452708109263,20.5033376940004,,,,,
"Fog",1,-63.24945,67.182375,21.5204771052065,22.5813516468493,19.6501388082838,17.8417249369842,17.4111233654388,16.7090572564225,,,,
"Goshen Springs",4,-86.134167,31.721111,34.3078594508766,29.4213630242227,30.1685613244445,31.7075505552843,,,,,,
"Grass",3,-122.16715,41.6496,35.2624685807606,26.4253894033937,27.7171911625668,26.1452708109263,20.5033376940004,,,,,
"Grays",5,-111.43795,43.06619,21.0947087438035,20.0137034285313,20.8045184962199,23.4304600886559,23.2910823318804,22.5837714014715,23.3412759825361,25.8122971986922,25.7539354335327,22.1747653746718
"Hanging",1,-138.3833333,68.383333,21.5204771052065,22.5813516468493,19.6501388082838,17.8417249369842,17.4111233654388,16.7090572564225,,,,
"Hansen Marsh",2,-89.670815,43.439585,33.4079843389894,31.4221807291787,25.0628994272885,21.4816051766476,21.5436652280399,20.7657495167059,20.0908066664254,,,
"Hay",5,-109.425,34,21.0947087438035,20.0137034285313,20.8045184962199,23.4304600886559,23.2910823318804,22.5837714014715,23.3412759825361,25.8122971986922,25.7539354335327,22.1747653746718
"Joe",1,-157.216667,66.766667,21.5204771052065,22.5813516468493,19.6501388082838,17.8417249369842,17.4111233654388,16.7090572564225,,,,
"Kalaloch",3,-124.382994,47.634197,35.2624685807606,26.4253894033937,27.7171911625668,26.1452708109263,20.5033376940004,,,,,
"Kilbride Swamp",2,-79.915417,43.464583,33.4079843389894,31.4221807291787,25.0628994272885,21.4816051766476,21.5436652280399,20.7657495167059,20.0908066664254,,,
"Last Canyon",5,-108.394757,45.095634,21.0947087438035,20.0137034285313,20.8045184962199,23.4304600886559,23.2910823318804,22.5837714014715,23.3412759825361,25.8122971986922,25.7539354335327,22.1747653746718
"Little",3,-123.583975,44.16658,35.2624685807606,26.4253894033937,27.7171911625668,26.1452708109263,20.5033376940004,,,,,
"Natural Trap",5,-108.1930018,44.973344,21.0947087438035,20.0137034285313,20.8045184962199,23.4304600886559,23.2910823318804,22.5837714014715,23.3412759825361,25.8122971986922,25.7539354335327,22.1747653746718
"Patzcuaro",6,-101.583333,19.583333,26.4451238864582,25.9870620922764,20.6423202462581,14.1911331915359,12.6996734720911,11.9199917089154,11.3309633879766,,,
"Peten-Itza",7,-89.84187,16.96397,66.6477457155579,72.5860376197303,74.3036312208842,76.8374904162845,73.4985368699441,65.5282317704109,57.3841739347593,,,
"Ruby Marsh",5,-115.5049,41.13395,21.0947087438035,20.0137034285313,20.8045184962199,23.4304600886559,23.2910823318804,22.5837714014715,23.3412759825361,25.8122971986922,25.7539354335327,22.1747653746718
"Star Meadows",5,-114.683705,46.51655,21.0947087438035,20.0137034285313,20.8045184962199,23.4304600886559,23.2910823318804,22.5837714014715,23.3412759825361,25.8122971986922,25.7539354335327,22.1747653746718
"Tehuantepec",6,-95.292,15.7133,26.4451238864582,25.9870620922764,20.6423202462581,14.1911331915359,12.6996734720911,11.9199917089154,11.3309633879766,,,
"Titaluk",1,-155.211533,69.710983,21.5204771052065,22.5813516468493,19.6501388082838,17.8417249369842,17.4111233654388,16.7090572564225,,,,
"Tulane1",4,-81.503395,27.58613,34.3078594508766,29.4213630242227,30.1685613244445,31.7075505552843,,,,,,
"Zagoskin",1,-162.10838,63.44847,21.5204771052065,22.5813516468493,19.6501388082838,17.8417249369842,17.4111233654388,16.7090572564225,,,,
