"site","Region","long","lat","MIS_2-1","MIS_3-2","MIS_4-3","MIS_5a-4","MIS_5b-5a","MIS_5c-5b","MIS_5d-5c","MIS_5e-5d","MIS_6-5e"
"Annie",4,-81.350875,27.20731,4.88649642665396,-0.747198300221839,-1.53898923083973,NA,NA,NA,NA,NA,NA
"Baldwin",5,-116.806408,34.276446,1.08100531527218,-0.790815067688584,-2.62594159243606,0,0.707310930408838,0,-2.47102121615607,0,3.57917005886091
"Bear",5,-111.333,41.98435,1.08100531527218,-0.790815067688584,-2.62594159243606,0,0.707310930408838,0,-2.47102121615607,0,3.57917005886091
"Carp",5,-120.880556,45.918056,1.08100531527218,-0.790815067688584,-2.62594159243606,0,0.707310930408838,0,-2.47102121615607,0,3.57917005886091
"Cranberry Glades",2,-80.283333,38.2,1.98580360981067,6.35928130189028,3.58129425064082,0,0.777915711334007,0,NA,NA,NA
"Cuatro Cienegas",6,-102,26,0.458061794181766,5.34474184601826,6.45118705472223,1.49145971944484,0.779681763175629,0,NA,NA,NA
"Dark",2,-91.475,45.275,1.98580360981067,6.35928130189028,3.58129425064082,0,0.777915711334007,0,NA,NA,NA
"Fargher",3,-122.51919,45.886765,8.83707917736694,-1.29180175917311,1.57192035164046,5.64193311692591,NA,NA,NA,NA,NA
"Fog",1,-63.24945,67.182375,-1.06087454164285,2.93121283856549,1.80841387129965,0.430601571545349,0.702066109016382,NA,NA,NA,NA
"Goshen Springs",4,-86.134167,31.721111,4.88649642665396,-0.747198300221839,-1.53898923083973,NA,NA,NA,NA,NA,NA
"Grass",3,-122.16715,41.6496,8.83707917736694,-1.29180175917311,1.57192035164046,5.64193311692591,NA,NA,NA,NA,NA
"Grays",5,-111.43795,43.06619,1.08100531527218,-0.790815067688584,-2.62594159243606,0,0.707310930408838,0,-2.47102121615607,0,3.57917005886091
"Hanging",1,-138.3833333,68.383333,-1.06087454164285,2.93121283856549,1.80841387129965,0.430601571545349,0.702066109016382,NA,NA,NA,NA
"Hansen Marsh",2,-89.670815,43.439585,1.98580360981067,6.35928130189028,3.58129425064082,0,0.777915711334007,0,NA,NA,NA
"Hay",5,-109.425,34,1.08100531527218,-0.790815067688584,-2.62594159243606,0,0.707310930408838,0,-2.47102121615607,0,3.57917005886091
"Joe",1,-157.216667,66.766667,-1.06087454164285,2.93121283856549,1.80841387129965,0.430601571545349,0.702066109016382,NA,NA,NA,NA
"Kalaloch",3,-124.382994,47.634197,8.83707917736694,-1.29180175917311,1.57192035164046,5.64193311692591,NA,NA,NA,NA,NA
"Kilbride Swamp",2,-79.915417,43.464583,1.98580360981067,6.35928130189028,3.58129425064082,0,0.777915711334007,0,NA,NA,NA
"Last Canyon",5,-108.394757,45.095634,1.08100531527218,-0.790815067688584,-2.62594159243606,0,0.707310930408838,0,-2.47102121615607,0,3.57917005886091
"Little",3,-123.583975,44.16658,8.83707917736694,-1.29180175917311,1.57192035164046,5.64193311692591,NA,NA,NA,NA,NA
"Natural Trap",5,-108.1930018,44.973344,1.08100531527218,-0.790815067688584,-2.62594159243606,0,0.707310930408838,0,-2.47102121615607,0,3.57917005886091
"Patzcuaro",6,-101.583333,19.583333,0.458061794181766,5.34474184601826,6.45118705472223,1.49145971944484,0.779681763175629,0,NA,NA,NA
"Peten-Itza",7,-89.84187,16.96397,-5.93829190417237,-1.71759360115387,-2.53385919540032,3.33895354634036,7.97030509953326,8.14405783565154,NA,NA,NA
"Ruby Marsh",5,-115.5049,41.13395,1.08100531527218,-0.790815067688584,-2.62594159243606,0,0.707310930408838,0,-2.47102121615607,0,3.57917005886091
"Star Meadows",5,-114.683705,46.51655,1.08100531527218,-0.790815067688584,-2.62594159243606,0,0.707310930408838,0,-2.47102121615607,0,3.57917005886091
"Tehuantepec",6,-95.292,15.7133,0.458061794181766,5.34474184601826,6.45118705472223,1.49145971944484,0.779681763175629,0,NA,NA,NA
"Titaluk",1,-155.211533,69.710983,-1.06087454164285,2.93121283856549,1.80841387129965,0.430601571545349,0.702066109016382,NA,NA,NA,NA
"Tulane1",4,-81.503395,27.58613,4.88649642665396,-0.747198300221839,-1.53898923083973,NA,NA,NA,NA,NA,NA
"Zagoskin",1,-162.10838,63.44847,-1.06087454164285,2.93121283856549,1.80841387129965,0.430601571545349,0.702066109016382,NA,NA,NA,NA
