"site","Region","long","lat","MIS_1","MIS_2","MIS_3","MIS_4","MIS_5a","MIS_5b","MIS_5c","MIS_5d","MIS_5e","MIS_6"
"Annie",4,-81.350875,27.20731,26.5747755383924,26.4339319038403,26.2968885305363,26.2298669747071,,,,,,
"Baldwin",5,-116.806408,34.276446,16.4513038429157,16.3983603954873,16.6202939099852,17.4162480176296,17.8994645430674,18.2579584455758,18.785731543191,19.1148501908885,18.9861074813533,18.2402658460903
"Bear",5,-111.333,41.98435,16.4513038429157,16.3983603954873,16.6202939099852,17.4162480176296,17.8994645430674,18.2579584455758,18.785731543191,19.1148501908885,18.9861074813533,18.2402658460903
"Carp",5,-120.880556,45.918056,16.4513038429157,16.3983603954873,16.6202939099852,17.4162480176296,17.8994645430674,18.2579584455758,18.785731543191,19.1148501908885,18.9861074813533,18.2402658460903
"Cranberry Glades",2,-80.283333,38.2,25.6113237211558,22.5769727754837,16.8572384135345,15.4341709111115,17.1996737298291,18.4142106721231,19.2004095772954,,,
"Cuatro Cienegas",6,-102,26,19.6449947765872,18.3993292552919,15.5138611270764,12.2767526481714,11.2055776421627,10.5428444073251,10.1019733220255,,,
"Dark",2,-91.475,45.275,25.6113237211558,22.5769727754837,16.8572384135345,15.4341709111115,17.1996737298291,18.4142106721231,19.2004095772954,,,
"Fargher",3,-122.51919,45.886765,22.9898914778221,22.0585587802273,23.2354184540144,23.5602441419925,18.9502444618892,,,,,
"Fog",1,-63.24945,67.182375,18.0458155081142,19.592324062812,17.5696168224776,17.640858134922,17.3386608396161,16.2201694856995,,,,
"Goshen Springs",4,-86.134167,31.721111,26.5747755383924,26.4339319038403,26.2968885305363,26.2298669747071,,,,,,
"Grass",3,-122.16715,41.6496,22.9898914778221,22.0585587802273,23.2354184540144,23.5602441419925,18.9502444618892,,,,,
"Grays",5,-111.43795,43.06619,16.4513038429157,16.3983603954873,16.6202939099852,17.4162480176296,17.8994645430674,18.2579584455758,18.785731543191,19.1148501908885,18.9861074813533,18.2402658460903
"Hanging",1,-138.3833333,68.383333,18.0458155081142,19.592324062812,17.5696168224776,17.640858134922,17.3386608396161,16.2201694856995,,,,
"Hansen Marsh",2,-89.670815,43.439585,25.6113237211558,22.5769727754837,16.8572384135345,15.4341709111115,17.1996737298291,18.4142106721231,19.2004095772954,,,
"Hay",5,-109.425,34,16.4513038429157,16.3983603954873,16.6202939099852,17.4162480176296,17.8994645430674,18.2579584455758,18.785731543191,19.1148501908885,18.9861074813533,18.2402658460903
"Joe",1,-157.216667,66.766667,18.0458155081142,19.592324062812,17.5696168224776,17.640858134922,17.3386608396161,16.2201694856995,,,,
"Kalaloch",3,-124.382994,47.634197,22.9898914778221,22.0585587802273,23.2354184540144,23.5602441419925,18.9502444618892,,,,,
"Kilbride Swamp",2,-79.915417,43.464583,25.6113237211558,22.5769727754837,16.8572384135345,15.4341709111115,17.1996737298291,18.4142106721231,19.2004095772954,,,
"Last Canyon",5,-108.394757,45.095634,16.4513038429157,16.3983603954873,16.6202939099852,17.4162480176296,17.8994645430674,18.2579584455758,18.785731543191,19.1148501908885,18.9861074813533,18.2402658460903
"Little",3,-123.583975,44.16658,22.9898914778221,22.0585587802273,23.2354184540144,23.5602441419925,18.9502444618892,,,,,
"Natural Trap",5,-108.1930018,44.973344,16.4513038429157,16.3983603954873,16.6202939099852,17.4162480176296,17.8994645430674,18.2579584455758,18.785731543191,19.1148501908885,18.9861074813533,18.2402658460903
"Patzcuaro",6,-101.583333,19.583333,19.6449947765872,18.3993292552919,15.5138611270764,12.2767526481714,11.2055776421627,10.5428444073251,10.1019733220255,,,
"Peten-Itza",7,-89.84187,16.96397,59.6517846083017,61.012526751724,59.6610336367421,59.7152914256372,61.4758332307987,57.8152590232895,51.1568910127035,,,
"Ruby Marsh",5,-115.5049,41.13395,16.4513038429157,16.3983603954873,16.6202939099852,17.4162480176296,17.8994645430674,18.2579584455758,18.785731543191,19.1148501908885,18.9861074813533,18.2402658460903
"Star Meadows",5,-114.683705,46.51655,16.4513038429157,16.3983603954873,16.6202939099852,17.4162480176296,17.8994645430674,18.2579584455758,18.785731543191,19.1148501908885,18.9861074813533,18.2402658460903
"Tehuantepec",6,-95.292,15.7133,19.6449947765872,18.3993292552919,15.5138611270764,12.2767526481714,11.2055776421627,10.5428444073251,10.1019733220255,,,
"Titaluk",1,-155.211533,69.710983,18.0458155081142,19.592324062812,17.5696168224776,17.640858134922,17.3386608396161,16.2201694856995,,,,
"Tulane1",4,-81.503395,27.58613,26.5747755383924,26.4339319038403,26.2968885305363,26.2298669747071,,,,,,
"Zagoskin",1,-162.10838,63.44847,18.0458155081142,19.592324062812,17.5696168224776,17.640858134922,17.3386608396161,16.2201694856995,,,,
