site,Region,long,lat
Annie,4,-81.350875,27.20731
Baldwin,5,-116.806408,34.276446
Bear,5,-111.333,41.98435
Carp,5,-120.880556,45.918056
Cranberry Glades,2,-80.283333,38.2
Cuatro Cienegas,6,-102,26
Dark,2,-91.475,45.275
Fargher,3,-122.51919,45.886765
Fog,1,-63.24945,67.182375
Goshen Springs,4,-86.134167,31.721111
Grass,3,-122.16715,41.6496
Grays,5,-111.43795,43.06619
Hanging,1,-138.3833333,68.383333
Hansen Marsh,2,-89.670815,43.439585
Hay,5,-109.425,34
Joe,1,-157.216667,66.766667
Kalaloch,3,-124.382994,47.634197
Kilbride Swamp,2,-79.915417,43.464583
Last Canyon,5,-108.394757,45.095634
Little,3,-123.583975,44.16658
Natural Trap,5,-108.1930018,44.973344
Patzcuaro,6,-101.583333,19.583333
Peten-Itza,7,-89.84187,16.96397
Ruby Marsh,5,-115.5049,41.13395
Star Meadows,5,-114.683705,46.51655
Tehuantepec,6,-95.292,15.7133
Titaluk,1,-155.211533,69.710983
Tulane1,4,-81.503395,27.58613
Zagoskin,1,-162.10838,63.44847
