"site","Region","long","lat","MIS_1","MIS_2","MIS_3","MIS_4","MIS_5a","MIS_5b","MIS_5c","MIS_5d","MIS_5e","MIS_6"
"Baldwin",4,-116.806408,34.276446,21.8044963100021,20.5693209672854,21.0566799535562,23.4776821240178,23.5912243498072,22.7646181854444,23.4051325002192,25.8695035213188,25.9592033346259,22.2733889354576
"Bear",4,-111.333,41.98435,21.8044963100021,20.5693209672854,21.0566799535562,23.4776821240178,23.5912243498072,22.7646181854444,23.4051325002192,25.8695035213188,25.9592033346259,22.2733889354576
"Carp",4,-120.880556,45.918056,21.8044963100021,20.5693209672854,21.0566799535562,23.4776821240178,23.5912243498072,22.7646181854444,23.4051325002192,25.8695035213188,25.9592033346259,22.2733889354576
"Cuatro Cienegas",5,-102,26,26.2914722009418,25.9878535656266,20.4672336280768,13.9928237031457,12.7305979930365,12.1335578561682,11.5659865485741,,,
"Fargher",2,-122.51919,45.886765,42.7831876922273,26.2444224184113,27.7941786185501,26.1391877482609,19.9701057682122,,,,,
"Fog",1,-63.24945,67.182375,22.0775820507988,23.68926256281,19.2745543484973,,,,,,,
"Goshen Springs",3,-86.134167,31.721111,37.916365745508,32.2298393175392,33.8558132217745,30.7935722117961,,,,,,
"Grass",4,-122.16715,41.6496,21.8044963100021,20.5693209672854,21.0566799535562,23.4776821240178,23.5912243498072,22.7646181854444,23.4051325002192,25.8695035213188,25.9592033346259,22.2733889354576
"Grays",4,-111.43795,43.06619,21.8044963100021,20.5693209672854,21.0566799535562,23.4776821240178,23.5912243498072,22.7646181854444,23.4051325002192,25.8695035213188,25.9592033346259,22.2733889354576
"Hanging",1,-138.3833333,68.383333,22.0775820507988,23.68926256281,19.2745543484973,,,,,,,
"Hay",4,-109.425,34,21.8044963100021,20.5693209672854,21.0566799535562,23.4776821240178,23.5912243498072,22.7646181854444,23.4051325002192,25.8695035213188,25.9592033346259,22.2733889354576
"Joe",1,-157.216667,66.766667,22.0775820507988,23.68926256281,19.2745543484973,,,,,,,
"Kalaloch",2,-124.382994,47.634197,42.7831876922273,26.2444224184113,27.7941786185501,26.1391877482609,19.9701057682122,,,,,
"Last Canyon",4,-108.394757,45.095634,21.8044963100021,20.5693209672854,21.0566799535562,23.4776821240178,23.5912243498072,22.7646181854444,23.4051325002192,25.8695035213188,25.9592033346259,22.2733889354576
"Little",2,-123.583975,44.16658,42.7831876922273,26.2444224184113,27.7941786185501,26.1391877482609,19.9701057682122,,,,,
"Natural Trap",4,-108.1930018,44.973344,21.8044963100021,20.5693209672854,21.0566799535562,23.4776821240178,23.5912243498072,22.7646181854444,23.4051325002192,25.8695035213188,25.9592033346259,22.2733889354576
"Patzcuaro",5,-101.583333,19.583333,26.2914722009418,25.9878535656266,20.4672336280768,13.9928237031457,12.7305979930365,12.1335578561682,11.5659865485741,,,
"Peten-Itza",6,-89.84187,16.96397,67.7639224669963,74.7782832165202,76.4938683797539,79.2329744766922,76.1787720806878,68.4377288393844,60.036300291754,,,
"Ruby Marsh",4,-115.5049,41.13395,21.8044963100021,20.5693209672854,21.0566799535562,23.4776821240178,23.5912243498072,22.7646181854444,23.4051325002192,25.8695035213188,25.9592033346259,22.2733889354576
"Star Meadows",4,-114.683705,46.51655,21.8044963100021,20.5693209672854,21.0566799535562,23.4776821240178,23.5912243498072,22.7646181854444,23.4051325002192,25.8695035213188,25.9592033346259,22.2733889354576
"Tehuantepec",5,-95.292,15.7133,26.2914722009418,25.9878535656266,20.4672336280768,13.9928237031457,12.7305979930365,12.1335578561682,11.5659865485741,,,
"Tulane",3,-81.503395,27.58613,37.916365745508,32.2298393175392,33.8558132217745,30.7935722117961,,,,,,
"Zagoskin",1,-162.10838,63.44847,22.0775820507988,23.68926256281,19.2745543484973,,,,,,,
