"site","Region","long","lat","MIS_1","MIS_2","MIS_3","MIS_4","MIS_5a","MIS_5b","MIS_5c","MIS_5d","MIS_5e","MIS_6"
"Baldwin",4,-116.806408,34.276446,16.7741132184539,16.7450753269444,16.6587313737138,17.3969155479784,17.8939237974909,18.222922138112,18.8576982126995,19.4126370450175,19.2616698575758,17.918236706269
"Bear",4,-111.333,41.98435,16.7741132184539,16.7450753269444,16.6587313737138,17.3969155479784,17.8939237974909,18.222922138112,18.8576982126995,19.4126370450175,19.2616698575758,17.918236706269
"Carp",4,-120.880556,45.918056,16.7741132184539,16.7450753269444,16.6587313737138,17.3969155479784,17.8939237974909,18.222922138112,18.8576982126995,19.4126370450175,19.2616698575758,17.918236706269
"Cuatro Cienegas",5,-102,26,20.0324297648387,18.1727669027175,15.3544604310543,12.7611729565507,11.4646147049186,10.3935930555652,9.66078996731261,,,
"Fargher",2,-122.51919,45.886765,25.0037460898871,21.8678860950192,23.1746367838696,23.4423921220858,18.8012233889624,,,,,
"Fog",1,-63.24945,67.182375,17.6279199567205,19.6580184959259,16.8023044684033,,,,,,,
"Goshen Springs",3,-86.134167,31.721111,30.2280850079608,27.9919506553331,28.6499091509668,25.6187328138012,,,,,,
"Grass",4,-122.16715,41.6496,16.7741132184539,16.7450753269444,16.6587313737138,17.3969155479784,17.8939237974909,18.222922138112,18.8576982126995,19.4126370450175,19.2616698575758,17.918236706269
"Grays",4,-111.43795,43.06619,16.7741132184539,16.7450753269444,16.6587313737138,17.3969155479784,17.8939237974909,18.222922138112,18.8576982126995,19.4126370450175,19.2616698575758,17.918236706269
"Hanging",1,-138.3833333,68.383333,17.6279199567205,19.6580184959259,16.8023044684033,,,,,,,
"Hay",4,-109.425,34,16.7741132184539,16.7450753269444,16.6587313737138,17.3969155479784,17.8939237974909,18.222922138112,18.8576982126995,19.4126370450175,19.2616698575758,17.918236706269
"Joe",1,-157.216667,66.766667,17.6279199567205,19.6580184959259,16.8023044684033,,,,,,,
"Kalaloch",2,-124.382994,47.634197,25.0037460898871,21.8678860950192,23.1746367838696,23.4423921220858,18.8012233889624,,,,,
"Last Canyon",4,-108.394757,45.095634,16.7741132184539,16.7450753269444,16.6587313737138,17.3969155479784,17.8939237974909,18.222922138112,18.8576982126995,19.4126370450175,19.2616698575758,17.918236706269
"Little",2,-123.583975,44.16658,25.0037460898871,21.8678860950192,23.1746367838696,23.4423921220858,18.8012233889624,,,,,
"Natural Trap",4,-108.1930018,44.973344,16.7741132184539,16.7450753269444,16.6587313737138,17.3969155479784,17.8939237974909,18.222922138112,18.8576982126995,19.4126370450175,19.2616698575758,17.918236706269
"Patzcuaro",5,-101.583333,19.583333,20.0324297648387,18.1727669027175,15.3544604310543,12.7611729565507,11.4646147049186,10.3935930555652,9.66078996731261,,,
"Peten-Itza",6,-89.84187,16.96397,59.4892985966954,61.1253318976404,59.6758398255587,59.7172019279392,61.4942155224338,58.1909051564148,51.6074379337127,,,
"Ruby Marsh",4,-115.5049,41.13395,16.7741132184539,16.7450753269444,16.6587313737138,17.3969155479784,17.8939237974909,18.222922138112,18.8576982126995,19.4126370450175,19.2616698575758,17.918236706269
"Star Meadows",4,-114.683705,46.51655,16.7741132184539,16.7450753269444,16.6587313737138,17.3969155479784,17.8939237974909,18.222922138112,18.8576982126995,19.4126370450175,19.2616698575758,17.918236706269
"Tehuantepec",5,-95.292,15.7133,20.0324297648387,18.1727669027175,15.3544604310543,12.7611729565507,11.4646147049186,10.3935930555652,9.66078996731261,,,
"Tulane",3,-81.503395,27.58613,30.2280850079608,27.9919506553331,28.6499091509668,25.6187328138012,,,,,,
"Zagoskin",1,-162.10838,63.44847,17.6279199567205,19.6580184959259,16.8023044684033,,,,,,,
