site,time,Abies,Alnus,Amaranthaceae,Apiaceae,Arceuthobium,Artemisia,Asteraceae,Betula,Caprifoliaceae,Caryophyllaceae,Ceanothus,Corylus,Cupressaceae,Eriogonum,Onagraceae,Phlox,Picea,Pinus,Poaceae,Polygaceae,Pseudotsuga,Quercus,Ranunculaceae,Rosaceae,Rumex,Salix,Thalictrum,Tsuga heterophylla,Tsuga mertensiana
carp01,-568.5547977,0.066666667,0.0625,0.008333333,0,0.004166667,0.016666667,0.004166667,0.004166667,0,0,0.008333333,0.020833333,0.008333333,0,0,0,0.0125,0.383333333,0.025,0,0.1125,0.158333333,0,0,0.008333333,0,0,0.091666667,0.004166667
carp02,-153.719299,0.012765957,0.034042553,0.021276596,0,0.008510638,0.017021277,0.008510638,0.004255319,0,0,0.008510638,0.042553191,0.046808511,0,0,0,0.008510638,0.50212766,0.055319149,0.004255319,0.10212766,0.046808511,0,0,0.008510638,0.004255319,0,0.059574468,0.004255319
carp03,261.575,0.009389671,0.042253521,0,0,0,0.004694836,0,0,0,0,0.004694836,0.028169014,0,0,0,0,0,0.666666667,0.037558685,0,0.098591549,0.023474178,0,0,0,0.009389671,0,0.070422535,0.004694836
carp04,677.3472992,0.020833333,0.03125,0.003472222,0.03125,0.006944444,0.017361111,0.003472222,0.003472222,0,0,0,0.017361111,0.010416667,0,0,0,0.006944444,0.604166667,0.041666667,0,0.065972222,0.048611111,0,0,0,0,0,0.086805556,0
carp05,1093.616799,0.019455253,0.019455253,0.003891051,0,0,0,0,0,0,0,0,0.003891051,0.007782101,0,0,0,0.007782101,0.66536965,0.128404669,0,0.077821012,0.023346304,0,0,0,0,0,0.042801556,0
carp06,1510.402201,0.018796992,0.026315789,0.011278195,0,0,0.007518797,0.007518797,0.003759398,0,0,0,0.015037594,0.011278195,0,0,0,0.011278195,0.710526316,0.007518797,0,0.067669173,0.033834586,0,0,0,0,0,0.067669173,0
carp07,1927.7237,0,0.054744526,0.003649635,0.02189781,0.003649635,0.010948905,0.003649635,0.003649635,0,0,0,0.010948905,0,0,0,0,0.00729927,0.711678832,0.032846715,0,0.076642336,0.010948905,0.003649635,0.003649635,0,0,0,0.040145985,0
carp08,2345.6,0.020833333,0.020833333,0.003472222,0,0.003472222,0.017361111,0.006944444,0,0,0,0.003472222,0.010416667,0.013888889,0,0.003472222,0,0,0.607638889,0.194444444,0,0.048611111,0.006944444,0,0,0,0,0,0.034722222,0.003472222
carp09,2764.049801,0.014492754,0.025362319,0,0,0,0.007246377,0.003623188,0,0,0,0.003623188,0.02173913,0.007246377,0,0,0,0.007246377,0.65942029,0.094202899,0,0.061594203,0.036231884,0,0,0,0,0,0.057971014,0
carp10,3183.0938,0.002325581,0.03255814,0,0.325581395,0.002325581,0.006976744,0.018604651,0,0,0,0.002325581,0.018604651,0.006976744,0,0,0,0.004651163,0.455813953,0.023255814,0,0.041860465,0.03255814,0,0,0,0,0,0.025581395,0
carp11,3602.7492,0.008379888,0.041899441,0.002793296,0.134078212,0.002793296,0.01396648,0.027932961,0,0,0,0,0.008379888,0.008379888,0,0,0,0.002793296,0.589385475,0.008379888,0,0.06424581,0.047486034,0,0,0,0.002793296,0,0.036312849,0
carp12,4023.037201,0.010204082,0.085034014,0,0.017006803,0,0.010204082,0.006802721,0.010204082,0,0,0,0.013605442,0.013605442,0,0,0,0.006802721,0.727891156,0.017006803,0,0.006802721,0.047619048,0,0,0,0,0,0.027210884,0
carp13,4443.975,0,0.028268551,0.003533569,0.014134276,0,0.007067138,0.010600707,0.003533569,0,0,0,0,0.014134276,0,0,0,0.007067138,0.83745583,0.010600707,0,0.014134276,0.024734982,0,0,0,0,0,0.021201413,0.003533569
carp14,4865.582798,0.009646302,0.045016077,0.009646302,0,0.01607717,0.006430868,0.003215434,0.003215434,0,0,0,0.006430868,0,0,0,0,0,0.813504823,0.009646302,0,0.025723473,0.022508039,0,0,0,0,0,0.025723473,0.003215434
carp15,5287.880802,0.013559322,0.030508475,0.006779661,0,0.003389831,0.010169492,0.006779661,0,0,0,0.003389831,0.013559322,0.006779661,0,0,0,0.003389831,0.762711864,0.010169492,0,0.027118644,0.054237288,0,0,0,0,0,0.047457627,0
carp16,5710.886198,0.013937282,0.048780488,0.006968641,0.048780488,0,0.006968641,0.003484321,0,0,0,0.003484321,0.020905923,0.006968641,0,0,0,0.003484321,0.745644599,0.017421603,0,0.020905923,0.031358885,0,0,0,0.010452962,0,0.010452962,0
