site,time,Acer,Alnus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Betula,Corylus,Cupressaceae,Fraxinus,Moraceae,Myrica,Ostrya,Picea,Pinus,Platanus,Poaceae,Populus,Pseudotsuga,Quercus,Rumex,Salix,Tsuga heterophylla,Ulmus
dark01,-22,0.015,0.0425,0.01,0.095,0.01,0.0125,0.165,0.0075,0.0025,0.01,0.0125,0,0.005,0.0025,0.1625,0,0.05,0.025,0,0.32,0.0075,0.0075,0.0025,0.035
dark02,30,0.018041237,0.051546392,0.020618557,0.154639175,0.00257732,0,0.079896907,0.00257732,0.018041237,0.005154639,0,0,0.018041237,0.00257732,0.25,0.00257732,0.038659794,0.015463918,0,0.278350515,0.005154639,0.00257732,0.005154639,0.028350515
dark03,91,0.007832898,0.033942559,0.023498695,0.174934726,0.015665796,0.010443864,0.107049608,0.002610966,0.018276762,0.007832898,0.002610966,0.010443864,0.010443864,0,0.177545692,0,0.049608355,0.015665796,0.007832898,0.274151436,0.01305483,0.005221932,0.002610966,0.028720627
dark04,155,0.012048193,0.050200803,0.026104418,0.208835341,0.006024096,0.016064257,0.068273092,0.008032129,0.004016064,0.012048193,0.006024096,0.002008032,0.010040161,0.002008032,0.18875502,0.004016064,0.046184739,0.02811245,0,0.269076305,0.012048193,0.002008032,0.002008032,0.016064257
dark05,219,0.00255102,0.035714286,0.010204082,0.145408163,0.005102041,0,0.096938776,0.007653061,0.005102041,0.00255102,0.00255102,0,0.015306122,0.005102041,0.221938776,0,0.06122449,0.068877551,0.00255102,0.260204082,0.012755102,0.017857143,0.00255102,0.017857143
dark06,283,0.020942408,0.07591623,0.015706806,0.117801047,0.010471204,0.007853403,0.083769634,0.005235602,0.005235602,0.018324607,0,0,0.010471204,0.002617801,0.293193717,0.002617801,0.083769634,0.015706806,0.002617801,0.167539267,0.020942408,0.010471204,0.005235602,0.023560209
dark07,345,0.007537688,0.067839196,0.022613065,0.155778894,0.007537688,0.010050251,0.09798995,0.002512563,0.022613065,0.01758794,0.007537688,0,0.002512563,0.010050251,0.349246231,0.005025126,0.027638191,0.007537688,0.002512563,0.115577889,0.015075377,0.020100503,0.010050251,0.015075377
dark08,403,0.002512563,0.050251256,0.015075377,0.082914573,0.007537688,0.007537688,0.095477387,0.007537688,0.007537688,0.002512563,0.007537688,0,0.030150754,0.002512563,0.447236181,0.007537688,0.052763819,0.01758794,0.002512563,0.125628141,0.002512563,0.005025126,0.007537688,0.012562814
dark09,463,0.002512563,0.037688442,0.01758794,0.085427136,0.010050251,0.005025126,0.115577889,0.010050251,0,0.012562814,0,0.002512563,0.022613065,0.002512563,0.477386935,0,0.060301508,0.005025126,0.005025126,0.085427136,0.007537688,0.002512563,0.01758794,0.015075377
dark10,521,0.008152174,0.0625,0.008152174,0.125,0.024456522,0.008152174,0.116847826,0.016304348,0.008152174,0.005434783,0.002717391,0,0.016304348,0.010869565,0.317934783,0,0.043478261,0.029891304,0.002717391,0.157608696,0.010869565,0.002717391,0.008152174,0.013586957
dark11,567,0.013157895,0.042105263,0.015789474,0.089473684,0.021052632,0.010526316,0.142105263,0.015789474,0.007894737,0.007894737,0,0,0.023684211,0,0.242105263,0.005263158,0.057894737,0.010526316,0.002631579,0.226315789,0.026315789,0.007894737,0.007894737,0.023684211
dark12,613,0.009174312,0.043577982,0.004587156,0.080275229,0.020642202,0.009174312,0.162844037,0.004587156,0.016055046,0.018348624,0.004587156,0,0.018348624,0.002293578,0.298165138,0,0.032110092,0.018348624,0,0.199541284,0.009174312,0.002293578,0.013761468,0.032110092
dark13,659,0.024509804,0.036764706,0.009803922,0.049019608,0.004901961,0.004901961,0.225490196,0.009803922,0.019607843,0.017156863,0.007352941,0,0.029411765,0,0.262254902,0,0.034313725,0.024509804,0.00245098,0.18627451,0,0.007352941,0.007352941,0.036764706
dark14,703,0.013297872,0.015957447,0.005319149,0.039893617,0.010638298,0.013297872,0.247340426,0.007978723,0.02393617,0.010638298,0.005319149,0,0.037234043,0,0.218085106,0,0.021276596,0.021276596,0.010638298,0.25,0.002659574,0.005319149,0.013297872,0.026595745
dark15,746,0.021680217,0.048780488,0.008130081,0.016260163,0.01897019,0.008130081,0.295392954,0.008130081,0.021680217,0.013550136,0.005420054,0,0.027100271,0.010840108,0.203252033,0,0.005420054,0.024390244,0.002710027,0.216802168,0,0.005420054,0.016260163,0.021680217
dark16,840,0.033898305,0.033898305,0.002421308,0.012106538,0.021791768,0,0.317191283,0.016949153,0.012106538,0.012106538,0.012106538,0.007263923,0.03874092,0,0.220338983,0.007263923,0.021791768,0.021791768,0.012106538,0.15496368,0,0,0.012106538,0.02905569
