site,time,Alnus,Ambrosia,Artemisia,Asteraceae,Betula,Caryophyllaceae,Ericaceae,Micranthes,Picea,Pinus,Poaceae,Polygonaceae,Ranunculaceae,Salix
fog01,119,0.057142857,0.004761905,0.00952381,0.004761905,0.247619048,0.00952381,0.442857143,0,0.004761905,0.007142857,0.047619048,0.026190476,0.007142857,0.130952381
fog02,1749,0.070559611,0.00243309,0.01703163,0.00973236,0.253041363,0.01216545,0.411192214,0.00243309,0.00486618,0.01216545,0.087591241,0.03649635,0.00243309,0.077858881
fog03,3259,0.072052402,0.004366812,0.019650655,0.004366812,0.268558952,0.004366812,0.399563319,0,0.008733624,0.008733624,0.052401747,0.045851528,0.004366812,0.1069869
fog04,4360,0.131652661,0.028011204,0.016806723,0,0.254901961,0.008403361,0.330532213,0,0.014005602,0.011204482,0.044817927,0.058823529,0,0.100840336
fog05,4916,0.164345404,0.005571031,0.013927577,0.005571031,0.272980501,0.016713092,0.272980501,0,0.008356546,0.025069638,0.061281337,0.075208914,0.002785515,0.075208914
fog06,5461,0.144963145,0.002457002,0.022113022,0.004914005,0.297297297,0.012285012,0.28009828,0.002457002,0.007371007,0.014742015,0.063882064,0.061425061,0.002457002,0.083538084
fog07,5995,0.164772727,0.011363636,0.014204545,0,0.275568182,0.002840909,0.286931818,0.002840909,0.017045455,0.008522727,0.0625,0.053977273,0.008522727,0.090909091
fog08,6203,0.16872428,0.008230453,0.004115226,0.008230453,0.333333333,0.004115226,0.242798354,0,0.004115226,0.016460905,0.090534979,0.032921811,0,0.086419753
fog09,6506,0.208877285,0.002610966,0.018276762,0.005221932,0.302872063,0.007832898,0.255874674,0.002610966,0.005221932,0.002610966,0.049608355,0.049608355,0,0.088772846
fog10,6913,0.171497585,0.007246377,0.016908213,0.002415459,0.352657005,0.007246377,0.234299517,0.004830918,0.007246377,0.007246377,0.06763285,0.048309179,0,0.072463768
fog11,7238,0.115763547,0.004926108,0.019704433,0.002463054,0.421182266,0.004926108,0.209359606,0,0.002463054,0.004926108,0.083743842,0.054187192,0,0.07635468
fog12,8228,0.051975052,0.006237006,0.016632017,0.004158004,0.507276507,0.018711019,0.226611227,0,0.002079002,0.004158004,0.043659044,0.056133056,0.008316008,0.054054054
fog13,8709,0.061983471,0.008264463,0.002066116,0,0.497933884,0.018595041,0.198347107,0,0,0.004132231,0.070247934,0.05785124,0.002066116,0.078512397
fog14,9525,0.09375,0.007211538,0.012019231,0.002403846,0.512019231,0.016826923,0.149038462,0,0.004807692,0.004807692,0.103365385,0.040865385,0,0.052884615
fog15,10629,0.104783599,0.002277904,0.009111617,0.002277904,0.510250569,0.01594533,0.159453303,0,0.002277904,0.004555809,0.077448747,0.022779043,0.002277904,0.086560364
fog16,15467,0.138655462,0.00210084,0.00210084,0.004201681,0.546218487,0.010504202,0.157563025,0.00210084,0.00210084,0.00210084,0.056722689,0.016806723,0,0.058823529
fog17,18134,0.15010352,0.002070393,0.002070393,0.00310559,0.607660455,0.011387164,0.103519669,0.001035197,0.002070393,0.002070393,0.051759834,0.02173913,0.005175983,0.036231884
fog18,19433,0.137295082,0,0.006147541,0.006147541,0.518442623,0.014344262,0.139344262,0,0,0.004098361,0.073770492,0.034836066,0.004098361,0.06147541
fog19,21544,0.10483871,0,0.002016129,0.010080645,0.596774194,0.010080645,0.139112903,0,0.004032258,0.002016129,0.070564516,0.016129032,0,0.044354839
fog20,26650,0.107142857,0.006696429,0.004464286,0.004464286,0.571428571,0.020089286,0.111607143,0,0.004464286,0.002232143,0.082589286,0.042410714,0.002232143,0.040178571
fog21,31433,0.174568966,0.004310345,0.004310345,0.002155172,0.648706897,0.002155172,0.064655172,0,0.002155172,0.004310345,0.028017241,0.010775862,0.002155172,0.051724138
fog22,36206,0.137176938,0.001988072,0.003976143,0,0.723658052,0.001988072,0.057654076,0,0.001988072,0,0.015904573,0.011928429,0,0.043737575
fog23,38383,0.048449612,0.003875969,0.003875969,0.009689922,0.589147287,0.005813953,0.176356589,0,0,0.001937984,0.07751938,0.011627907,0,0.071705426
fog24,38683,0.166320166,0,0.008316008,0.004158004,0.613305613,0.006237006,0.051975052,0,0.008316008,0.006237006,0.097713098,0.008316008,0,0.029106029
fog25,39489,0.251533742,0.00204499,0,0.00204499,0.652351738,0.00204499,0.040899796,0,0.00204499,0.00204499,0.016359918,0.00204499,0.00204499,0.024539877
fog26,40561,0.269902913,0,0.003883495,0.001941748,0.627184466,0.001941748,0.029126214,0,0.001941748,0.001941748,0.023300971,0.001941748,0,0.036893204
fog27,40291,0.228215768,0.002074689,0,0.002074689,0.562240664,0.008298755,0.060165975,0,0.004149378,0.006224066,0.066390041,0.029045643,0,0.031120332
fog28,41386,0.04,0,0.004,0.02,0.574,0.002,0.156,0,0,0.006,0.076,0.02,0.008,0.094
fog29,42343,0.088659794,0,0.006185567,0.008247423,0.581443299,0.006185567,0.158762887,0,0.004123711,0.004123711,0.065979381,0.020618557,0.004123711,0.051546392
fog30,42750,0.227272727,0.012987013,0.051948052,0.003246753,0.146103896,0.025974026,0.136363636,0.003246753,0,0.003246753,0.136363636,0.155844156,0.00974026,0.087662338
fog31,43021,0.016759777,0.011173184,0.018621974,0.001862197,0.048417132,0.014897579,0.046554935,0,0.001862197,0.003724395,0.055865922,0.754189944,0.013035382,0.013035382
fog32,43424,0.03539823,0.014749263,0.07079646,0,0.159292035,0.02359882,0.209439528,0,0.017699115,0.008849558,0.15339233,0.08259587,0.002949853,0.221238938
fog33,43833,0.147169811,0.026415094,0.101886792,0.00754717,0.233962264,0.033962264,0.150943396,0.003773585,0.037735849,0.00754717,0.083018868,0.075471698,0.00754717,0.083018868
fog34,44372,0.025706941,0.010282776,0.017994859,0,0.051413882,0.035989717,0.249357326,0.002570694,0.005141388,0.005141388,0.120822622,0.015424165,0.005141388,0.455012853
fog35,44917,0.019277108,0,0.03373494,0,0.093975904,0.028915663,0.274698795,0.014457831,0.007228916,0.002409639,0.06746988,0.019277108,0,0.438554217
fog36,45731,0.029023747,0.005277045,0.044854881,0,0.10817942,0.044854881,0.237467018,0.007915567,0.005277045,0.007915567,0.092348285,0.015831135,0,0.401055409
fog37,46541,0.069565217,0.004347826,0.019565217,0,0.456521739,0.004347826,0.247826087,0,0.004347826,0.010869565,0.054347826,0.010869565,0,0.117391304
fog38,46944,0.083682008,0.006276151,0.014644351,0,0.424686192,0,0.278242678,0.00209205,0.0041841,0.014644351,0.035564854,0.018828452,0,0.117154812
