site,time,Abies,Alnus,Amaranthaceae,Ambrosia,Apiaceae,Artemisia,Asteraceae,Caryophyllaceae,Cupressaceae,Eriogonum,Picea,Pinus,Plantago,Poaceae,Quercus,Rosaceae,Rumex,Salix,Sarcobatus vermiculatus,Tsuga mertensiana
grass01,459,0.036319613,0,0,0,0,0.043583535,0.01937046,0,0,0,0,0.898305085,0,0,0,0,0,0,0,0.002421308
grass02,909,0.004395604,0.004395604,0.002197802,0.002197802,0,0.01978022,0.01978022,0,0.006593407,0.002197802,0.002197802,0.923076923,0,0.008791209,0,0,0,0.002197802,0.002197802,0
grass03,1804,0.001745201,0.013961606,0,0,0,0.214659686,0.052356021,0.001745201,0,0,0.0008726,0.695462478,0,0.019197208,0,0,0,0,0,0
grass04,2332,0.001888574,0.005665722,0,0,0,0.079320113,0.011331445,0.009442871,0.009442871,0,0,0.860245515,0,0.02266289,0,0,0,0,0,0
grass05,2807,0.001690617,0.003381234,0,0.005071851,0.001690617,0.185967878,0,0.013524937,0,0.030431107,0.001690617,0.720202874,0,0.015215554,0.008453085,0,0,0.001690617,0.008453085,0.002535926
grass06,3530,0.004145078,0.004145078,0,0,0,0.302590674,0.033160622,0.006217617,0.002072539,0,0.006217617,0.614507772,0,0.020725389,0,0,0,0.004145078,0,0.002072539
grass07,4132,0.007326007,0,0.003663004,0,0,0.10989011,0.018315018,0,0,0,0.002747253,0.822344322,0,0.025641026,0,0,0,0,0.005494505,0.004578755
grass08,4716,0.004255319,0,0.00212766,0,0,0.087234043,0.017021277,0.00212766,0,0,0.00212766,0.859574468,0,0.017021277,0,0,0,0.00212766,0.004255319,0.00212766
grass09,5291,0.009708738,0.00408789,0.001021972,0,0,0.269800715,0.032703117,0.005109862,0.001021972,0,0.006642821,0.608073582,0,0.053142565,0.001021972,0,0,0,0.005109862,0.002554931
grass10,5849,0.001277139,0.006385696,0.002554278,0,0.001277139,0.445721584,0.076628352,0.008939974,0,0.003831418,0.001915709,0.372924649,0,0.068965517,0,0,0,0.001277139,0.007662835,0.00063857
