site,time,Alnus,Amaranthaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Ericaceae,Fabaceae,Micranthes,Phlox,Picea,Plantago,Poaceae,Polygonaceae,Potentilla,Ranunculaceae,Rhododendron,Salix,Saxifragaceae
hanging01,0,0.366427172,0.000653168,0.020901372,0.001306336,0.347485304,0.000653168,0,0.091443501,0.001306336,0,0.001306336,0.097322012,0,0.039190072,0,0,0.001959504,0.006531679,0.02155454,0.001959504
hanging02,587,0.328699918,0.000817661,0.02207686,0.000817661,0.424366312,0.001635323,0.000817661,0.080948487,0.000817661,0.000817661,0,0.058871627,0,0.047424366,0,0.000817661,0.001635323,0.011447261,0.017170891,0.000817661
hanging03,1148,0.282352941,0,0.014705882,0,0.438235294,0,0,0.091176471,0,0.008823529,0,0.064705882,0,0.05,0.002941176,0.002941176,0.008823529,0.014705882,0.017647059,0.002941176
hanging04,1418,0.290962528,0.000734754,0.017634093,0.001469508,0.422483468,0,0.000734754,0.080822924,0.000734754,0.002939015,0,0.058780309,0,0.064658339,0.000734754,0,0.007347539,0.016164585,0.031594416,0.002204262
hanging05,1683,0.245119306,0,0.017353579,0,0.468546638,0.002169197,0,0.05856833,0,0,0,0.054229935,0,0.104121475,0,0.002169197,0.004338395,0.006507592,0.032537961,0.004338395
hanging06,2194,0.255257433,0,0.015228426,0.002900653,0.464104423,0.001450326,0.001450326,0.068165337,0,0.003625816,0,0.086294416,0,0.050761421,0.000725163,0.000725163,0.012327774,0.0137781,0.022480058,0.000725163
hanging07,2680,0.27,0.002,0.028,0,0.468,0,0.002,0.07,0,0,0,0.076,0,0.054,0,0,0.01,0.006,0.014,0
hanging08,3144,0.316993464,0,0.016339869,0,0.467320261,0,0,0.071895425,0,0.003267974,0,0.049019608,0,0.052287582,0,0,0.003267974,0.013071895,0.006535948,0
hanging09,3584,0.286425903,0,0.01120797,0,0.510585305,0,0,0.078455791,0.00124533,0,0,0.03860523,0,0.04109589,0,0,0.00124533,0.01494396,0.01494396,0.00124533
hanging10,4003,0.247442455,0,0.010230179,0.001278772,0.527493606,0.001278772,0,0.066496164,0,0,0,0.056905371,0,0.049232737,0,0.000639386,0.00831202,0.010869565,0.019820972,0
hanging11,4401,0.288804071,0,0.005089059,0,0.505089059,0.001272265,0,0.094147583,0,0,0,0.038167939,0,0.034351145,0,0,0.002544529,0.017811705,0.012722646,0
hanging12,4778,0.293220339,0,0.006779661,0,0.454237288,0,0,0.105084746,0.001694915,0,0,0.06440678,0,0.042372881,0,0,0.003389831,0.025423729,0.003389831,0
hanging13,5136,0.25,0,0.019230769,0,0.5,0,0,0.057692308,0,0,0,0.081730769,0,0.050480769,0,0,0,0.009615385,0.028846154,0.002403846
hanging14,5474,0.297655904,0,0.009287926,0.001326847,0.441839894,0,0.000442282,0.111897391,0.000442282,0.002211411,0,0.052189297,0,0.043343653,0,0,0,0.019460416,0.019460416,0.000442282
hanging15,5794,0.331746032,0,0.004761905,0.001587302,0.457142857,0.001587302,0,0.074603175,0,0,0,0.071428571,0,0.025396825,0,0,0,0.014285714,0.017460317,0
hanging16,6096,0.366197183,0,0.009389671,0,0.427230047,0,0,0.056338028,0,0,0,0.091549296,0,0.030516432,0,0,0,0.004694836,0.011737089,0.002347418
hanging17,6241,0.37590486,0.000517063,0.009307135,0.000517063,0.402275078,0.001551189,0,0.054291624,0.000517063,0.001034126,0,0.090486039,0,0.035677353,0,0.000517063,0.001551189,0.008273009,0.017580145,0
hanging18,6381,0.373913043,0,0.006956522,0,0.412173913,0.00173913,0.00173913,0.064347826,0.00173913,0,0,0.064347826,0,0.033043478,0,0.00173913,0.00173913,0.010434783,0.024347826,0.00173913
hanging19,6650,0.324285022,0.000484731,0.006786234,0.000484731,0.460009695,0,0.000484731,0.06980126,0,0,0,0.077072225,0,0.03490063,0,0,0.001454193,0.007270965,0.016965584,0
hanging20,6903,0.326829268,0,0.01300813,0.001626016,0.43902439,0,0,0.094308943,0,0.001626016,0,0.060162602,0,0.024390244,0,0,0.001626016,0.016260163,0.021138211,0
hanging21,7141,0.306722689,0,0.008403361,0,0.441176471,0.00210084,0.00210084,0.092436975,0,0,0,0.084033613,0,0.018907563,0,0,0.00210084,0.016806723,0.023109244,0.00210084
hanging22,7365,0.338753388,0,0.005420054,0,0.430894309,0,0,0.092140921,0,0.002710027,0,0.054200542,0,0.024390244,0,0.002710027,0,0.029810298,0.01897019,0
hanging23,7575,0.281321185,0,0.005694761,0.000569476,0.457289294,0,0,0.116742597,0,0.000569476,0,0.068906606,0,0.041002278,0,0.000569476,0.000569476,0.013667426,0.01309795,0
hanging24,7773,0.40960452,0,0.002824859,0,0.415254237,0.002824859,0,0.048022599,0,0,0,0.073446328,0,0.019774011,0,0,0.002824859,0.008474576,0.016949153,0
hanging25,7958,0.35371179,0,0.006550218,0.002183406,0.454148472,0,0.002183406,0.080786026,0,0,0,0.058951965,0,0.021834061,0,0,0.002183406,0.006550218,0.010917031,0
hanging26,8132,0.389645777,0,0,0.002724796,0.435967302,0.005449591,0,0.065395095,0,0,0,0.035422343,0,0.027247956,0,0,0.008174387,0.010899183,0.019073569,0
hanging27,8295,0.272213662,0,0.009758603,0.001027221,0.528505393,0.001027221,0.000513611,0.071905496,0,0.000513611,0,0.044170519,0,0.034411916,0,0,0.003595275,0.012326656,0.020030817,0
hanging28,8447,0.350730689,0,0.006263048,0,0.526096033,0,0,0.039665971,0,0,0,0.025052192,0,0.03131524,0,0,0.002087683,0.010438413,0.008350731,0
hanging29,8591,0.310077519,0,0.013565891,0,0.478682171,0,0,0.060077519,0,0,0,0.073643411,0,0.01744186,0,0,0.003875969,0.019379845,0.023255814,0
hanging30,8659,0.344237353,0,0.008368201,0.001141118,0.484594903,0,0,0.050209205,0,0.000760746,0,0.060098897,0,0.019399011,0,0,0.004944846,0.007987828,0.01787752,0.000380373
hanging31,8726,0.241254524,0,0.008443908,0,0.569360676,0,0,0.092882992,0,0,0,0.05066345,0,0.009650181,0,0.001206273,0.001206273,0.014475271,0.010856454,0
hanging32,8852,0.149873418,0,0.004556962,0,0.654683544,0,0,0.082025316,0.000506329,0.000506329,0,0.040506329,0,0.028860759,0,0.002025316,0.000506329,0.017721519,0.018227848,0
hanging33,8972,0.070726916,0,0.003929273,0,0.752455796,0,0,0.064833006,0,0,0,0.037328094,0,0.035363458,0,0.003929273,0,0.013752456,0.017681729,0
hanging34,9084,0.076788831,0,0.013961606,0.001745201,0.739965096,0,0,0.064572426,0,0,0,0.040139616,0,0.033158813,0,0.001745201,0,0.008726003,0.019197208,0
hanging35,9191,0.047457627,0,0.006779661,0,0.798305085,0,0,0.045762712,0,0,0,0.040677966,0,0.023728814,0,0,0.001694915,0.011864407,0.023728814,0
hanging36,9292,0.051805338,0,0.016221873,0,0.754578755,0.001046572,0.002616431,0.046572475,0.000523286,0.000523286,0,0.033490319,0,0.047619048,0,0.000523286,0.000523286,0.006802721,0.037153323,0
hanging37,9389,0.03087886,0,0.021377672,0,0.781472684,0.002375297,0,0.021377672,0,0,0,0.028503563,0,0.038004751,0,0,0.002375297,0.007125891,0.066508314,0
hanging38,9482,0.041904762,0,0.015238095,0,0.731428571,0.001904762,0,0.036190476,0.001904762,0,0,0.068571429,0.001904762,0.04,0,0,0,0.00952381,0.051428571,0
hanging39,9572,0.022332506,0,0.012406948,0,0.816377171,0.00248139,0.00248139,0.05955335,0,0,0,0.019851117,0,0.027295285,0,0,0,0.014888337,0.022332506,0
hanging40,9660,0.036308623,0.00075643,0.009833585,0,0.745839637,0.00075643,0.00075643,0.070347958,0,0.002269289,0,0.049924357,0,0.040847201,0,0.00075643,0,0.017397882,0.024205749,0
hanging41,9745,0.011600928,0,0.004640371,0,0.80974478,0,0.002320186,0.064965197,0,0.002320186,0,0.03712297,0,0.030162413,0,0,0.002320186,0.009280742,0.025522042,0
hanging42,9830,0.007989348,0,0.009320905,0.000665779,0.793608522,0.000665779,0.000665779,0.074567244,0,0.000665779,0,0.050599201,0,0.026631158,0,0.000665779,0.002663116,0.014647137,0.016644474,0
hanging43,9914,0.00877193,0,0.010964912,0,0.780701754,0,0,0.061403509,0,0,0.002192982,0.067982456,0,0.028508772,0,0,0,0.013157895,0.026315789,0
hanging44,9998,0.004830918,0.000536769,0.011272142,0.001073537,0.777241009,0.000536769,0.000536769,0.051529791,0,0,0.000536769,0.05958132,0,0.038110574,0,0.002147075,0.000536769,0.015029522,0.036500268,0
