site,time,Abies,Acer,Alnus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Betula,Carya,Corylus,Cupressaceae,Fagaceae,Fraxinus,Gentianaceae,Juglans,Ostrya,Picea,Pinus,Poaceae,Polemoniaceae,Polygonaceae,Populus,Pseudotsuga,Quercus,Ranunculaceae,Rosaceae,Salix,Saxifragaceae,Thalictrum,Tilia,Tsuga heterophylla,Ulmus
hansen01,0,0.003731343,0,0,0.111940299,0.253731343,0.003731343,0.138059701,0,0.003731343,0,0.003731343,0,0.007462687,0,0,0,0.014925373,0.220149254,0.01119403,0,0.01119403,0,0,0.201492537,0.003731343,0,0.007462687,0,0,0.003731343,0,0
hansen02,1652,0.008658009,0.012987013,0.008658009,0.125541126,0.047619048,0.017316017,0.008658009,0.008658009,0,0.004329004,0,0,0.012987013,0,0,0,0.060606061,0.380952381,0.025974026,0,0,0.021645022,0,0.233766234,0.008658009,0,0,0,0,0,0.004329004,0.008658009
hansen03,2594,0.008196721,0.020491803,0.036885246,0.172131148,0.036885246,0.024590164,0.012295082,0.024590164,0.012295082,0.012295082,0,0,0.012295082,0,0.004098361,0.008196721,0.036885246,0.245901639,0.032786885,0,0,0.012295082,0,0.266393443,0,0,0.004098361,0,0,0,0.012295082,0.004098361
hansen04,3465,0,0.012096774,0.012096774,0.362903226,0.036290323,0.012096774,0.008064516,0.004032258,0.012096774,0,0,0,0.008064516,0,0,0,0.032258065,0.213709677,0.084677419,0,0,0.008064516,0,0.177419355,0,0,0,0.004032258,0,0,0,0.012096774
hansen05,4217,0.012875536,0.017167382,0.008583691,0.343347639,0.081545064,0.025751073,0.012875536,0.004291845,0.008583691,0.008583691,0,0,0.012875536,0,0.008583691,0,0.017167382,0.201716738,0.042918455,0,0,0,0,0.167381974,0.004291845,0,0,0,0,0.004291845,0.004291845,0.012875536
hansen06,5273,0.007905138,0.015810277,0.031620553,0.051383399,0.086956522,0.015810277,0.023715415,0,0,0,0,0.003952569,0.011857708,0,0.003952569,0.011857708,0.059288538,0.422924901,0.007905138,0,0.003952569,0,0,0.197628458,0.003952569,0,0.003952569,0,0,0.011857708,0,0.023715415
hansen07,5904,0.003984064,0.019920319,0.334661355,0.003984064,0.027888446,0.007968127,0.015936255,0,0.003984064,0.015936255,0,0.011952191,0.011952191,0,0.007968127,0,0.011952191,0.306772908,0.011952191,0,0,0,0,0.147410359,0.003984064,0,0.007968127,0.011952191,0,0.003984064,0,0.027888446
hansen08,6364,0.007117438,0.010676157,0.021352313,0.024911032,0.010676157,0.003558719,0,0,0,0.003558719,0,0,0.003558719,0,0.003558719,0,0.03202847,0.661921708,0,0,0,0,0,0.15658363,0.007117438,0,0.003558719,0,0,0.017793594,0,0.03202847
hansen09,6665,0,0.004464286,0.071428571,0.008928571,0.053571429,0.040178571,0.004464286,0,0,0.008928571,0,0.004464286,0.017857143,0,0.008928571,0.03125,0.004464286,0.316964286,0.013392857,0,0,0.013392857,0,0.28125,0.008928571,0,0.008928571,0.013392857,0.004464286,0.004464286,0,0.075892857
hansen10,6957,0.010791367,0.057553957,0.064748201,0.003597122,0.003597122,0.007194245,0.003597122,0.010791367,0.021582734,0,0,0.003597122,0.010791367,0,0,0.014388489,0.025179856,0.35971223,0.007194245,0,0,0,0,0.215827338,0,0,0.003597122,0,0,0.04676259,0,0.129496403
hansen11,7379,0,0.017094017,0.055555556,0.017094017,0.008547009,0.008547009,0.012820513,0.012820513,0.008547009,0.008547009,0,0.004273504,0.008547009,0,0.008547009,0.025641026,0.012820513,0.277777778,0.042735043,0,0,0,0,0.299145299,0.004273504,0,0.012820513,0.004273504,0,0.008547009,0,0.141025641
hansen12,8137,0,0.028169014,0.03286385,0.009389671,0.023474178,0.009389671,0,0,0,0,0,0,0.018779343,0,0.004694836,0.009389671,0.009389671,0.530516432,0.042253521,0,0,0.004694836,0,0.187793427,0.004694836,0,0,0,0,0.023474178,0,0.061032864
