site,time,Alnus,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Cupressaceae,Ericaceae,Picea,Plantago,Poaceae,Populus,Ranunculaceae,Rosaceae,Rumex,Salix,Thalictrum
joe01,0,0.364741641,0.006079027,0,0.3556231,0,0,0.05775076,0.024316109,0.142857143,0,0.03343465,0,0,0,0,0.015197568,0
joe02,715,0.392097264,0,0,0.303951368,0,0,0.136778116,0.039513678,0.051671733,0,0.048632219,0.003039514,0,0,0,0.024316109,0
joe03,1430,0.389447236,0.010050251,0,0.336683417,0,0,0.105527638,0.032663317,0.082914573,0,0.022613065,0,0,0,0,0.020100503,0
joe04,2145,0.386554622,0.011204482,0,0.322128852,0,0,0.081232493,0.039215686,0.095238095,0,0.050420168,0,0,0.00280112,0,0.011204482,0
joe05,2860,0.459701493,0.008955224,0,0.304477612,0,0,0.056716418,0.056716418,0.059701493,0,0.03880597,0,0,0.002985075,0,0.011940299,0
joe06,3574,0.424757282,0,0,0.347087379,0,0,0.058252427,0.012135922,0.094660194,0,0.041262136,0,0,0,0,0.02184466,0
joe07,4289,0.428152493,0.011730205,0,0.343108504,0,0,0.055718475,0.029325513,0.04398827,0,0.06744868,0,0.002932551,0,0,0.017595308,0
joe08,5004,0.475644699,0.00286533,0,0.303724928,0,0,0.042979943,0.040114613,0.091690544,0,0.028653295,0,0,0,0,0.014326648,0
joe09,5719,0.430517711,0.002724796,0,0.367847411,0,0,0.070844687,0.013623978,0.038147139,0,0.049046322,0.002724796,0,0.002724796,0,0.019073569,0.002724796
joe10,6314,0.566153846,0,0,0.283076923,0,0,0.049230769,0.015384615,0.009230769,0,0.064615385,0,0,0.003076923,0,0.009230769,0
joe11,7860,0.43236715,0,0,0.420289855,0,0,0.055555556,0.016908213,0.009661836,0,0.043478261,0.007246377,0,0,0,0.014492754,0
joe12,8086,0.512605042,0.00280112,0,0.338935574,0,0,0.072829132,0.008403361,0.008403361,0,0.050420168,0,0,0,0,0.00280112,0.00280112
joe13,8311,0.513274336,0,0.002949853,0.321533923,0,0,0.041297935,0.005899705,0.005899705,0,0.09439528,0,0,0.002949853,0,0.008849558,0.002949853
