site,time,Abies,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteraceae,Brassicaceae,Camassia,Caprifoliaceae,Caryophyllaceae,Cupressaceae,Ericaceae,Fabaceae,Gentianaceae,Lysichiton,Malvaceae,Myrica,Onagraceae,Picea,Pinus,Poaceae,Polemoniaceae,Polygonaceae,Ranunculaceae,Rosaceae,Rubiaceae,Salix,Sanguisorba,Tsuga heterophylla,Tsuga mertensiana
kalaloch01,17088,0.040816327,0,0,0.112244898,0,0.204081633,0,0,0,0,0,0,0,0,0,0,0,0,0.010204082,0.12244898,0.418367347,0,0,0,0,0,0,0.051020408,0.020408163,0.020408163
kalaloch02,17182,0.031914894,0,0,0.106382979,0,0.20212766,0,0,0,0,0,0.021276596,0,0,0,0,0,0,0.010638298,0.106382979,0.457446809,0,0.010638298,0.021276596,0,0,0,0,0.010638298,0.021276596
kalaloch03,17239,0.032258065,0,0,0.075268817,0,0.161290323,0,0,0,0,0,0.021505376,0,0,0,0,0,0,0,0.107526882,0.505376344,0,0.010752688,0.043010753,0,0,0,0,0.021505376,0.021505376
kalaloch04,17371,0.030927835,0,0,0.06185567,0,0.18556701,0,0,0,0,0,0.020618557,0,0,0,0,0,0,0,0.134020619,0.453608247,0,0.030927835,0.030927835,0,0,0,0,0.030927835,0.020618557
kalaloch05,17467,0.010309278,0,0,0.051546392,0,0.216494845,0,0,0,0,0,0.020618557,0,0,0,0,0,0,0.010309278,0.154639175,0.412371134,0,0.06185567,0.020618557,0,0,0,0,0.020618557,0.020618557
kalaloch06,17581,0.009803922,0.009803922,0,0.039215686,0,0.235294118,0.009803922,0,0,0,0.019607843,0.019607843,0,0,0,0,0,0,0,0.137254902,0.421568627,0,0.029411765,0,0.019607843,0,0,0,0.009803922,0.039215686
kalaloch07,17716,0,0.01010101,0,0.050505051,0,0.272727273,0.01010101,0,0,0,0.03030303,0.02020202,0,0,0,0,0,0,0,0.121212121,0.373737374,0,0.01010101,0,0.02020202,0,0,0.01010101,0.01010101,0.060606061
kalaloch08,17813,0.012195122,0.024390244,0,0.073170732,0,0.329268293,0,0,0,0,0.012195122,0,0,0,0,0,0,0,0,0.109756098,0.329268293,0,0.012195122,0.024390244,0,0,0,0.024390244,0.012195122,0.036585366
kalaloch09,17949,0.013157895,0,0,0.092105263,0,0.289473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0.407894737,0,0.013157895,0.026315789,0,0,0,0.013157895,0.013157895,0.026315789
kalaloch10,18046,0,0,0,0.086419753,0,0.308641975,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0.444444444,0,0.012345679,0.024691358,0,0,0,0.012345679,0.012345679,0.024691358
kalaloch11,18185,0,0,0,0.054347826,0,0.282608696,0.02173913,0,0,0,0.02173913,0,0,0,0,0,0,0,0.010869565,0.086956522,0.402173913,0,0.010869565,0.02173913,0,0,0,0.010869565,0.032608696,0.043478261
kalaloch12,18325,0,0,0,0.065934066,0,0.263736264,0.021978022,0,0,0,0.021978022,0,0,0,0,0,0,0,0,0.120879121,0.373626374,0,0.010989011,0,0,0,0,0.032967033,0.032967033,0.054945055
kalaloch13,18425,0,0,0,0.0875,0,0.25,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0.1625,0.375,0,0.0125,0,0,0,0,0.05,0.0125,0.0375
kalaloch14,18561,0,0,0,0.0625,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0.010416667,0.135416667,0.354166667,0,0.010416667,0.010416667,0,0,0,0.15625,0.03125,0.041666667
kalaloch15,18677,0,0,0,0.051546392,0.041237113,0.144329897,0.020618557,0,0,0,0,0,0,0,0,0,0,0,0.030927835,0.113402062,0.350515464,0,0.010309278,0.010309278,0,0,0,0.12371134,0.041237113,0.06185567
kalaloch16,18773,0.011904762,0,0,0.071428571,0.047619048,0.142857143,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0.107142857,0.357142857,0,0.011904762,0.011904762,0,0,0,0.071428571,0.023809524,0.071428571
kalaloch17,18891,0.012987013,0,0,0.142857143,0.051948052,0.12987013,0.025974026,0,0,0,0,0,0,0,0,0,0,0,0.038961039,0.090909091,0.402597403,0,0.012987013,0.012987013,0,0,0,0,0.025974026,0.051948052
kalaloch18,19053,0,0,0,0.146666667,0.053333333,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0.066666667,0.426666667,0,0.013333333,0.013333333,0,0,0,0,0.066666667,0.053333333
kalaloch19,19154,0,0,0,0.102564103,0.051282051,0.179487179,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0.076923077,0.346153846,0,0.038461538,0.012820513,0,0,0,0,0.115384615,0.051282051
kalaloch20,19275,0.011235955,0,0,0.078651685,0.04494382,0.224719101,0,0,0,0,0,0,0,0.02247191,0,0,0,0,0,0.08988764,0.292134831,0,0.056179775,0.011235955,0,0,0,0,0.112359551,0.056179775
kalaloch21,19410,0.02173913,0,0,0.086956522,0.043478261,0.206521739,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0.347826087,0,0.043478261,0.010869565,0,0,0,0,0.097826087,0.054347826
kalaloch22,19507,0.02247191,0.011235955,0,0.078651685,0.04494382,0.213483146,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101123596,0.359550562,0,0.02247191,0,0,0,0,0,0.078651685,0.06741573
