site,time,Abies,Acer,Alnus,Amaranthaceae,Ambrosia,Apiaceae,Artemisia,Asteraceae,Betula,Carya,Caryophyllaceae,Cupressaceae,Fagaceae,Fraxinus,Juglans,Ostrya,Picea,Pinus,Poaceae,Pseudotsuga,Quercus,Salix,Tilia,Tsuga heterophylla,Ulmus
kilbride,-51,0.008230453,0.069958848,0.012345679,0.016460905,0.082304527,0,0.004115226,0.008230453,0.016460905,0.008230453,0.004115226,0,0.008230453,0.037037037,0.004115226,0.012345679,0.004115226,0.440329218,0.037037037,0.004115226,0.061728395,0.016460905,0.032921811,0.094650206,0.016460905
kilbride,2030,0,0.07079646,0,0.013274336,0.066371681,0,0.004424779,0.008849558,0.017699115,0.017699115,0.013274336,0.008849558,0.008849558,0.030973451,0.008849558,0.008849558,0.004424779,0.482300885,0,0.008849558,0.061946903,0.008849558,0.053097345,0.07079646,0.030973451
kilbride,3726,0,0.054455446,0,0,0,0,0.004950495,0,0.014851485,0.004950495,0,0.014851485,0.02970297,0.00990099,0,0.044554455,0,0.311881188,0,0.004950495,0.207920792,0.004950495,0.014851485,0.198019802,0.079207921
kilbride,4152,0.005,0.115,0,0,0,0,0,0,0.025,0.02,0,0.035,0,0.025,0,0.015,0,0.335,0,0,0.21,0,0.005,0.155,0.055
kilbride,6243,0.024875622,0.034825871,0,0,0.004975124,0,0,0,0.059701493,0.004975124,0,0,0.009950249,0.029850746,0,0.074626866,0,0.452736318,0,0,0.189054726,0,0.019900498,0.009950249,0.084577114
kilbride,8337,0,0.029268293,0.004878049,0,0,0,0.009756098,0,0.024390244,0.004878049,0.004878049,0.004878049,0.004878049,0.019512195,0.014634146,0.073170732,0.004878049,0.52195122,0.004878049,0.014634146,0.151219512,0,0.014634146,0.019512195,0.073170732
kilbride,10186,0,0.03,0,0,0,0,0,0,0.07,0,0,0,0,0.01,0.005,0.055,0,0.615,0,0,0.18,0,0,0,0.035
kilbride,12243,0.004926108,0.014778325,0,0,0.009852217,0,0,0.004926108,0.019704433,0.004926108,0,0.004926108,0,0,0.004926108,0.068965517,0.004926108,0.674876847,0,0,0.133004926,0,0.004926108,0.019704433,0.024630542
kilbride,14357,0.004950495,0,0,0,0,0,0,0,0.059405941,0.004950495,0,0.004950495,0,0.034653465,0.004950495,0.044554455,0,0.623762376,0.004950495,0,0.158415842,0.004950495,0.004950495,0.00990099,0.034653465
kilbride,16468,0,0,0,0,0.004878049,0,0,0,0.03902439,0.019512195,0,0,0,0.03902439,0.004878049,0.019512195,0.004878049,0.692682927,0,0,0.146341463,0.019512195,0,0,0.009756098
