site,time,Acer,Amaranthaceae,Apiaceae,Artemisia,Asteraceae,Brassicaceae,Caryophyllaceae,Ceanothus,Eriogonum,Fabaceae,Lamiaceae,Liliaceae,Opuntia,Picea,Pinus,Poaceae,Polygonaceae,Populus,Rosaceae
last01,12885,0.01,0.156,0.006,0.213,0.371,0.016,0,0.006,0.003,0.076,0.013,0.003,0.003,0,0.006,0.038,0.032,0,0.029
last02,13466,0.007,0.161,0.007,0.326,0.336,0,0,0.01,0.003,0.046,0.007,0,0,0,0.008,0.059,0.01,0,0.013
last03,13632,0,0.194,0.042,0.174,0.275,0,0,0,0.003,0.061,0.048,0,0.01,0,0.018,0.032,0.061,0.006,0.061
last04,13743,0,0.132,0.019,0.299,0.151,0.006,0,0,0,0.074,0.006,0,0.01,0,0.03,0.116,0.064,0.003,0.074
last05,14029,0,0.212,0.006,0.311,0.083,0.003,0,0.006,0.006,0.093,0.003,0,0.01,0,0.051,0.099,0.035,0.003,0.061
last06,14750,0,0.101,0.013,0.209,0.176,0.016,0,0,0,0.144,0.003,0,0,0,0.067,0.124,0.029,0.007,0.098
last07,16177,0,0.133,0.01,0.38,0.123,0.023,0,0.007,0.007,0.083,0,0,0.003,0,0.03,0.1,0.047,0,0.047
last08,18314,0,0.091,0.01,0.337,0.165,0.013,0,0,0.01,0.113,0.003,0.01,0.003,0,0.032,0.12,0.039,0,0.042
last09,21004,0,0.114,0.01,0.395,0.131,0,0,0.01,0.013,0.069,0,0,0.003,0,0.033,0.095,0.033,0.003,0.069
last10,22344,0,0.126,0.013,0.385,0.152,0,0.013,0,0.023,0.049,0,0,0,0,0.049,0.097,0.039,0.003,0.036
last11,24603,0.013,0.123,0.003,0.384,0.132,0.01,0.003,0,0.006,0.103,0.003,0,0.006,0.01,0.029,0.055,0.045,0,0.065
last12,26198,0,0.091,0.003,0.384,0.189,0,0.003,0,0.019,0.047,0,0,0,0.002,0.044,0.057,0.088,0.003,0.022
last13,28639,0,0.051,0.013,0.575,0.096,0.01,0,0,0,0.045,0.003,0,0,0,0.011,0.058,0.039,0,0.093
last14,31080,0,0.029,0.007,0.608,0.114,0.013,0,0.007,0.01,0.026,0,0.003,0,0.003,0.013,0.059,0.082,0,0.02
last15,32677,0,0.072,0,0.474,0.144,0,0,0,0.013,0.063,0.006,0,0.006,0,0.011,0.094,0.047,0,0.047
last16,34226,0,0.083,0.013,0.43,0.183,0.01,0,0,0.016,0.055,0,0.003,0,0,0.011,0.074,0.083,0,0.039
last17,36422,0,0.093,0.003,0.61,0.103,0,0,0.013,0.003,0.037,0.003,0,0.007,0,0.027,0.05,0.02,0,0.027
last18,37773,0,0.054,0.006,0.352,0.149,0.003,0.003,0.006,0.016,0.022,0,0.079,0,0,0.027,0.041,0.117,0.035,0.07
last19,39582,0,0.03,0.007,0.467,0.163,0.007,0,0,0.007,0.093,0,0,0.003,0,0.027,0.05,0.067,0,0.067
last20,41883,0,0.102,0,0.587,0.148,0,0,0.003,0.003,0.01,0,0.003,0.003,0,0.016,0.046,0.052,0,0.023
last21,43360,0,0.026,0,0.421,0.282,0.006,0,0.003,0,0.049,0,0,0,0.003,0.05,0.023,0.071,0,0.039
last22,44285,0,0.016,0.01,0.445,0.334,0,0,0.01,0,0.026,0,0,0.003,0,0.023,0.049,0.016,0,0.058
last23,44934,0,0.01,0.003,0.561,0.236,0.003,0,0,0,0.045,0,0,0,0,0.038,0.016,0.067,0,0.01
last24,45538,0,0.01,0.006,0.732,0.113,0.016,0,0,0,0.045,0,0,0,0,0.003,0.003,0.052,0,0.016
last25,46142,0,0.006,0,0.818,0.083,0.012,0,0.003,0,0.006,0,0,0,0,0.022,0.006,0.006,0,0.037
last26,46746,0,0.017,0,0.821,0.114,0,0,0,0,0.012,0,0,0,0,0.01,0.009,0.006,0,0.012
last27,47350,0,0.003,0,0.842,0.059,0,0,0,0,0.016,0.003,0,0,0,0.022,0.012,0.022,0,0.009
last28,47954,0,0.006,0,0.633,0.128,0,0,0,0,0.028,0.003,0,0,0,0.095,0.034,0.041,0,0.022
last29,48558,0,0.013,0,0.592,0.072,0,0,0,0,0.026,0,0,0,0,0.162,0.023,0.039,0,0.046
