site,time,Amaranthaceae,Artemisia,Asteraceae,Caryophyllaceae,Cupressaceae,Eriogonum,Fabaceae,Picea,Pinus,Poaceae,Polygonaceae,Pseudotsuga,Rosaceae,Sarcobatus vermiculatus
natural01,0,0.306666667,0.19,0.036666667,0.003333333,0,0.01,0,0,0.226666667,0.19,0.03,0,0.003333333,0.003333333
natural02,1497,0.198675497,0.218543046,0.092715232,0,0.01986755,0.026490066,0,0.009933775,0.089403974,0.314569536,0.029801325,0,0,0
natural03,3861,0.136439268,0.256239601,0.139767055,0,0.016638935,0.006655574,0.003327787,0,0.151414309,0.266222962,0.016638935,0,0.006655574,0
natural04,6243,0.236666667,0.156666667,0.09,0,0,0.02,0,0.003333333,0.183333333,0.28,0.023333333,0,0.003333333,0.003333333
natural05,8625,0.237458194,0.20735786,0.080267559,0,0,0,0,0.003344482,0.237458194,0.220735786,0.013377926,0,0,0
natural06,9683,0,0.183206107,0.129770992,0,0.011450382,0,0,0,0.511450382,0.133587786,0.015267176,0.003816794,0.007633588,0.003816794
natural07,9871,0.31,0.143333333,0.07,0.006666667,0,0.003333333,0,0.033333333,0.256666667,0.14,0.016666667,0.013333333,0.003333333,0.003333333
natural08,10397,0.331103679,0.140468227,0.086956522,0,0.006688963,0.013377926,0,0,0.204013378,0.18729097,0.030100334,0,0,0
natural09,17457,0.20735786,0.230769231,0.096989967,0,0.003344482,0.006688963,0,0.003344482,0.086956522,0.357859532,0.006688963,0,0,0
natural10,17840,0.233552632,0.210526316,0.0625,0,0.003289474,0.003289474,0,0.006578947,0.101973684,0.342105263,0.029605263,0,0.003289474,0.003289474
natural11,18619,0.076539101,0.103161398,0.133111481,0,0.019966722,0.009983361,0,0.003327787,0.098169717,0.519134775,0.026622296,0,0.006655574,0.003327787
natural12,19695,0.282861897,0.169717138,0.069883527,0,0,0.003327787,0,0.009983361,0.111480865,0.332778702,0.019966722,0,0,0
natural13,21846,0.207119741,0.207119741,0.122977346,0.003236246,0,0.009708738,0,0,0.048543689,0.375404531,0.019417476,0,0.003236246,0.003236246
