site,time,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Cercocarpus,Cupressaceae,Pinus,Poaceae,Sarcobatus vermiculatus
ruby01,0,0.070063694,0.00955414,0.308917197,0.012738854,0.01910828,0.124203822,0.414012739,0.022292994,0.01910828
ruby02,126,0.074204947,0.024734982,0.261484099,0.021201413,0.021201413,0.141342756,0.427561837,0.017667845,0.010600707
ruby03,287,0.076388889,0.03125,0.267361111,0.024305556,0.006944444,0.145833333,0.416666667,0.024305556,0.006944444
ruby04,451,0.062893082,0.031446541,0.314465409,0.034591195,0.028301887,0.125786164,0.355345912,0.025157233,0.022012579
ruby05,563,0.148514851,0.00990099,0.184818482,0.02310231,0.00660066,0.108910891,0.452145215,0.052805281,0.01320132
ruby06,676,0.115131579,0.023026316,0.177631579,0.026315789,0,0.177631579,0.427631579,0.046052632,0.006578947
ruby07,1173,0.134796238,0.012539185,0.181818182,0.028213166,0,0.231974922,0.360501567,0.043887147,0.006269592
ruby08,1660,0.158227848,0.022151899,0.237341772,0.037974684,0.006329114,0.202531646,0.297468354,0.03164557,0.006329114
ruby09,1794,0.174311927,0.012232416,0.174311927,0.018348624,0,0.159021407,0.425076453,0.027522936,0.009174312
ruby10,2343,0.19941349,0.002932551,0.19941349,0.023460411,0.002932551,0.158357771,0.348973607,0.055718475,0.008797654
ruby11,3028,0.220708447,0.008174387,0.207084469,0.032697548,0,0.160762943,0.326975477,0.04359673,0
ruby12,3538,0.25,0.003378378,0.209459459,0.043918919,0,0.121621622,0.324324324,0.043918919,0.003378378
ruby13,3746,0.225146199,0.01754386,0.222222222,0.023391813,0,0.14619883,0.295321637,0.058479532,0.011695906
ruby14,4055,0.218120805,0.010067114,0.27852349,0.043624161,0,0.127516779,0.184563758,0.130872483,0.006711409
ruby15,4416,0.240409207,0.00511509,0.202046036,0.04859335,0,0.143222506,0.273657289,0.081841432,0.00511509
ruby16,4776,0.217391304,0.003344482,0.237458194,0.060200669,0,0.137123746,0.284280936,0.053511706,0.006688963
ruby17,4944,0.293768546,0.008902077,0.246290801,0.056379822,0,0.103857567,0.243323442,0.047477745,0
ruby18,5111,0.275147929,0.01183432,0.281065089,0.023668639,0,0.073964497,0.25739645,0.065088757,0.01183432
ruby19,5202,0.28956229,0,0.38047138,0.067340067,0,0.043771044,0.175084175,0.03030303,0.013468013
ruby20,5291,0.250803859,0.009646302,0.440514469,0.077170418,0,0.045016077,0.131832797,0.032154341,0.012861736
ruby21,5382,0.241258741,0.020979021,0.447552448,0.045454545,0,0.031468531,0.146853147,0.052447552,0.013986014
ruby22,5472,0.058988764,0.014044944,0.539325843,0.030898876,0,0.014044944,0.297752809,0.02247191,0.02247191
ruby23,5567,0.095394737,0.013157895,0.592105263,0.049342105,0.003289474,0.019736842,0.174342105,0.026315789,0.026315789
ruby24,5606,0.064606742,0.011235955,0.598314607,0.036516854,0,0.04494382,0.185393258,0.030898876,0.028089888
ruby25,7139,0.667808219,0.010273973,0.119863014,0.01369863,0,0.003424658,0.068493151,0.109589041,0.006849315
ruby26,8486,0.531365314,0.011070111,0.136531365,0.029520295,0,0.007380074,0.158671587,0.125461255,0
ruby27,9506,0.435797665,0.046692607,0.167315175,0.011673152,0,0.003891051,0.20233463,0.120622568,0.011673152
ruby28,10204,0.494661922,0.017793594,0.380782918,0.007117438,0,0.003558719,0.074733096,0.010676157,0.010676157
ruby29,10754,0.292763158,0.013157895,0.368421053,0.023026316,0.003289474,0.009868421,0.217105263,0.055921053,0.016447368
ruby30,11003,0.076923077,0.008097166,0.530364372,0.044534413,0.004048583,0.012145749,0.263157895,0.028340081,0.032388664
ruby31,11616,0.109271523,0.009933775,0.470198675,0.029801325,0,0.013245033,0.30794702,0.046357616,0.013245033
ruby32,12074,0.099644128,0.014234875,0.533807829,0.03202847,0,0,0.263345196,0.028469751,0.028469751
ruby33,12623,0.076190476,0.00952381,0.603174603,0.028571429,0.003174603,0.003174603,0.241269841,0.00952381,0.025396825
ruby34,13129,0.082066869,0.009118541,0.462006079,0.048632219,0,0,0.352583587,0.021276596,0.024316109
ruby35,13794,0.033112583,0.003311258,0.483443709,0.036423841,0.006622517,0.006622517,0.374172185,0.036423841,0.01986755
ruby36,14307,0.066889632,0.003344482,0.555183946,0.050167224,0,0,0.280936455,0.010033445,0.033444816
ruby37,15181,0.058441558,0.025974026,0.616883117,0.035714286,0,0.003246753,0.214285714,0.029220779,0.016233766
ruby38,15984,0.064417178,0.009202454,0.518404908,0.082822086,0,0.009202454,0.263803681,0.033742331,0.018404908
ruby39,16283,0.040268456,0.010067114,0.489932886,0.053691275,0.003355705,0.006711409,0.355704698,0.030201342,0.010067114
ruby40,17012,0.051282051,0.01994302,0.512820513,0.042735043,0,0.008547009,0.287749288,0.062678063,0.014245014
ruby41,17818,0.047457627,0.010169492,0.471186441,0.06779661,0.003389831,0.023728814,0.301694915,0.06779661,0.006779661
ruby42,18376,0.08583691,0.004291845,0.47639485,0.08583691,0,0.025751073,0.248927039,0.051502146,0.021459227
ruby43,19457,0.045614035,0.007017544,0.526315789,0.063157895,0.010526316,0.007017544,0.287719298,0.045614035,0.007017544
ruby44,21076,0.059405941,0.00660066,0.511551155,0.04290429,0,0.01320132,0.320132013,0.03960396,0.00660066
ruby45,21465,0.028985507,0,0.599033816,0.062801932,0,0.009661836,0.246376812,0.048309179,0.004830918
