site,time,Abies,Alnus,Amaranthaceae,Ambrosia,Anacardaceae,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Bursera,Campanulaceae,Caryophyllaceae,Celastra,Cupressaceae,Eriogonum,Euphorbiaceae,Fabaceae,Lamiaceae,Moraceae,Opuntia,Pinus,Poaceae,Polygonaceae,Quercus,Rhamnaceae,Rosaceae,Rubiaceae,Ulmus
tehuan01,1755,0,0.043307087,0.027559055,0.011811024,0.003937008,0.019685039,0.003937008,0.066929134,0,0.003937008,0,0,0,0,0.027559055,0.003937008,0.007874016,0.011811024,0.003937008,0,0,0.476377953,0.086614173,0.007874016,0.145669291,0.003937008,0.043307087,0,0
tehuan02,2080,0,0.027888446,0.015936255,0.007968127,0,0.003984064,0.003984064,0.03187251,0,0,0,0,0.003984064,0,0.015936255,0.011952191,0,0.015936255,0,0,0,0.585657371,0.067729084,0.007968127,0.147410359,0,0.051792829,0,0
tehuan03,2404,0,0.035856574,0.019920319,0.007968127,0.003984064,0.003984064,0.007968127,0.035856574,0.003984064,0,0,0,0,0,0.007968127,0.003984064,0.007968127,0.027888446,0,0.003984064,0,0.513944223,0.06374502,0.007968127,0.179282869,0.007968127,0.055776892,0,0
tehuan04,2728,0,0.044642857,0.013392857,0,0.004464286,0.008928571,0.008928571,0.022321429,0.008928571,0,0,0,0.008928571,0,0.004464286,0.004464286,0.008928571,0.035714286,0.004464286,0,0,0.455357143,0.058035714,0.004464286,0.236607143,0.022321429,0.040178571,0.004464286,0
tehuan05,3053,0,0.036734694,0.004081633,0.004081633,0,0.004081633,0.004081633,0.024489796,0.004081633,0.008163265,0,0,0.020408163,0,0.012244898,0.008163265,0.008163265,0.028571429,0,0.004081633,0,0.444897959,0.048979592,0.004081633,0.285714286,0.008163265,0.036734694,0,0
tehuan06,3377,0,0.0390625,0.01953125,0.00390625,0.00390625,0,0,0.01171875,0,0,0.00390625,0,0.0078125,0.0078125,0.01953125,0.015625,0.0078125,0.02734375,0.0078125,0.00390625,0,0.51171875,0.04296875,0,0.1796875,0.0078125,0.078125,0,0
tehuan07,3669,0,0.008849558,0.026548673,0,0,0,0,0.030973451,0.008849558,0.004424779,0,0,0,0,0.013274336,0.004424779,0.004424779,0.017699115,0.013274336,0,0,0.610619469,0.039823009,0,0.172566372,0.008849558,0.03539823,0,0
tehuan08,4026,0,0.023715415,0.019762846,0.007905138,0.003952569,0.011857708,0,0.055335968,0,0.003952569,0,0,0,0.003952569,0.007905138,0.003952569,0.011857708,0.023715415,0.003952569,0,0,0.533596838,0.04743083,0.007905138,0.185770751,0.003952569,0.039525692,0,0
tehuan09,4350,0,0.039840637,0.015936255,0.003984064,0.003984064,0.003984064,0,0.015936255,0.007968127,0.011952191,0,0,0.007968127,0.003984064,0.03187251,0.015936255,0.003984064,0.015936255,0,0,0,0.525896414,0.06374502,0.003984064,0.15936255,0.003984064,0.051792829,0.007968127,0
tehuan10,4674,0,0.054901961,0.015686275,0.003921569,0,0.003921569,0,0.011764706,0.011764706,0.003921569,0,0,0,0,0.007843137,0.015686275,0,0.023529412,0,0,0,0.525490196,0.058823529,0.015686275,0.156862745,0.007843137,0.066666667,0.015686275,0
