site,time,Alnus,Amaranthaceae,Ambrosia,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Ericaceae,Fabaceae,Papaver,Pedicularis,Phlox,Picea,Pinus,Plantago,Poaceae,Polemoniaceae,Polygonaceae,Populus,Potentilla,Ranunculaceae,Rosaceae,Rumex,Salix,Sanguisorba,Sarcobatus vermiculatus,Thalictrum
zagoskin01,47,0.563554517,0,0.0000344,0.006872616,0.006872616,0.003436308,0.199305866,0.003436308,0.003436308,0.01718154,0,0,0,0,0.030926772,0,0,0.144324937,0.003436308,0,0,0.003436308,0.003436308,0,0,0.006872616,0,0.003436308,0
zagoskin02,355,0.503623188,0,0,0.007246377,0.014492754,0.007246377,0.188405797,0,0,0.007246377,0,0,0,0,0.039855072,0,0,0.213768116,0,0,0,0,0,0,0,0.018115942,0,0,0
zagoskin03,739,0.386861314,0,0,0,0.02189781,0.010948905,0.273722628,0,0.010948905,0.01459854,0,0,0,0,0.02919708,0,0,0.211678832,0,0,0,0,0.018248175,0.003649635,0.003649635,0.010948905,0,0.003649635,0
zagoskin04,1165,0.655063291,0,0,0.003164557,0.006329114,0.003164557,0.151898734,0,0.003164557,0.009493671,0,0,0,0,0.028481013,0,0,0.120253165,0,0,0,0.006329114,0,0.003164557,0.003164557,0.003164557,0,0.003164557,0
zagoskin05,1589,0.679867987,0,0,0.00330033,0.01980198,0.00330033,0.095709571,0,0,0.00990099,0,0,0,0,0.03960396,0,0,0.132013201,0,0,0,0,0.00330033,0,0,0.00990099,0,0.00330033,0
zagoskin06,2012,0.602006689,0,0,0.003344482,0.003344482,0.003344482,0.143812709,0,0.003344482,0.02006689,0,0,0,0,0.043478261,0,0,0.160535117,0,0,0.006688963,0,0,0,0.003344482,0.006688963,0,0,0
zagoskin07,2431,0.699346405,0,0,0.003267974,0.003267974,0.006535948,0.130718954,0,0,0.019607843,0,0,0,0,0.019607843,0,0,0.104575163,0,0,0,0.003267974,0.003267974,0,0,0.003267974,0,0.003267974,0
zagoskin08,2863,0.706270627,0,0,0.00330033,0.00330033,0,0.128712871,0,0,0.00990099,0,0,0,0,0.01320132,0,0,0.115511551,0,0,0.00330033,0.00330033,0,0.00330033,0,0.00660066,0,0.00330033,0
zagoskin09,3294,0.686900958,0,0,0.006389776,0.003194888,0.003194888,0.111821086,0,0,0.031948882,0,0,0,0,0.038338658,0,0,0.079872204,0.003194888,0,0,0.003194888,0.009584665,0,0,0.012779553,0,0.009584665,0
zagoskin10,3700,0.676470588,0,0,0.006535948,0.003267974,0,0.124183007,0,0.003267974,0.013071895,0,0,0,0,0.006535948,0,0,0.150326797,0.003267974,0,0,0,0,0.006535948,0,0.006535948,0,0,0
zagoskin11,4107,0.651465798,0,0,0.009771987,0.006514658,0,0.114006515,0,0.003257329,0.029315961,0,0,0,0,0.022801303,0,0,0.123778502,0,0,0,0.003257329,0.003257329,0.003257329,0,0.026058632,0,0.003257329,0
zagoskin12,4525,0.663299663,0,0,0.013468013,0.01010101,0,0.117845118,0,0,0.03030303,0,0,0,0,0.037037037,0,0,0.114478114,0,0,0,0,0.003367003,0,0,0.01010101,0,0,0
zagoskin13,4946,0.695205479,0,0,0.003424658,0.020547945,0,0.113013699,0,0.003424658,0.01369863,0,0,0,0,0.034246575,0,0,0.109589041,0,0,0,0,0,0,0.003424658,0.003424658,0,0,0
zagoskin14,5354,0.611295681,0,0,0.003322259,0.003322259,0,0.179401993,0.003322259,0,0.013289037,0,0,0,0,0.046511628,0,0,0.106312292,0.003322259,0,0,0,0.006644518,0,0.003322259,0.016611296,0.003322259,0,0
zagoskin15,5561,0.569491525,0,0,0.003389831,0.006779661,0.003389831,0.159322034,0,0,0.027118644,0,0,0,0,0.044067797,0,0,0.162711864,0.003389831,0,0,0.003389831,0.003389831,0.006779661,0,0.006779661,0,0,0
zagoskin16,7149,0.621875,0,0.003125,0.00625,0.00625,0,0.175,0,0,0.015625,0,0,0,0,0.015625,0,0,0.134375,0,0,0,0.003125,0.003125,0.003125,0.003125,0.009375,0,0,0
zagoskin17,7430,0.64495114,0,0,0.003257329,0.013029316,0,0.172638436,0,0,0.016286645,0,0,0,0,0.013029316,0,0,0.114006515,0.003257329,0,0,0,0.006514658,0,0.006514658,0.006514658,0,0,0
zagoskin18,8130,0.578397213,0,0,0.003484321,0.003484321,0.006968641,0.195121951,0,0,0.013937282,0,0,0,0,0.013937282,0,0,0.149825784,0.003484321,0,0,0.003484321,0.003484321,0.003484321,0,0.020905923,0,0,0
zagoskin19,8321,0.59,0,0,0.003333333,0.006666667,0.006666667,0.236666667,0,0,0.026666667,0,0,0,0,0.013333333,0,0,0.106666667,0,0,0,0,0.006666667,0,0,0.003333333,0,0,0
zagoskin20,8509,0.641638225,0,0,0.003412969,0.013651877,0.010238908,0.150170648,0,0,0.017064846,0,0,0,0,0.010238908,0,0,0.136518771,0,0,0.003412969,0.003412969,0,0.003412969,0,0.006825939,0,0,0
