site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
annie01,0,0,0,0,0,0,0,0,0.061093248,0,0,0,0,0,0,0.009646302,0,0,0,0,0,0,0,0,0,0,0,0.012861736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028938907,0,0,0,0.003215434,0,0,0,0,0,0,0,0,0,0.006430868,0,0,0,0,0,0,0,0.012861736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077170418,0,0,0,0,0,0,0,0,0,0,0,0.633440514,0,0,0.032154341,0,0,0.003215434,0,0,0,0,0,0,0,0.08681672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003215434,0,0,0,0,0,0,0.028938907,0,0,0,0,0,0,0,0,0,0,0,0,0
annie02,64,0,0,0,0,0,0,0,0.060465116,0,0,0,0,0,0,0.004651163,0,0,0,0,0,0,0,0,0,0,0,0.006976744,0,0,0,0,0,0,0,0,0.006976744,0,0,0,0,0,0,0.025581395,0,0,0,0,0,0,0,0,0,0,0.002325581,0,0,0.013953488,0,0,0,0,0,0,0,0.01627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002325581,0,0,0.081395349,0,0,0,0,0.002325581,0,0,0,0,0,0,0.627906977,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0.118604651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002325581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004651163,0,0
annie03,194,0,0,0,0,0,0,0,0.080097087,0,0,0,0,0,0,0.002427184,0,0,0,0,0,0,0,0,0,0,0,0.002427184,0,0,0,0,0,0,0,0,0.007281553,0,0,0,0,0,0,0.026699029,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007281553,0,0,0,0,0,0,0,0.012135922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087378641,0,0,0,0,0,0,0,0,0,0,0,0.648058252,0,0,0.024271845,0,0,0,0,0,0,0,0,0,0,0.087378641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007281553,0,0,0,0,0,0,0.004854369,0,0,0,0.002427184,0,0
annie04,324,0,0,0,0,0,0,0,0.036231884,0,0,0,0,0,0,0.010869565,0,0,0,0,0,0,0,0,0,0,0,0.007246377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007246377,0,0,0,0,0,0,0,0,0,0,0.003623188,0,0,0.010869565,0,0,0,0,0,0,0,0.007246377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057971014,0,0,0,0,0,0,0,0,0,0,0,0.702898551,0,0,0.039855072,0,0,0,0,0,0,0,0,0,0,0.105072464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003623188,0,0,0,0,0,0,0.007246377,0,0,0,0,0,0,0,0,0,0,0,0,0
annie05,389,0,0,0,0,0,0,0,0.080291971,0.003649635,0,0,0,0,0,0.003649635,0,0,0,0,0,0,0,0,0,0,0,0.010948905,0,0,0,0,0,0,0,0,0.00729927,0,0,0,0,0,0,0.02189781,0,0,0,0,0,0,0,0,0,0,0.003649635,0,0,0.02189781,0,0,0,0,0,0,0,0.010948905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098540146,0,0,0,0,0.003649635,0,0,0,0,0,0,0.583941606,0,0,0.040145985,0,0,0,0,0,0,0,0,0,0,0.083941606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01459854,0,0,0,0,0,0,0.010948905,0,0,0,0,0,0
annie06,454,0,0,0,0,0,0,0,0.03125,0.0125,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0.009375,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0.04375,0,0,0,0,0,0,0,0,0,0,0.128125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003125,0,0,0,0,0,0,0.01875,0,0,0,0,0,0,0,0,0,0,0.003125,0,0
annie07,519,0,0,0,0,0,0,0,0.048571429,0,0,0,0,0,0,0.008571429,0,0,0,0,0,0,0,0,0,0,0,0.002857143,0,0,0,0,0,0,0,0,0.011428571,0,0,0,0,0,0,0.028571429,0,0,0,0.002857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0.674285714,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017142857,0,0,0,0,0,0,0.005714286,0,0,0,0.008571429,0,0
annie08,649,0,0,0,0,0,0,0,0.080862534,0.002695418,0,0,0,0,0,0.005390836,0,0,0,0,0,0,0,0,0,0,0,0.005390836,0,0,0,0,0,0,0,0,0.002695418,0,0,0,0,0,0,0.013477089,0,0,0,0.002695418,0,0,0,0,0,0,0.008086253,0,0,0.005390836,0,0,0,0,0,0,0,0.016172507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002695418,0,0,0.083557951,0,0,0,0,0.002695418,0,0,0,0,0,0,0.619946092,0,0,0.043126685,0,0,0,0,0,0,0,0,0,0,0.086253369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016172507,0,0,0,0,0,0,0,0,0,0,0.002695418,0,0
annie09,779,0,0,0,0,0,0,0,0.05904059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007380074,0,0,0,0,0,0,0.007380074,0,0,0,0,0,0,0,0,0,0,0.003690037,0,0,0.025830258,0,0,0,0,0,0,0,0.003690037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088560886,0,0,0,0,0.003690037,0,0,0,0,0,0,0.634686347,0,0,0.040590406,0,0,0,0,0,0,0,0,0,0,0.103321033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003690037,0,0,0,0,0,0,0.018450185,0,0,0,0,0,0,0,0,0,0,0,0,0
annie10,909,0,0,0,0,0,0,0,0.054607509,0.010238908,0,0.003412969,0,0,0,0.013651877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003412969,0,0,0,0,0,0,0.051194539,0,0,0,0,0,0,0,0,0,0,0.013651877,0,0,0.030716724,0,0,0,0,0,0,0,0.017064846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003412969,0,0,0.112627986,0,0,0,0,0,0,0,0,0,0,0,0.505119454,0,0,0.044368601,0,0,0,0,0,0,0,0,0,0,0.126279863,0,0,0,0,0,0,0,0,0.006825939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003412969,0,0,0,0,0,0
