site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
bear01,0,0.03,0,0,0,0,0,0,0.073333333,0.056666667,0,0,0,0,0.383333333,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0.276666667,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0,0,0,0,0.01,0,0,0,0.003333333,0,0,0,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear02,73.702079,0.006389776,0,0,0.003194888,0,0,0,0.03514377,0.025559105,0,0,0,0,0.447284345,0.038338658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041533546,0,0,0.003194888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009584665,0.230031949,0,0,0.111821086,0,0,0,0,0,0,0,0,0,0,0.015974441,0,0,0,0,0,0.003194888,0,0,0,0.003194888,0,0,0,0.025559105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear03,108.580335,0.00660066,0,0,0.00330033,0,0,0,0.04950495,0.01650165,0,0,0,0,0.468646865,0.01650165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04290429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990099,0.254125413,0,0,0.079207921,0,0,0,0,0,0,0,0,0.01320132,0,0.00330033,0,0,0,0,0,0,0,0,0,0.00330033,0,0,0,0.0330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear04,163.725181,0.006666667,0,0,0,0,0,0,0.063333333,0.02,0,0,0,0,0.46,0.016666667,0,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.216666667,0,0,0.15,0,0,0,0,0,0,0,0,0.006666667,0,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear05,253.99561,0.013071895,0,0,0,0,0,0,0.058823529,0.022875817,0,0,0,0,0.450980392,0.032679739,0,0.003267974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0.003267974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016339869,0.248366013,0,0,0.062091503,0,0,0.003267974,0,0,0,0,0,0.003267974,0,0.032679739,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0.013071895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear06,435.478305,0.016447368,0,0,0.003289474,0,0,0,0.049342105,0.032894737,0,0,0,0,0.490131579,0.036184211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023026316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013157895,0.197368421,0,0,0.092105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0,0,0,0,0,0,0.029605263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear07,618.549883,0.009708738,0,0,0,0,0,0,0.071197411,0.022653722,0,0,0,0,0.475728155,0.025889968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019417476,0,0,0.006472492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009708738,0.242718447,0,0,0.067961165,0,0,0,0,0,0,0,0,0.006472492,0,0.012944984,0,0,0,0,0,0.009708738,0,0,0,0,0,0,0,0.019417476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear08,803.610064,0,0,0,0.003367003,0,0,0,0.057239057,0.023569024,0,0,0,0,0.37037037,0.047138047,0,0.006734007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043771044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006734007,0.28956229,0,0,0.097643098,0.003367003,0,0,0,0,0,0,0,0.003367003,0,0.013468013,0,0,0,0,0,0.013468013,0,0,0,0.003367003,0,0,0,0.016835017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear09,991.058566,0.009463722,0,0,0,0,0,0,0.063091483,0.025236593,0,0,0,0,0.413249211,0.03785489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028391167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006309148,0.246056782,0,0,0.123028391,0,0,0,0,0,0,0,0,0,0,0.031545741,0,0,0,0,0,0.006309148,0,0,0,0,0,0,0,0.009463722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear10,1181.295108,0.006825939,0,0,0,0,0,0,0.078498294,0.034129693,0,0,0,0,0.37883959,0.044368601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013651877,0,0,0.003412969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013651877,0.266211604,0,0,0.133105802,0,0,0,0,0,0,0,0,0.003412969,0,0.006825939,0,0,0,0,0,0.006825939,0,0,0,0,0,0,0,0.010238908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
