site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
cranberry01,0,0,0,0,0.003289474,0,0.013157895,0,0,0.042763158,0,0,0,0,0.003289474,0.006578947,0,0.151315789,0,0,0,0,0,0,0,0,0.029605263,0.029605263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023026316,0,0,0,0,0.049342105,0,0.006578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016447368,0,0,0,0,0,0.065789474,0.125,0,0.003289474,0.019736842,0,0,0,0,0,0,0,0,0,0,0.355263158,0,0,0,0,0,0.016447368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023026316,0,0.016447368,0,0,0,0,0,0
cranberry02,127,0,0,0,0.006369427,0,0.031847134,0,0.003184713,0.073248408,0,0,0,0,0,0,0,0.207006369,0,0,0,0,0,0,0,0,0.012738854,0.044585987,0,0,0,0.022292994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031847134,0,0,0,0,0.031847134,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015923567,0,0,0,0,0,0.044585987,0.02866242,0,0.006369427,0.00955414,0,0,0,0,0,0,0,0,0,0,0.356687898,0,0,0,0,0,0.003184713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054140127,0,0.006369427,0,0,0,0,0,0
cranberry03,240,0,0,0,0.006578947,0,0.013157895,0,0,0.006578947,0,0,0,0,0,0.003289474,0,0.164473684,0,0,0,0,0,0,0,0,0.003289474,0.059210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003289474,0,0,0,0,0.055921053,0,0.013157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009868421,0,0,0,0,0,0.078947368,0.095394737,0,0.009868421,0.003289474,0,0,0,0,0,0,0,0,0,0,0.371710526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006578947,0,0,0.078947368,0,0.016447368,0,0,0,0,0,0
cranberry04,643,0,0,0,0.013029316,0,0.029315961,0,0.006514658,0.013029316,0,0,0,0,0,0,0,0.205211726,0,0,0,0,0,0,0,0,0,0.052117264,0,0,0,0.03257329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003257329,0,0,0,0,0.06514658,0,0.006514658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006514658,0,0,0,0,0,0.087947883,0.074918567,0,0.016286645,0,0,0,0,0,0,0,0,0,0,0,0.328990228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003257329,0,0,0.048859935,0,0.006514658,0,0,0,0,0,0
cranberry05,1087,0,0,0,0.012738854,0,0.054140127,0,0,0.006369427,0,0,0,0,0,0,0,0.127388535,0,0,0,0,0,0,0,0,0,0.082802548,0,0,0,0.031847134,0,0,0,0,0,0,0,0,0,0,0,0.003184713,0,0,0,0.003184713,0,0,0,0,0.047770701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012738854,0,0,0,0,0,0.066878981,0.124203822,0,0.006369427,0.003184713,0,0,0,0,0,0,0,0,0,0,0.363057325,0,0,0,0,0,0.012738854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035031847,0,0.006369427,0,0,0,0,0,0
cranberry06,1531,0,0,0,0.009677419,0,0.04516129,0,0,0,0,0,0,0,0,0.006451613,0,0.183870968,0,0,0,0,0,0,0,0,0,0.077419355,0,0,0,0.009677419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003225806,0,0,0,0,0.061290323,0,0.009677419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0,0.064516129,0.070967742,0,0.009677419,0,0,0,0,0,0,0,0,0,0,0,0.380645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05483871,0,0.006451613,0,0,0,0,0,0
cranberry07,1854,0,0,0,0.015923567,0,0.044585987,0,0,0,0,0,0,0,0,0.003184713,0,0.152866242,0,0,0,0,0,0,0,0,0,0.092356688,0,0,0,0.01910828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01910828,0,0,0,0,0.054140127,0,0.003184713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012738854,0,0,0,0,0,0.054140127,0.124203822,0,0.012738854,0,0,0,0,0,0,0,0,0,0,0,0.350318471,0,0,0,0,0,0.003184713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003184713,0,0,0.025477707,0,0.00955414,0,0,0,0,0,0
cranberry08,2257,0,0,0,0.009933775,0,0.023178808,0,0,0.003311258,0,0.003311258,0,0,0,0,0,0.235099338,0,0,0,0,0,0,0,0,0.003311258,0.066225166,0,0,0,0.003311258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013245033,0,0,0,0,0.039735099,0,0.006622517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006622517,0,0,0,0,0,0.086092715,0.099337748,0,0.009933775,0,0,0,0,0,0,0,0,0,0,0,0.347682119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003311258,0,0,0.036423841,0,0.003311258,0,0,0,0,0,0
cranberry09,2660,0,0,0,0.012461059,0,0.08411215,0,0,0,0,0.009345794,0,0,0,0.003115265,0,0.196261682,0,0,0,0,0,0,0,0,0.003115265,0.037383178,0,0,0,0.015576324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034267913,0,0.015576324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623053,0,0,0,0,0,0.080996885,0.109034268,0,0.012461059,0,0,0,0,0,0,0,0,0,0,0,0.355140187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623053,0,0,0.015576324,0,0.003115265,0,0,0,0,0,0
cranberry10,3064,0,0,0,0.005494505,0,0.206043956,0,0.002747253,0.002747253,0,0,0,0,0.002747253,0.002747253,0,0.142857143,0,0,0,0,0,0,0,0,0,0.074175824,0,0,0,0.005494505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049450549,0,0.002747253,0,0,0,0,0,0,0,0.010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005494505,0,0,0,0,0,0.087912088,0.082417582,0,0.002747253,0,0,0,0,0,0,0,0,0,0,0,0.291208791,0,0,0,0,0,0.008241758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002747253,0,0,0.008241758,0,0.002747253,0,0,0,0,0,0
