site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
fargher01,18756,0.100401606,0,0,0,0,0.004016064,0,0,0,0,0,0,0,0.104417671,0.048192771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008032129,0,0,0,0,0.004016064,0,0,0.008032129,0,0,0,0.008032129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176706827,0.072289157,0,0,0.365461847,0,0,0,0,0,0,0,0,0,0,0,0.020080321,0,0,0,0,0.008032129,0,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0,0.0562249,0,0,0,0,0,0,0
fargher02,19726,0.074733096,0,0,0,0,0.007117438,0,0,0,0,0.003558719,0,0,0.096085409,0.024911032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010676157,0,0,0,0,0.007117438,0,0,0.010676157,0,0,0,0.003558719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153024911,0.09252669,0,0,0.416370107,0,0,0.003558719,0,0,0,0,0,0,0,0,0.014234875,0,0,0,0,0.024911032,0,0,0,0.007117438,0,0,0,0,0,0,0,0,0,0.003558719,0,0,0,0,0,0.014234875,0,0,0.003558719,0.028469751,0,0,0,0,0,0,0
fargher03,20715,0.030534351,0,0,0,0,0.011450382,0,0,0,0,0,0,0,0.095419847,0.049618321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019083969,0,0,0,0,0.003816794,0,0,0.019083969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091603053,0.061068702,0,0,0.530534351,0,0,0,0,0,0,0,0,0,0,0,0.011450382,0,0,0,0,0.026717557,0,0,0,0.003816794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007633588,0,0,0.003816794,0.034351145,0,0,0,0,0,0,0
fargher04,21632,0.035874439,0,0,0,0,0,0,0,0,0,0.004484305,0,0,0.130044843,0.089686099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013452915,0,0,0,0,0,0,0.00896861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139013453,0.058295964,0,0,0.443946188,0,0,0.013452915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022421525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896861,0,0,0,0.031390135,0,0,0,0,0,0,0
fargher05,22146,0.028776978,0,0,0,0,0.010791367,0,0,0,0,0.007194245,0,0,0.133093525,0.053956835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017985612,0,0,0,0,0.007194245,0,0,0.017985612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115107914,0.050359712,0,0,0.478417266,0,0,0.003597122,0,0,0,0,0,0,0,0,0.003597122,0,0,0,0,0.032374101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003597122,0,0,0,0,0,0.010791367,0,0,0.003597122,0.021582734,0,0,0,0,0,0,0
fargher06,22509,0.076612903,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0.141129032,0.048387097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0.012096774,0,0,0.012096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.10483871,0,0,0.350806452,0,0,0.004032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0.012096774,0,0,0,0,0,0,0,0,0,0.004032258,0,0,0,0,0,0.008064516,0,0,0.004032258,0.052419355,0,0,0,0,0,0,0
fargher07,22865,0.056603774,0,0,0,0,0.018867925,0,0,0,0,0.018867925,0,0,0.135849057,0.056603774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01509434,0,0,0,0,0.01509434,0,0,0.011320755,0,0,0,0.00754717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116981132,0.090566038,0,0,0.350943396,0,0,0.003773585,0,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0.01509434,0,0,0,0.003773585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00754717,0,0,0,0.056603774,0,0,0,0,0,0,0
fargher08,23134,0.053956835,0,0,0,0,0.039568345,0,0,0,0,0.007194245,0,0,0.097122302,0.050359712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010791367,0,0,0,0,0.010791367,0,0,0.014388489,0,0,0,0.007194245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09352518,0.09352518,0,0,0.377697842,0,0,0.007194245,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032374101,0,0,0,0.003597122,0,0,0,0,0,0,0,0,0,0.007194245,0,0,0,0,0,0.014388489,0,0,0,0.079136691,0,0,0,0,0,0,0
fargher09,23433,0.099378882,0,0,0,0,0.00931677,0,0,0,0,0.00310559,0,0,0.133540373,0.02484472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931677,0,0,0,0,0.00310559,0,0,0.00931677,0,0,0,0.00310559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121118012,0.096273292,0,0,0.381987578,0,0,0.00931677,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0.01242236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077639752,0,0,0,0,0,0,0
fargher10,23732,0.040145985,0,0,0,0,0,0,0,0,0,0.003649635,0,0,0.098540146,0.032846715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010948905,0,0,0.00729927,0,0,0,0.01459854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135036496,0.065693431,0,0,0.48540146,0,0,0.010948905,0,0,0,0,0,0,0,0,0.003649635,0,0,0,0,0.01459854,0,0,0,0.003649635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729927,0,0,0,0.065693431,0,0,0,0,0,0,0
