site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
fog01,119,0,0,0,0,0,0.057142857,0,0,0.004761905,0,0,0,0,0.00952381,0.004761905,0,0.247619048,0,0,0,0,0,0,0,0,0,0,0.00952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004761905,0.007142857,0,0,0.047619048,0,0,0.026190476,0,0,0,0,0,0,0,0,0.007142857,0,0,0,0,0,0,0,0,0.130952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fog02,1749,0,0,0,0,0,0.070559611,0,0,0.00243309,0,0,0,0,0.01703163,0.00973236,0,0.253041363,0,0,0,0,0,0,0,0,0,0,0.01216545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411192214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00486618,0.01216545,0,0,0.087591241,0,0,0.03649635,0,0,0,0,0,0,0,0,0.00243309,0,0,0,0,0,0,0,0,0.077858881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fog03,3259,0,0,0,0,0,0.072052402,0,0,0.004366812,0,0,0,0,0.019650655,0.004366812,0,0.268558952,0,0,0,0,0,0,0,0,0,0,0.004366812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399563319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008733624,0.008733624,0,0,0.052401747,0,0,0.045851528,0,0,0,0,0,0,0,0,0.004366812,0,0,0,0,0,0,0,0,0.1069869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fog04,4360,0,0,0,0,0,0.131652661,0,0,0.028011204,0,0,0,0,0.016806723,0,0,0.254901961,0,0,0,0,0,0,0,0,0,0,0.008403361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330532213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014005602,0.011204482,0,0,0.044817927,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100840336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fog05,4916,0,0,0,0,0,0.164345404,0,0,0.005571031,0,0,0,0,0.013927577,0.005571031,0,0.272980501,0,0,0,0,0,0,0,0,0,0,0.016713092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272980501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008356546,0.025069638,0,0,0.061281337,0,0,0.075208914,0,0,0,0,0,0,0,0,0.002785515,0,0,0,0,0,0,0,0,0.075208914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fog06,5461,0,0,0,0,0,0.144963145,0,0,0.002457002,0,0,0,0,0.022113022,0.004914005,0,0.297297297,0,0,0,0,0,0,0,0,0,0,0.012285012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28009828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002457002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007371007,0.014742015,0,0,0.063882064,0,0,0.061425061,0,0,0,0,0,0,0,0,0.002457002,0,0,0,0,0,0,0,0,0.083538084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fog07,5995,0,0,0,0,0,0.164772727,0,0,0.011363636,0,0,0,0,0.014204545,0,0,0.275568182,0,0,0,0,0,0,0,0,0,0,0.002840909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286931818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002840909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017045455,0.008522727,0,0,0.0625,0,0,0.053977273,0,0,0,0,0,0,0,0,0.008522727,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fog08,6203,0,0,0,0,0,0.16872428,0,0,0.008230453,0,0,0,0,0.004115226,0.008230453,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0.004115226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242798354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004115226,0.016460905,0,0,0.090534979,0,0,0.032921811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086419753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fog09,6506,0,0,0,0,0,0.208877285,0,0,0.002610966,0,0,0,0,0.018276762,0.005221932,0,0.302872063,0,0,0,0,0,0,0,0,0,0,0.007832898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255874674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002610966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005221932,0.002610966,0,0,0.049608355,0,0,0.049608355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088772846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fog10,6913,0,0,0,0,0,0.171497585,0,0,0.007246377,0,0,0,0,0.016908213,0.002415459,0,0.352657005,0,0,0,0,0,0,0,0,0,0,0.007246377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234299517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004830918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007246377,0.007246377,0,0,0.06763285,0,0,0.048309179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
