site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
goshen01,0,0,0,0,0,0,0.026104418,0,0.008032129,0.136546185,0,0,0,0,0,0.048192771,0,0,0,0,0,0,0,0,0,0,0,0.026104418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016064257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002008032,0,0,0,0.012048193,0,0,0,0,0,0,0,0,0,0,0,0.020080321,0,0,0.044176707,0,0.010040161,0,0.014056225,0,0,0,0,0,0,0.333333333,0.126506024,0,0.022088353,0,0,0,0,0,0,0,0,0,0,0.136546185,0,0,0,0,0,0,0,0,0,0.006024096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010040161,0,0,0,0.002008032,0,0
goshen02,50,0,0,0,0,0,0.013986014,0,0.002331002,0.037296037,0,0.002331002,0,0,0,0.037296037,0,0.002331002,0,0,0,0,0,0,0,0,0,0.032634033,0,0,0,0.004662005,0,0,0,0,0,0,0,0,0,0,0,0,0.027972028,0,0,0,0,0,0,0,0.002331002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004662005,0,0,0,0.011655012,0,0,0.011655012,0,0,0,0,0,0,0,0,0.011655012,0,0,0.009324009,0,0.018648019,0,0.013986014,0,0,0,0,0,0,0.452214452,0.079254079,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0.132867133,0,0,0,0,0,0.009324009,0,0,0,0.016317016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004662005,0,0,0,0,0,0
goshen03,100,0,0,0,0,0,0.002849003,0,0.005698006,0.034188034,0,0,0,0,0,0.008547009,0,0.002849003,0,0,0,0,0,0,0,0,0,0.014245014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002849003,0,0,0.005698006,0,0,0,0,0,0,0.011396011,0.002849003,0,0,0,0,0,0,0,0,0,0.002849003,0,0,0,0,0,0.008547009,0,0,0,0.01994302,0,0,0.01994302,0,0,0,0,0,0,0,0,0.014245014,0,0,0.005698006,0,0.002849003,0,0,0,0,0,0,0,0,0.606837607,0,0,0.03988604,0,0,0,0,0,0,0,0,0,0,0.170940171,0,0,0,0,0,0.005698006,0,0,0,0.005698006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005698006,0,0,0,0,0,0
goshen04,150,0,0,0,0,0,0.010752688,0,0.005376344,0.037634409,0,0.002688172,0,0,0,0.02688172,0,0.002688172,0,0,0,0,0,0,0,0,0,0.010752688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043010753,0,0,0,0,0,0,0,0.002688172,0,0,0,0,0,0,0,0,0,0,0,0,0.002688172,0,0,0,0,0,0,0.018817204,0,0,0.01344086,0,0,0,0,0,0,0,0,0.016129032,0,0,0.01344086,0,0.034946237,0,0.010752688,0,0,0,0,0,0,0.529569892,0.002688172,0,0.02688172,0,0,0,0,0,0,0,0,0,0,0.169354839,0,0,0,0,0,0,0,0,0,0.01344086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005376344,0,0,0,0,0,0
goshen05,200,0,0,0,0,0,0.003076923,0,0,0.027692308,0,0,0,0,0,0.009230769,0,0,0,0,0,0,0,0,0,0,0,0.009230769,0,0,0,0.003076923,0,0,0,0,0,0,0,0,0,0,0,0,0.003076923,0,0,0,0,0,0,0,0.003076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012307692,0,0,0.033846154,0,0,0,0,0,0,0,0,0,0,0,0.006153846,0,0,0,0.009230769,0,0,0,0,0,0,0.664615385,0.003076923,0,0.021538462,0,0,0,0,0,0,0,0,0,0,0.184615385,0,0,0,0,0,0,0,0,0,0.006153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goshen06,390,0,0,0,0,0,0,0,0,0,0,0.002881844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008645533,0,0,0,0.014409222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005763689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011527378,0,0,0.023054755,0,0,0,0,0,0,0,0,0.005763689,0,0,0,0,0.028818444,0,0.008645533,0,0,0,0,0,0,0.694524496,0,0,0.028818444,0,0,0,0,0,0,0,0,0,0,0.16426513,0,0,0,0,0,0.002881844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goshen07,772,0,0,0,0.00286533,0,0,0,0,0.00286533,0,0,0,0,0,0.00286533,0,0,0,0,0,0,0,0,0,0,0,0.020057307,0,0,0,0.008595989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286533,0,0,0.131805158,0,0,0,0,0,0,0,0,0.00286533,0,0,0.005730659,0,0,0,0,0,0,0,0,0,0,0.567335244,0,0,0.077363897,0,0,0,0,0,0,0,0,0,0,0.166189112,0,0,0,0,0,0,0,0,0,0.00286533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286533,0,0,0,0,0,0
goshen08,1154,0,0,0,0,0,0.005797101,0,0.002898551,0.005797101,0,0,0,0,0,0.002898551,0,0,0,0,0,0,0,0,0,0,0,0.026086957,0,0,0,0.002898551,0,0,0,0,0,0,0,0,0,0.002898551,0,0,0,0,0,0,0,0,0,0,0.011594203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005797101,0,0,0,0.017391304,0,0,0.075362319,0,0,0,0,0,0,0,0,0,0,0,0.005797101,0,0,0,0.002898551,0,0,0,0,0,0,0.585507246,0,0,0.020289855,0,0,0,0,0,0,0,0,0,0,0.208695652,0,0,0,0,0,0,0,0,0,0.002898551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014492754,0,0,0,0,0,0
goshen09,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014005602,0,0,0,0.005602241,0,0,0,0,0,0,0,0,0,0,0,0,0.00280112,0,0,0,0,0,0,0,0.008403361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014005602,0,0,0.047619048,0,0,0,0,0,0,0,0,0.008403361,0,0,0,0,0.005602241,0,0.011204482,0,0,0,0,0,0,0.619047619,0,0,0.075630252,0,0,0,0,0,0,0,0,0,0,0.182072829,0,0,0,0,0,0,0,0,0,0.005602241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goshen10,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002923977,0,0.005847953,0,0,0,0,0,0,0,0,0,0.011695906,0,0,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014619883,0,0,0.049707602,0,0,0,0,0,0,0,0,0.00877193,0,0,0.002923977,0,0,0,0.002923977,0,0,0,0,0,0,0.640350877,0,0,0.093567251,0,0,0,0,0,0,0,0,0,0,0.149122807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005847953,0,0,0,0.002923977,0,0
