site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
grass01,459,0.036319613,0,0,0,0,0,0,0,0,0,0,0,0,0.043583535,0.01937046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898305085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002421308,0,0,0,0,0,0,0
grass02,909,0.004395604,0,0,0,0,0.004395604,0,0.002197802,0.002197802,0,0,0,0,0.01978022,0.01978022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006593407,0,0,0,0,0.002197802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002197802,0.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0.008791209,0,0,0,0,0,0,0,0,0,0.002197802,0,0,0,0.002197802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grass03,1804,0.001745201,0,0,0,0,0.013961606,0,0,0,0,0,0,0,0.214659686,0.052356021,0,0,0,0,0,0,0,0,0,0,0,0,0.001745201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008726,0.695462478,0,0,0,0,0,0,0,0,0,0,0,0,0.019197208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grass04,2332,0.001881468,0,0,0,0,0.005644403,0,0,0,0,0,0,0,0.079021637,0.011288805,0,0,0,0,0,0,0,0,0,0,0,0,0.009407338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009407338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857008467,0,0,0,0,0,0,0,0,0,0,0,0,0.022577611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003762935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grass05,2807,0.001682086,0,0,0,0,0.003364172,0,0,0.005046257,0,0.001682086,0,0,0.185029437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013456686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030277544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001682086,0.716568545,0,0,0,0,0,0,0,0,0,0,0,0,0.015138772,0,0,0,0,0,0.008410429,0,0,0,0.001682086,0,0,0,0.008410429,0,0,0,0,0,0,0,0,0.005046257,0,0,0,0,0,0,0.002523129,0,0,0,0,0,0,0
grass06,3530,0.004136505,0,0,0,0,0.004136505,0,0,0,0,0,0,0,0.30196484,0.033092037,0,0,0,0,0,0,0,0,0,0,0,0,0.006204757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002068252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006204757,0.613236815,0,0,0,0,0,0,0,0,0,0,0,0,0.020682523,0,0,0,0,0,0,0,0,0,0.004136505,0,0,0,0,0,0,0,0,0,0,0,0,0.002068252,0,0,0,0,0,0,0.002068252,0,0,0,0,0,0,0
grass07,4132,0.007312614,0,0,0,0,0,0,0.003656307,0,0,0,0,0,0.109689214,0.018281536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00274223,0.820840951,0,0,0,0,0,0,0,0,0,0,0,0,0.02559415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005484461,0,0,0,0,0,0,0,0,0.001828154,0,0,0,0,0,0,0.004570384,0,0,0,0,0,0,0
grass08,4716,0.004237288,0,0,0,0,0,0,0.002118644,0,0,0,0,0,0.086864407,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0.002118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002118644,0.855932203,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0,0,0,0,0,0,0,0,0,0.002118644,0,0,0,0.004237288,0,0,0,0,0,0,0,0,0.004237288,0,0,0,0,0,0,0.002118644,0,0,0,0,0,0,0
grass09,5291,0.009669211,0,0,0,0,0.004071247,0,0.001017812,0,0,0,0,0,0.26870229,0.032569975,0,0,0,0,0,0,0,0,0,0,0,0,0.005089059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001017812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002035623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006615776,0.605597964,0,0,0,0,0,0,0,0,0,0,0,0,0.052926209,0,0,0,0,0,0.001017812,0,0,0,0,0,0,0,0.005089059,0,0,0,0,0,0,0,0,0.002035623,0,0,0,0,0,0,0.002544529,0,0,0,0,0,0,0
grass10,5849,0.001272265,0,0,0,0,0.006361323,0,0.002544529,0,0,0.001272265,0,0,0.444020356,0.076335878,0,0,0,0,0,0,0,0,0,0,0,0,0.008905852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003816794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003816794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001908397,0.371501272,0,0,0,0,0,0,0,0,0,0,0,0,0.06870229,0,0,0,0,0,0,0,0,0,0.001272265,0,0,0,0.007633588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000636132,0,0,0,0,0,0,0
