site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
hanging01,0,0,0,0,0,0,0.366427172,0,0.000653168,0,0,0,0,0,0.020901372,0.001306336,0,0.347485304,0,0.000653168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091443501,0,0,0,0.001306336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001306336,0.097322012,0,0,0,0.039190072,0,0,0,0,0,0,0,0,0,0,0,0.001959504,0,0.006531679,0,0,0,0,0,0,0.02155454,0,0,0,0,0.001959504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging02,587,0,0,0,0,0,0.328699918,0,0.000817661,0,0,0,0,0,0.02207686,0.000817661,0,0.424366312,0,0.001635323,0,0,0,0,0,0,0,0,0.000817661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080948487,0,0,0,0.000817661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000817661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058871627,0,0,0,0.047424366,0,0,0,0,0,0.000817661,0,0,0,0,0,0.001635323,0,0.011447261,0,0,0,0,0,0,0.017170891,0,0,0,0,0.000817661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging03,1148,0,0,0,0,0,0.282352941,0,0,0,0,0,0,0,0.014705882,0,0,0.438235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064705882,0,0,0,0.05,0,0,0.002941176,0,0,0.002941176,0,0,0,0,0,0.008823529,0,0.014705882,0,0,0,0,0,0,0.017647059,0,0,0,0,0.002941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging04,1418,0,0,0,0,0,0.290962528,0,0.000734754,0,0,0,0,0,0.017634093,0.001469508,0,0.422483468,0,0,0,0,0,0,0,0,0,0,0.000734754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080822924,0,0,0,0.000734754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002939015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058780309,0,0,0,0.064658339,0,0,0.000734754,0,0,0,0,0,0,0,0,0.007347539,0,0.016164585,0,0,0,0,0,0,0.031594416,0,0,0,0,0.002204262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging05,1683,0,0,0,0,0,0.245119306,0,0,0,0,0,0,0,0.017353579,0,0,0.468546638,0,0.002169197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05856833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054229935,0,0,0,0.104121475,0,0,0,0,0,0.002169197,0,0,0,0,0,0.004338395,0,0.006507592,0,0,0,0,0,0,0.032537961,0,0,0,0,0.004338395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging06,2194,0,0,0,0,0,0.255257433,0,0,0,0,0,0,0,0.015228426,0.002900653,0,0.464104423,0,0.001450326,0,0,0,0,0,0,0,0,0.001450326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068165337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003625816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086294416,0,0,0,0.050761421,0,0,0.000725163,0,0,0.000725163,0,0,0,0,0,0.012327774,0,0.0137781,0,0,0,0,0,0,0.022480058,0,0,0,0,0.000725163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging07,2680,0,0,0,0,0,0.27,0,0.002,0,0,0,0,0,0.028,0,0,0.468,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.006,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging08,3144,0,0,0,0,0,0.316993464,0,0,0,0,0,0,0,0.016339869,0,0,0.467320261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071895425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003267974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049019608,0,0,0,0.052287582,0,0,0,0,0,0,0,0,0,0,0,0.003267974,0,0.013071895,0,0,0,0,0,0,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging09,3584,0,0,0,0,0,0.286425903,0,0,0,0,0,0,0,0.01120797,0,0,0.510585305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078455791,0,0,0,0.00124533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03860523,0,0,0,0.04109589,0,0,0,0,0,0,0,0,0,0,0,0.00124533,0,0.01494396,0,0,0,0,0,0,0.01494396,0,0,0,0,0.00124533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging10,4003,0,0,0,0,0,0.247442455,0,0,0,0,0,0,0,0.010230179,0.001278772,0,0.527493606,0,0.001278772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066496164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056905371,0,0,0,0.049232737,0,0,0,0,0,0.000639386,0,0,0,0,0,0.00831202,0,0.010869565,0,0,0,0,0,0,0.019820972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging11,4401,0,0,0,0,0,0.288804071,0,0,0,0,0,0,0,0.005089059,0,0,0.505089059,0,0.001272265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094147583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038167939,0,0,0,0.034351145,0,0,0,0,0,0,0,0,0,0,0,0.002544529,0,0.017811705,0,0,0,0,0,0,0.012722646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging12,4778,0,0,0,0,0,0.293220339,0,0,0,0,0,0,0,0.006779661,0,0,0.454237288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105084746,0,0,0,0.001694915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06440678,0,0,0,0.042372881,0,0,0,0,0,0,0,0,0,0,0,0.003389831,0,0.025423729,0,0,0,0,0,0,0.003389831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging13,5136,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.019230769,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081730769,0,0,0,0.050480769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009615385,0,0,0,0,0,0,0.028846154,0,0,0,0,0.002403846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging14,5474,0,0,0,0,0,0.297655904,0,0,0,0,0,0,0,0.009287926,0.001326847,0,0.441839894,0,0,0,0,0,0,0,0,0,0,0.000442282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111897391,0,0,0,0.000442282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002211411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052189297,0,0,0,0.043343653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019460416,0,0,0,0,0,0,0.019460416,0,0,0,0,0.000442282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging15,5794,0,0,0,0,0,0.331746032,0,0,0,0,0,0,0,0.004761905,0.001587302,0,0.457142857,0,0.001587302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074603175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0.025396825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0,0,0,0,0.017460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging16,6096,0,0,0,0,0,0.366197183,0,0,0,0,0,0,0,0.009389671,0,0,0.427230047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056338028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091549296,0,0,0,0.030516432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004694836,0,0,0,0,0,0,0.011737089,0,0,0,0,0.002347418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging17,6241,0,0,0,0,0,0.37590486,0,0.000517063,0,0,0,0,0,0.009307135,0.000517063,0,0.402275078,0,0.001551189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054291624,0,0,0,0.000517063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001034126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090486039,0,0,0,0.035677353,0,0,0,0,0,0.000517063,0,0,0,0,0,0.001551189,0,0.008273009,0,0,0,0,0,0,0.017580145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging18,6381,0,0,0,0,0,0.373913043,0,0,0,0,0,0,0,0.006956522,0,0,0.412173913,0,0.00173913,0,0,0,0,0,0,0,0,0.00173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064347826,0,0,0,0.00173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064347826,0,0,0,0.033043478,0,0,0,0,0,0.00173913,0,0,0,0,0,0.00173913,0,0.010434783,0,0,0,0,0,0,0.024347826,0,0,0,0,0.00173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging19,6650,0,0,0,0,0,0.324285022,0,0.000484731,0,0,0,0,0,0.006786234,0.000484731,0,0.460009695,0,0,0,0,0,0,0,0,0,0,0.000484731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06980126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077072225,0,0,0,0.03490063,0,0,0,0,0,0,0,0,0,0,0,0.001454193,0,0.007270965,0,0,0,0,0,0,0.016965584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanging20,6903,0,0,0,0,0,0.326829268,0,0,0,0,0,0,0,0.01300813,0.001626016,0,0.43902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094308943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001626016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060162602,0,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0.001626016,0,0.016260163,0,0,0,0,0,0,0.021138211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
