site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
little01,243,0.01056338,0,0,0.003521127,0,0.362676056,0,0.017605634,0,0,0,0,0,0,0.179577465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017605634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01056338,0,0,0,0,0,0,0,0,0,0,0.003521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01056338,0,0,0.193661972,0,0,0,0.007042254,0,0,0,0,0.084507042,0,0.003521127,0,0,0,0,0,0.021126761,0,0,0,0.01056338,0,0,0,0,0,0,0,0,0,0.017605634,0,0,0,0,0,0,0,0,0.045774648,0,0,0,0,0,0,0,0
little02,406,0.057017544,0,0,0,0,0.557017544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070175439,0,0,0,0,0,0,0,0,0,0,0.021929825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004385965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877193,0.013157895,0,0,0.026315789,0,0,0,0.013157895,0,0,0,0,0.135964912,0,0,0,0,0,0,0,0.004385965,0,0,0,0.021929825,0,0,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0.013157895,0,0,0,0.039473684,0,0,0,0,0,0,0,0
little03,487,0.027888446,0,0,0.015936255,0,0.557768924,0,0,0,0,0,0,0,0,0.011952191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011952191,0,0.023904382,0,0,0,0,0,0,0,0,0,0,0.007968127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011952191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007968127,0.011952191,0,0,0.003984064,0,0,0,0,0,0,0,0,0.12749004,0,0,0,0,0,0,0,0.019920319,0,0,0,0.035856574,0,0,0,0,0,0,0,0,0,0.015936255,0,0,0,0,0,0,0,0,0.107569721,0,0,0,0,0,0,0,0
little04,974,0.072100313,0,0,0.006269592,0,0.332288401,0,0,0,0,0,0,0,0.003134796,0.009404389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009404389,0,0.081504702,0,0,0,0,0,0,0,0,0,0,0.018808777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018808777,0.015673981,0,0,0.003134796,0,0,0.009404389,0,0,0,0,0,0.300940439,0,0.003134796,0,0,0,0,0,0.003134796,0,0,0,0.021943574,0,0,0,0,0,0,0,0,0,0.006269592,0,0,0,0,0,0,0,0,0.084639498,0,0,0,0,0,0,0,0
little05,1217,0.07712766,0,0,0.010638298,0,0.444148936,0,0,0,0,0,0,0,0.002659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018617021,0,0.018617021,0,0,0,0,0,0,0,0,0,0,0.029255319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002659574,0,0,0,0,0,0,0,0,0,0,0.007978723,0,0,0,0,0,0,0,0,0,0,0,0,0.005319149,0,0,0,0.007978723,0,0,0,0,0,0,0,0,0.329787234,0,0.002659574,0,0,0,0,0,0,0,0,0,0.005319149,0.002659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034574468,0,0,0,0,0,0,0,0
little06,1461,0.01171875,0,0,0.0078125,0,0.2890625,0,0.01171875,0,0,0,0,0,0.0078125,0.00390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0.0546875,0,0,0,0,0,0,0,0,0,0,0.02734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0.0234375,0,0,0.01171875,0,0,0,0,0,0,0,0,0.4140625,0,0.00390625,0,0,0,0,0,0.015625,0,0,0,0.01171875,0,0,0,0,0,0,0,0,0,0.00390625,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0
little07,1704,0.124637681,0,0,0.014492754,0,0.301449275,0,0.002898551,0,0,0,0,0,0.005797101,0.005797101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008695652,0,0.049275362,0,0,0,0,0,0,0,0,0,0,0.017391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014492754,0.023188406,0,0,0.002898551,0,0,0,0.002898551,0,0,0,0,0.292753623,0,0.002898551,0,0,0,0,0,0.005797101,0,0,0,0.008695652,0.002898551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113043478,0,0,0,0,0,0,0,0
little08,1866,0.059288538,0,0,0.019762846,0,0.347826087,0,0,0,0,0,0,0,0.003952569,0.003952569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015810277,0,0.055335968,0,0,0,0,0,0,0,0,0,0,0.031620553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007905138,0.063241107,0,0,0.003952569,0,0,0,0,0,0,0,0,0.33201581,0,0.003952569,0,0,0,0,0,0.007905138,0,0,0,0.003952569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039525692,0,0,0,0,0,0,0,0
little09,2029,0.018181818,0,0,0.009090909,0,0.778787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009090909,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0.003030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012121212,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0.063636364,0,0,0,0,0,0,0,0.003030303,0,0,0,0.009090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003030303,0,0,0,0.012121212,0,0,0,0,0,0,0,0
little10,2191,0.07518797,0,0,0.007518797,0,0.338345865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018796992,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0.018796992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0.022556391,0,0,0.011278195,0,0,0,0,0,0,0,0,0.22556391,0,0.015037594,0,0,0,0,0,0.003759398,0,0,0,0.011278195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169172932,0.003759398,0,0,0,0,0,0,0
