site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
peten01,40,0,0.003868472,0,0,0,0.001934236,0,0.003868472,0.005802708,0,0,0,0,0,0.00967118,0.003868472,0,0,0,0.067698259,0.001934236,0,0.00967118,0.015473888,0,0,0,0,0,0,0,0,0.013539652,0,0.011605416,0,0,0,0,0.001934236,0,0,0,0,0,0,0,0,0.001934236,0.011605416,0,0,0.079303675,0,0,0,0,0,0.001934236,0,0.003868472,0,0,0.001934236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001934236,0.036750484,0.001934236,0,0,0.47582205,0.001934236,0.001934236,0.003868472,0,0,0,0,0,0,0,0,0,0,0,0.098646035,0,0,0.023210832,0,0,0,0,0.001934236,0,0,0.001934236,0,0,0.052224371,0,0,0,0,0,0,0,0,0,0,0,0,0.015473888,0,0,0,0,0,0,0,0.001934236,0,0,0,0,0,0,0.021276596,0,0,0.005802708,0,0,0.001934236,0,0,0
peten02,568,0,0.013157895,0.005263158,0,0,0.007894737,0,0,0,0,0,0,0,0,0.002631579,0.010526316,0,0,0,0.1,0.007894737,0,0.005263158,0.013157895,0,0,0,0,0,0.005263158,0,0,0.052631579,0,0.031578947,0,0,0,0,0.002631579,0,0.005263158,0,0,0.002631579,0,0,0,0.013157895,0,0,0,0.076315789,0,0,0,0,0,0,0.010526316,0.007894737,0,0,0,0,0,0,0,0,0,0,0.002631579,0,0.002631579,0,0.002631579,0,0,0.036842105,0,0,0,0.25,0.002631579,0.002631579,0,0,0,0,0,0,0,0,0.002631579,0,0,0,0.105263158,0,0,0.044736842,0,0,0,0,0,0,0,0,0,0.002631579,0.065789474,0,0,0,0,0,0,0,0,0,0,0,0,0.005263158,0,0,0,0,0,0,0,0.013157895,0,0,0,0,0,0,0.063157895,0,0,0.015789474,0,0,0.002631579,0,0,0.005263158
peten03,886,0,0.008595989,0,0,0,0,0,0.00286533,0.034383954,0,0,0,0,0,0.048710602,0.014326648,0,0.00286533,0,0.014326648,0.020057307,0,0.008595989,0.031518625,0,0,0,0,0,0,0,0,0.022922636,0,0.008595989,0,0,0,0,0.00286533,0,0.00286533,0,0,0.008595989,0,0,0,0.00286533,0,0,0,0.028653295,0,0,0,0,0,0,0,0,0,0.025787966,0,0,0.00286533,0,0,0,0,0,0.00286533,0,0,0,0.008595989,0,0,0.034383954,0.005730659,0,0,0.169054441,0.008595989,0.005730659,0,0,0,0,0,0,0.00286533,0,0.008595989,0,0,0,0.11747851,0,0,0.123209169,0,0,0,0,0,0,0,0.00286533,0,0,0.163323782,0,0,0,0,0,0,0,0,0,0,0,0,0.005730659,0,0,0,0,0,0.005730659,0,0,0,0,0,0,0,0,0.022922636,0,0,0.005730659,0,0,0,0.014326648,0,0
peten04,1238,0,0.0325,0,0,0,0.0025,0,0.005,0.135,0,0,0,0,0,0.06,0.0075,0,0,0,0.03,0.025,0,0.01,0.03,0,0,0,0,0,0.005,0,0,0.0025,0,0.0125,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0.01,0,0,0,0.025,0,0,0,0,0,0.005,0,0.0025,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0,0,0.01,0.005,0,0,0.1625,0.005,0.0025,0.0025,0,0,0,0,0,0,0,0.01,0,0,0,0.085,0,0,0.0775,0,0,0,0,0,0,0,0.0075,0,0,0.1775,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0
peten05,1355,0,0.050847458,0,0,0,0.008474576,0,0.004237288,0.173728814,0,0,0,0,0,0.059322034,0.038135593,0,0,0,0.029661017,0.021186441,0,0,0.008474576,0,0,0,0,0,0,0,0,0.038135593,0,0.012711864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004237288,0,0,0,0.050847458,0,0,0,0,0,0.004237288,0,0.004237288,0,0,0.004237288,0,0,0,0,0,0,0,0,0,0.004237288,0,0,0,0,0.008474576,0,0,0,0.161016949,0,0.004237288,0,0,0,0,0,0,0,0,0,0,0,0,0.110169492,0,0,0.101694915,0,0,0,0,0.008474576,0,0,0,0,0,0.06779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012711864,0,0,0,0,0,0,0.004237288,0,0,0.004237288,0,0,0,0,0,0
peten06,2582,0,0.073099415,0,0,0,0,0.005847953,0.002923977,0.081871345,0,0,0,0,0,0.070175439,0.014619883,0,0.005847953,0,0.014619883,0.014619883,0,0.058479532,0.005847953,0,0,0,0,0,0.002923977,0,0,0.002923977,0,0.005847953,0,0,0,0,0.002923977,0,0,0,0,0,0,0,0,0,0.002923977,0,0,0,0,0,0,0,0.002923977,0,0,0,0,0.005847953,0.002923977,0,0,0,0,0,0,0,0.002923977,0,0.005847953,0,0.002923977,0,0,0.005847953,0,0,0,0.058479532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119883041,0,0,0.122807018,0,0,0,0,0.00877193,0,0,0,0,0,0.242690058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014619883,0,0,0,0,0,0,0.023391813,0,0,0.002923977,0,0,0.005847953,0,0,0.005847953
peten07,3039,0,0.029325513,0.002932551,0,0,0.011730205,0,0.008797654,0.005865103,0,0,0,0,0,0.032258065,0.005865103,0,0,0,0.014662757,0.011730205,0,0.041055718,0.023460411,0,0,0,0,0,0.005865103,0,0,0.073313783,0,0.005865103,0,0,0,0.002932551,0.002932551,0,0,0,0,0.002932551,0,0,0,0.002932551,0,0,0,0.038123167,0,0,0,0,0.008797654,0.005865103,0.002932551,0,0,0.002932551,0.002932551,0,0.002932551,0,0,0,0,0,0.002932551,0,0.002932551,0,0.011730205,0,0,0.011730205,0,0,0,0.04398827,0,0.002932551,0.002932551,0,0,0,0,0,0,0,0.008797654,0,0,0,0.149560117,0,0,0.173020528,0,0,0,0,0.008797654,0,0,0.008797654,0,0,0.193548387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011730205,0,0,0,0,0,0,0.011730205,0,0,0,0,0,0,0.005865103,0,0
peten08,3191,0,0.020920502,0,0,0,0.0041841,0,0.016736402,0.008368201,0,0,0,0,0,0.071129707,0.071129707,0,0,0,0.016736402,0.025104603,0,0,0.0041841,0,0,0,0,0,0,0,0,0.008368201,0,0.0041841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037656904,0,0,0,0,0,0,0,0,0,0,0.0041841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025104603,0,0,0,0.058577406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121338912,0,0,0.205020921,0,0,0,0,0,0,0,0.008368201,0,0.0041841,0.263598326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008368201,0,0,0,0,0,0,0.012552301,0,0,0,0,0,0,0,0,0
peten09,3626,0,0.013550136,0,0,0,0.002710027,0,0.008130081,0.002710027,0,0,0,0,0,0.005420054,0,0,0,0,0.051490515,0.021680217,0,0.016260163,0.008130081,0,0,0,0,0,0,0,0,0,0,0.013550136,0,0,0,0,0,0,0.005420054,0,0,0,0,0,0,0,0.002710027,0,0,0.016260163,0,0,0,0,0,0.002710027,0,0.002710027,0,0.002710027,0,0,0.002710027,0,0,0,0,0,0.010840108,0,0,0,0.002710027,0,0,0.032520325,0,0,0,0.073170732,0.005420054,0,0,0,0,0,0,0,0.002710027,0,0,0,0,0,0.184281843,0,0,0.241192412,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.01897019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027100271,0,0,0,0,0,0,0,0,0
peten10,4154,0,0.012376238,0.00990099,0,0,0,0,0.00990099,0,0,0,0,0,0,0.024752475,0.007425743,0,0,0,0.03960396,0.017326733,0,0.032178218,0.02970297,0,0,0,0,0,0.002475248,0,0,0.01980198,0,0.00990099,0,0,0,0.002475248,0.002475248,0,0,0,0,0.007425743,0,0,0,0,0,0,0,0.047029703,0,0,0,0,0,0,0.007425743,0,0,0,0.002475248,0,0,0,0,0,0,0,0,0,0.002475248,0,0.002475248,0,0,0.042079208,0,0,0,0.111386139,0,0.002475248,0,0,0,0,0,0,0,0,0.004950495,0,0,0,0.123762376,0,0,0.227722772,0,0,0,0,0.002475248,0,0,0,0,0,0.133663366,0,0,0,0,0,0,0,0,0,0,0,0,0.007425743,0,0,0,0,0,0,0,0.014851485,0,0,0,0,0,0,0.032178218,0,0,0,0,0,0.004950495,0,0,0.002475248
