site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
titaluk01,905,0,0,0,0,0,0.158102767,0,0.003952569,0,0,0,0,0,0.090909091,0.04743083,0,0.221343874,0,0.039525692,0,0,0,0,0,0,0,0,0.011857708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04743083,0,0,0,0.003952569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019762846,0.003952569,0,0,0.249011858,0,0,0.003952569,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011857708,0,0,0,0.083003953,0,0,0,0,0.003952569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk02,1892,0,0,0,0,0,0.21686747,0,0,0,0,0,0,0,0.100401606,0.040160643,0,0.265060241,0,0.020080321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044176707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020080321,0.004016064,0,0,0.228915663,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0,0.040160643,0,0,0,0,0.004016064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk03,2888,0,0,0,0,0,0.215189873,0,0,0,0,0,0,0,0.067510549,0.046413502,0,0.185654008,0,0.067510549,0,0,0,0,0,0,0,0,0.012658228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029535865,0,0,0,0.004219409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037974684,0,0,0,0.244725738,0,0,0,0,0,0,0,0,0,0,0,0.004219409,0,0,0,0,0.012658228,0,0.008438819,0,0.063291139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk04,3860,0,0,0,0,0,0.252380952,0,0,0,0,0,0,0,0.042857143,0.028571429,0,0.252380952,0,0.028571429,0,0,0,0,0,0,0,0,0.00952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0.004761905,0.004761905,0,0.214285714,0,0,0.004761905,0,0,0,0,0,0,0,0,0.004761905,0,0,0,0,0.00952381,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk05,4843,0,0,0,0,0,0.193965517,0,0.004310345,0,0,0,0,0,0.094827586,0.021551724,0,0.254310345,0,0.021551724,0,0,0,0,0,0,0,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025862069,0,0,0,0.004310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004310345,0,0.245689655,0,0,0,0,0,0,0,0,0,0,0,0.012931034,0,0,0,0,0.017241379,0,0,0,0.081896552,0,0,0,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk06,6790,0,0,0,0,0,0.072727273,0,0,0,0,0,0,0,0.066666667,0.048484848,0,0.218181818,0,0.084848485,0,0,0,0,0,0,0,0,0.012121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012121212,0.006060606,0,0,0.296969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018181818,0,0.012121212,0,0.103030303,0,0,0,0,0.018181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk07,7776,0,0,0,0,0,0.286343612,0,0.008810573,0,0,0,0,0,0.092511013,0.04845815,0,0.171806167,0,0.052863436,0,0,0,0,0,0,0,0,0.004405286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013215859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008810573,0,0,0,0.220264317,0,0,0,0,0,0,0,0,0,0,0,0.008810573,0,0,0,0,0.008810573,0,0,0,0.066079295,0,0,0,0,0.008810573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk08,8762,0,0,0,0,0,0.172972973,0,0.010810811,0,0,0,0,0,0.064864865,0.043243243,0,0.227027027,0,0.043243243,0,0,0,0,0,0,0,0,0.005405405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032432432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0,0,0,0.324324324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010810811,0,0.037837838,0,0,0,0,0.016216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk09,10751,0,0,0,0,0,0.102040816,0,0.005102041,0,0,0,0,0,0.086734694,0.040816327,0,0.204081633,0,0.030612245,0,0,0,0,0,0,0,0,0.005102041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025510204,0,0,0,0.321428571,0,0,0.005102041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020408163,0,0,0,0.102040816,0,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk10,11731,0,0,0,0,0,0.169642857,0,0.017857143,0,0,0,0,0,0.080357143,0.080357143,0,0.151785714,0,0.026785714,0,0,0,0,0,0,0,0,0.026785714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089285714,0,0,0,0.232142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.008928571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk11,12701,0,0,0,0,0,0.05785124,0,0,0,0,0,0,0,0.082644628,0.05785124,0,0.239669421,0,0.049586777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041322314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033057851,0.024793388,0.008264463,0,0.305785124,0,0,0,0,0,0,0,0,0,0,0,0.008264463,0,0,0,0,0.033057851,0,0,0,0.049586777,0,0,0,0,0.008264463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk12,13690,0,0,0,0,0,0.083832335,0,0.005988024,0,0,0,0,0,0.05988024,0.089820359,0,0.161676647,0,0.041916168,0,0,0,0,0,0,0,0,0.011976048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011976048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011976048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023952096,0.005988024,0,0,0.383233533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017964072,0,0.005988024,0,0.077844311,0,0,0,0,0.005988024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk13,14676,0,0,0,0,0,0.078571429,0,0,0,0,0,0,0,0.107142857,0.064285714,0,0.092857143,0,0.035714286,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0.007142857,0,0,0.414285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014285714,0,0,0,0.042857143,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titaluk14,15672,0,0,0,0,0,0.123188406,0,0,0,0,0,0,0,0.094202899,0.065217391,0,0.086956522,0,0.028985507,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050724638,0,0,0,0.427536232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0.036231884,0,0,0,0,0.007246377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
