site,time,Abies,Acacia,Acalypha,Acer,Agavaceae,Alnus,Alternanthera,Amaranthaceae,Ambrosia-type,Anacardaceae,Apiaceae,Arceuthobium,Arecaceae undiff.,Artemisia,Asteraceae undiff.,Begonia,Betula,Bignoniaceae undiff.,Brassicaceae,Brosimum (combine with moraceae),Bursera,Buxus,Byrsonima,Caesalpinia,Campanulaceae,Caprifoliaceae sensu lato,Carya,Caryophyllaceae,Casearia,Cassia,Castanea,Ceanothus,Cecropia,Celastra,Celtis,Ceratiola ericoides,Cercocarpus-type,Combretaceae/Melastomataceae undiff.,Connarus,Convolvulaceae undiff.,Corylus,Croton,Cupressaceae undiff.,Cyclachaena xanthiifolia-type,Dodonaea,Ephedra,Ericaceae,Eriogonum,Eugenia,Euphorbiaceae undiff.,Fabaceae,Fagaceae undiff.,Ficus,Fraxinus,Galium,Gentianaceae,Gordonia,Gustavia,Hedyosmum,Hieronyma,Hymenaea,Ilex,Inga,Iresine,Iva,Juglans,Lamiaceae,Leitneria floridana,Liliaceae,Linanthus,Lindernia,Liquidambar,Lysichiton,Machaerium,Magnolia,Malpighiaceae undiff.,Malvaceae,Mandevilla,Melastomataceae undiff.,Meliaceae undiff.,Micranthes,Monardella,Moraceae undiff.,Myrica,Myrsine,Myrtaceae undiff.,Nyssa,Olacaceae undiff.,Onagraceae,Opuntia,Ostrya/Carpinus,Oxalidaceae,Papaver,Paullinia,Pedicularis,Phlox-type,Picea,Pinus undiff,Plantago,Platanus,Poaceae,Polemoniaceae,Polygaceae,Polygonaceae undiff.,Populus,Portulacaceae,Potentilla,Prosopis,Protium,Pseudotsuga,Psychotria,Quercus,Ranunculaceae,Rhamnaceae,Rhododendron subsect. Ledum,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Sabal,Salix,Sambucus,Sanguisorba,Sapium,Sarcobatus vermiculatus,Saxifragaceae,Schinus,Serenoa,Shepherdia canadensis,Spermacoce,Spiraea-type,Spondias,Stellaria-type,Symphoricarpos,Taxodium,Taxus brevifolia,Thalictrum,Tilia,Trema,Tsuga heterophylla,Tsuga mertensiana,Ulmus,Verbenaceae,Viburnum,Vitex,Vitis,Yucca,Zanthoxylum
tulane01,-7,0,0,0,0,0,0.002347418,0,0.05399061,0.042253521,0,0,0,0.004694836,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007042254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014084507,0,0,0,0,0,0.002347418,0,0,0,0,0.007042254,0,0,0,0,0,0,0,0.007042254,0,0,0.002347418,0,0,0,0,0,0,0.004694836,0,0,0,0,0,0,0,0,0,0,0,0.143192488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279342723,0,0,0.115023474,0,0,0,0,0,0,0,0,0,0,0.234741784,0,0,0,0.014084507,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0.023474178,0,0,0,0,0,0,0.009389671,0,0,0,0,0,0,0.004694836,0,0,0,0.014084507,0,0
tulane02,20,0,0,0,0,0,0.004796163,0,0.035971223,0.03117506,0,0,0,0.028776978,0,0.050359712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040767386,0,0,0,0.002398082,0,0.004796163,0,0,0,0,0.007194245,0,0,0,0,0,0,0,0.009592326,0,0,0,0,0,0,0,0,0,0.004796163,0,0,0,0,0,0,0,0,0,0,0,0.167865707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335731415,0,0,0.095923261,0,0,0,0,0,0,0,0,0,0,0.158273381,0,0,0,0.009592326,0,0,0,0.002398082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002398082,0,0,0,0,0,0,0,0,0,0,0.007194245,0,0
tulane03,48,0,0,0,0,0,0,0,0.036163522,0.025157233,0,0.001572327,0,0,0,0.058176101,0,0,0,0,0,0,0,0,0,0,0,0.004716981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003144654,0,0,0,0,0,0.011006289,0,0,0,0,0.004716981,0,0,0,0,0,0,0,0.001572327,0,0,0.001572327,0,0,0,0,0,0,0.001572327,0,0,0,0,0,0,0,0,0,0,0,0.100628931,0,0,0,0,0,0,0.001572327,0,0,0,0,0,0,0.413522013,0,0,0.127358491,0,0,0.001572327,0,0,0,0,0,0,0,0.155660377,0,0,0,0.007861635,0,0,0,0,0.012578616,0,0,0,0,0,0,0,0.009433962,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0.001572327,0,0,0,0,0,0
tulane04,75,0,0,0,0,0,0.002173913,0,0.036956522,0.039130435,0,0,0,0.006521739,0,0.058695652,0,0,0,0,0,0,0,0,0,0,0,0.013043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004347826,0,0,0,0.004347826,0,0.002173913,0,0,0,0,0.002173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002173913,0,0,0,0,0,0,0,0,0,0,0,0.093478261,0,0,0,0,0,0,0.004347826,0,0,0,0,0,0,0.363043478,0,0,0.139130435,0,0,0.002173913,0,0,0,0,0,0,0,0.189130435,0,0,0,0.004347826,0,0,0,0,0.004347826,0,0,0,0,0,0,0,0.010869565,0,0,0,0,0,0,0.015217391,0,0,0,0,0,0,0.002173913,0,0,0,0,0,0
tulane05,130,0,0,0,0,0,0.003809524,0,0.03047619,0.03047619,0,0,0,0.00952381,0,0.07047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003809524,0,0,0,0,0,0,0,0.005714286,0,0,0,0,0,0.005714286,0,0,0,0,0.007619048,0,0,0,0,0,0,0,0,0,0,0.001904762,0,0,0,0,0,0,0.001904762,0,0,0,0,0,0,0,0,0,0,0,0.131428571,0,0,0,0,0,0,0.003809524,0,0,0,0,0,0,0.339047619,0,0,0.140952381,0,0,0,0,0,0,0,0,0,0,0.156190476,0,0,0,0,0,0,0,0,0.007619048,0,0,0,0,0,0,0,0.011428571,0,0,0,0,0,0,0.038095238,0,0,0,0,0,0,0,0,0,0,0,0,0
tulane06,185,0,0,0,0,0,0.011627907,0,0.055232558,0.029069767,0,0,0,0.00872093,0.002906977,0.055232558,0,0,0,0,0,0,0,0,0,0,0,0.002906977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043604651,0,0,0,0,0,0.00872093,0,0,0,0,0.002906977,0,0,0,0,0,0,0,0.005813953,0,0,0.011627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122093023,0,0,0,0,0,0,0.002906977,0,0,0,0,0,0,0.305232558,0,0,0.130813953,0,0,0,0,0,0,0,0,0,0,0.180232558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005813953,0,0,0,0,0,0,0.005813953,0,0,0,0.00872093,0,0
tulane07,241,0,0,0,0,0,0.001319261,0,0.055408971,0.014511873,0,0.001319261,0,0.002638522,0,0.017150396,0,0,0,0,0,0,0,0,0,0,0,0.005277045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009234828,0,0,0,0,0,0.002638522,0,0,0,0,0.005277045,0,0,0,0,0,0,0,0.003957784,0,0,0.005277045,0,0,0,0,0,0,0.002638522,0,0,0,0,0,0,0,0,0,0,0,0.060686016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535620053,0,0,0.121372032,0,0,0,0,0,0,0,0,0,0,0.13060686,0,0,0,0,0,0,0,0,0.002638522,0,0,0,0,0,0,0,0.001319261,0,0,0,0,0,0,0.018469657,0,0,0,0,0,0,0.001319261,0,0,0,0.001319261,0,0
tulane08,297,0,0,0,0,0,0.001805054,0,0.046931408,0.014440433,0,0,0,0.003610108,0,0.014440433,0,0,0,0,0,0,0,0,0,0,0,0.001805054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005415162,0,0,0,0.001805054,0,0.001805054,0,0,0,0,0.007220217,0,0,0,0,0,0,0,0.001805054,0,0,0.001805054,0,0,0,0,0,0,0.003610108,0,0,0,0,0,0,0,0,0,0,0,0.050541516,0,0,0,0,0,0,0.001805054,0,0,0,0,0,0,0.602888087,0,0,0.104693141,0,0,0.001805054,0,0,0,0,0,0,0,0.106498195,0,0,0,0,0,0,0,0,0.001805054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016245487,0,0,0,0,0,0,0.003610108,0,0,0,0.003610108,0,0
tulane09,353,0,0,0,0,0,0.003952569,0,0.013833992,0.003952569,0,0,0,0,0,0.023715415,0,0,0,0,0,0,0,0,0,0,0,0.003952569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007905138,0,0,0,0,0,0,0,0,0,0,0.005928854,0,0,0,0,0,0,0,0,0,0,0.005928854,0,0,0,0,0,0,0.003952569,0,0,0,0,0,0,0,0,0,0,0,0.033596838,0,0,0,0,0,0,0.001976285,0,0,0,0,0,0,0.745059289,0,0,0.045454545,0,0,0.001976285,0,0,0,0,0,0,0,0.083003953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013833992,0,0,0,0,0,0,0.001976285,0,0,0,0,0,0
tulane10,409,0,0,0,0,0,0.001466276,0,0.016129032,0.005865103,0,0,0,0,0,0.01026393,0,0,0,0,0,0,0,0,0,0,0,0.001466276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001466276,0,0,0,0.002932551,0,0.002932551,0,0,0,0,0.005865103,0,0,0,0,0,0,0,0.001466276,0,0,0.005865103,0,0,0,0,0,0,0.007331378,0,0,0,0,0,0,0,0,0,0,0,0.029325513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.758064516,0,0,0.049853372,0,0,0,0,0,0,0,0,0,0,0.064516129,0,0,0,0,0,0,0,0.002932551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030791789,0,0,0,0,0,0,0,0,0,0,0.001466276,0,0
