"","YrBP","Abies","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Cupressaceae","Fagaceae","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Quercus","Ranunculaceae","Rhamnaceae","Rosaceae","Yucca"
"bald1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bald2",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bald3",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bald4",3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bald5",4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bald6",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bald7",6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bald8",7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bald9",8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bald10",9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bald11",10000,0.017391304,0.014492754,0.002898551,0,0.197101449,0.017391304,0.020289855,0,0.008695652,0.672463768,0,0.002898551,0,0.026086957,0.005797101,0.014492754,0,0
"bald12",11000,0.0169782306895175,0.015446434103114,0.00308928706119539,0.000778744838827422,0.182815433019505,0.0177569755283449,0.0161737939623018,0.000778744838827422,0.00771037070879434,0.689847834011977,0,0.0038680316971598,0,0.0254673470342763,0.00617857312239078,0.0115527103147029,0.00155748947479183,0
"bald13",12000,0.0172954035296493,0.0160736955904748,0.00362649328223503,0.00128157584722222,0.170548096415682,0.0193688137832447,0.0121385149486554,0.00254851092769898,0.00704939248133373,0.699102907473306,0.000475100674103627,0.00617500387608354,0.000950201272507884,0.0238843366940751,0.0067778849660658,0.00887398261569149,0.00383008644107073,0
"bald14",13000,0.0181401778344097,0.0160892570323193,0.00422501528445785,0.00128073238165647,0.166163379209835,0.0213577632861715,0.0101509724823674,0.00437969736789033,0.00701461562262067,0.69623580326133,0.00116211191612848,0.00860471231871743,0.00232422364709382,0.0221744494175306,0.00728791783795037,0.00774874272119306,0.00566042941591605,0
"bald15",14000,0.0177418746836939,0.0173683883541954,0.00487818203685829,0.00117524721513744,0.161531598473775,0.0229353510996998,0.00858103727828007,0.0062552206762036,0.00720407781801677,0.693653514891971,0.00158066481522503,0.00957664090606611,0.00290186914242444,0.0210173233426178,0.00739731780070067,0.0069550032170351,0.00924668936354679,0
"bald16",15000,0.0175623544867299,0.0179845886959107,0.00559305782042511,0.00114166883115181,0.157852025523355,0.0241461469198263,0.00684837500675966,0.00780172065575561,0.007309495089924,0.693285151061294,0.00182724062169784,0.010409006406365,0.00334982483444287,0.0200909671723236,0.00749758650904361,0.00590903611503718,0.0113917554261592,0
"bald17",16000,0.0176037244106741,0.0183227201587113,0.00654399769589655,0.00104931013616941,0.154724732186733,0.0256834657357068,0.00483216842468777,0.00972032131429143,0.007493408094464,0.691761175240486,0.00214511974261062,0.0115492338446612,0.00400119251690935,0.0188825646491943,0.00762485874001507,0.00468010820646711,0.0133819001300484,0
"bald18",17000,0.0175513501478902,0.0186251942301179,0.00743649725601607,0.000761307632843196,0.153589830121959,0.0273101717851685,0.00340760366876544,0.012067946776358,0.00782416360621034,0.688986900108784,0.00252851657418997,0.0119108618746776,0.00430934375227201,0.0173964808396804,0.0073501554540918,0.00391907409815083,0.0150246032499265,0
"bald19",18000,0.016996497673132,0.0196125889880878,0.00823220214345144,0.000533859861870927,0.14980916164083,0.0282979465151914,0.00211608955966888,0.0137362178000379,0.00834360299290001,0.691523858697519,0.00303938319122651,0.0110834487675094,0.00383952797781646,0.0164108016892359,0.00673660330386923,0.00319339448617605,0.0164948156767399,0
"bald20",19000,0.0172228965958879,0.0198153929151436,0.00897075734811424,0.000378435607776247,0.147539665915355,0.0291091787065874,0.00096829590179627,0.0152506671708572,0.00897325132882819,0.694518858831009,0.00381986077123038,0.0102223521655802,0.00331566327577529,0.0154293105175071,0.00615767323013635,0.00254177076173921,0.0157659696375134,0
"bald21",20000,0.0172829612256193,0.0219285177986542,0.00925400410212333,0.000578579935265415,0.153531377272531,0.0305502853100322,0.000189866157104557,0.0194919518009115,0.00992536470708311,0.681855766471024,0.0053042482153941,0.00855503262085255,0.00244236624247721,0.014731683007807,0.00606507075917962,0.00291786478996247,0.0153950599051421,0
"bald22",21000,0.0167676517282057,0.0256703619247382,0.00856696256357706,0.0010871856869728,0.169164511040856,0.0326001915340959,7.19380106942312e-05,0.0241730467748502,0.0104500692667104,0.654322375030261,0.0071756022332524,0.00674850285719676,0.00132203331507271,0.0159172586173958,0.00643484476712492,0.00413106785590094,0.0153963968593416,0
"bald23",22000,0.0157610476942839,0.0315027999025832,0.00832765479212948,0.0017528460195235,0.191224317268489,0.0353478921508099,0,0.0291563101692569,0.0109299183504468,0.613980659473627,0.0089903714556365,0.00570054689989189,0.000527519637519786,0.0184457992515201,0.00746954732523047,0.00541703380655771,0.0154657357295266,0
"bald24",23000,0.0142610174954267,0.0380463834062748,0.00871451355533853,0.00246668902820464,0.22287351300393,0.0393797091641917,0,0.0361238721555825,0.0110826745040007,0.558403520961602,0.0111476136014912,0.0053017173156716,0.00021634094199829,0.0210477288741793,0.0097937789426886,0.00632084510837863,0.0148200818548977,0
"bald25",24000,0.0124379667351523,0.0430815253442829,0.00920167902100144,0.00288414921899435,0.248546246794155,0.0421988229949395,0,0.0427574414461894,0.010815304956501,0.51256616337533,0.0126354837998994,0.00539011760572073,0.000172536072523527,0.0239616325390238,0.0115888955757722,0.00690736597735448,0.0148546685510157,0
"bald26",25000,0.010594750921588,0.0470314462924473,0.00984723410835103,0.00294590063567119,0.267603600962981,0.0446671490140631,0,0.0473046163406995,0.0102254866184852,0.480019889610819,0.0135895829174542,0.00572468844306037,0.000220675246269242,0.0268259603591463,0.0123735321826699,0.00677707526511113,0.0142484111227831,0
"bald27",26000,0.00897804205447311,0.0498559781412084,0.011129801283017,0.00272629698705633,0.279086347940052,0.0458386444727609,0,0.0507504074188336,0.00948801772640814,0.461739876180891,0.0139968014577138,0.00610667653312757,0.000450848728172596,0.0280648975617651,0.0125245351382176,0.00634052616712158,0.0128821672216749,4.01349107396496e-05
"bald28",27000,0.00787231446034577,0.0505700931475312,0.0118074543350016,0.00251636523536886,0.279144337174469,0.0445247918076197,0,0.0515308288733941,0.00815129641651973,0.461159907702624,0.0136721714772606,0.00620567692242389,0.000964565365401868,0.0308833944485662,0.0129602599602795,0.00659134832134824,0.0112674326466937,0.000177761380394289
"bald29",28000,0.00731867022439592,0.0506484198286976,0.0119439656478535,0.00233176070605538,0.273705617851145,0.0421301640423545,0,0.0504202812033589,0.00663962557731689,0.469743398583551,0.0124379055336553,0.00630750595392149,0.00155513154594943,0.0346648135594835,0.0125697497123813,0.00714825896591272,0.010139202186485,0.000295528355589977
"bald30",29000,0.0071441440047766,0.0510887676512869,0.0118281357515037,0.00220321374249336,0.267201116376258,0.0399844774303214,0,0.047329612234397,0.00522639104747891,0.481910070168431,0.0110929277012283,0.0061125465057823,0.00218557067737268,0.0377692481724555,0.0120408745096352,0.00758240538627754,0.00888978440407944,0.000410713493661147
"bald31",30000,0.00738753904241185,0.0514881336446826,0.0116811134293835,0.0021301682594248,0.259047364404032,0.037051515857,0,0.0427106492143824,0.00393738956004866,0.496252197000129,0.0097854051553254,0.00586410406573591,0.003089463595216,0.0410252190964924,0.0119796575682384,0.00822896428460696,0.00781869485300096,0.000522420102136915
"bald32",31000,0.00769494968866641,0.0525707426949144,0.0113878442728165,0.0021985021439139,0.250112643163616,0.0339676383911967,0,0.0371854949057137,0.00326916278735277,0.508049625057356,0.00858833723076804,0.00523144234535583,0.00395000067739726,0.0464330185707911,0.0127023185954347,0.00913057684796898,0.00692948784048652,0.000598213874305594
"bald33",32000,0.00803965676599076,0.054548819627119,0.0116004212563637,0.00224119942713975,0.24128625153427,0.0314812500833848,0,0.0308579500684127,0.00299087195290973,0.520720756600011,0.00769114376536894,0.00460542058110039,0.00469024738224126,0.0509454522953373,0.0125804500555685,0.00907854306520886,0.00610304036616451,0.000538524348123092
"bald34",33000,0.00808851661991161,0.0558255340442733,0.0124993056460487,0.00218685831426695,0.231690227302909,0.0292810263244955,0,0.0244125043885844,0.00332269270742265,0.534796720249572,0.00762421403301932,0.00383767121353706,0.0052899971120293,0.0541211547353934,0.0126271044345523,0.00867272165477712,0.00527093532356611,0.000452815239717136
"bald35",34000,0.00781200171876798,0.056031984440336,0.0141409171717284,0.00213833182231831,0.22046056104612,0.026849804762153,0,0.018745146165419,0.00427607138949941,0.54865515097856,0.0078472869334769,0.00313546201777159,0.00566836568787636,0.0576872082177967,0.0132272266202452,0.00836222395358138,0.00463651405804322,0.00032574255030678
"bald36",35000,0.00721745514217566,0.0548581242627605,0.0161721632316224,0.00220658526118125,0.207879116249905,0.0252280734504018,0,0.0146597087986707,0.00593491118286439,0.563465149444917,0.00835538427832468,0.00242219225856111,0.00519494353850094,0.0604779464921739,0.0137083946054726,0.00801550359058057,0.00404308708631429,0.000161260777184287
"bald37",36000,0.00684860418002103,0.0512995221337402,0.0180423017505959,0.00253852984218954,0.196210527442148,0.0252006393211781,0,0.012397791350609,0.00643181567167433,0.58153206447512,0.00906076897701062,0.00236249528767482,0.00456698295750767,0.0594484442902114,0.0125875716554213,0.00765188643187434,0.00382005396102686,0
"bald38",37000,0.0068975551845098,0.0464062983667875,0.0184029317337603,0.00299164643823821,0.1935075544792,0.0265085821439381,0,0.0120997925983649,0.00690201244620198,0.58837752202444,0.00921711086705231,0.00252857082878837,0.00424005708838462,0.0574936696941874,0.0120570628012197,0.00828572648612677,0.00408390649745765,0
"bald39",38000,0.00745846905993151,0.0437128566732292,0.0179413100990838,0.00348271763865805,0.195327950372091,0.0284997829591313,0,0.0115513170822283,0.00733670285499172,0.588413731058958,0.00912926822439216,0.00286268074957395,0.00410380380899013,0.0557171355745188,0.0115374508272658,0.00884121759735117,0.00408360490402438,0
"bald40",39000,0.00851739736248618,0.0423654028280302,0.016878647235315,0.00399418834460449,0.201529622700185,0.0307664207408143,0,0.0100443362757061,0.0071970466774511,0.586972442374401,0.00946449887662979,0.00328205188010729,0.00434233578520402,0.0515052360530924,0.00997934050008537,0.00925085467026697,0.00391017705128631,0
"bald41",40000,0.0097324169046928,0.0419188614071247,0.0151943802465654,0.00423694739133217,0.213814203530484,0.0327687466588925,0,0.00757544667359543,0.00613470923943878,0.583912116662389,0.009535899183613,0.00380710176078842,0.00568384636792151,0.0440886098599394,0.00825338751986127,0.00933975811975648,0.0040035679072337,0
"bald42",41000,0.0106532382723978,0.041429299041119,0.0137367151517655,0.00364045262325328,0.22844684100438,0.0326551262433024,0,0.00474145689843574,0.00569618137728151,0.581305297681753,0.00899902431792427,0.00401905121649831,0.00732030953726712,0.0360676530672039,0.00830214663877606,0.0089342247031585,0.0040529817967931,0
"bald43",42000,0.010646592385587,0.041317989882103,0.0129769734102076,0.00260870820496103,0.24172558589172,0.0309403814978604,0,0.00304635592706512,0.00428604040108253,0.581598141590473,0.00822415732983033,0.00395342796120186,0.00846025611282259,0.0288174165049997,0.00930206934523799,0.00851972684534343,0.00357617638157143,0
"bald44",43000,0.0101754990161199,0.0404195145067617,0.0124632362807609,0.00170974257299012,0.251951598039178,0.028454185071126,0,0.00259093970210857,0.00301409288607418,0.583488237373775,0.00720405431778113,0.00382045434116053,0.00885349048363972,0.0233939137407109,0.0110061575379002,0.00815181639044007,0.00330306764135697,0
"bald45",44000,0.00917643956628348,0.0386547192375557,0.012600482927734,0.00106968381100519,0.254440615884266,0.0269045595134354,0,0.0026374489769144,0.00234207631268746,0.587183136392054,0.00599333757535667,0.0040714616033978,0.00852151739873438,0.0216168886450797,0.0129600685469471,0.0082789021594279,0.00354866153294124,0
"bald46",45000,0.00823180366946215,0.0378487662221722,0.0127109319158415,0.000549091905859804,0.255439669461959,0.0256313895758119,0,0.00267090899405079,0.00209964509832271,0.587985890365238,0.00495429870717518,0.00426259142808896,0.00766670983542765,0.0220920127723624,0.0155133115618712,0.00866294674629055,0.00368003186004813,0
"bald47",46000,0.00708866016217576,0.0386699230570293,0.0125144973630041,0.000284831923425013,0.257085307036413,0.0250478005709929,0,0.00301529357480634,0.00194738780492399,0.584718626331708,0.00427743237264653,0.00462489826823948,0.00643071858963354,0.0236267927566136,0.0177922560952586,0.00912373216617631,0.0037518421392094,0
"bald48",47000,0.00634801803773232,0.0398137316875328,0.0121776846187315,0.000209171536506894,0.256829403749729,0.0246394362959649,0,0.00342381455133123,0.00213108331470549,0.581244752035233,0.0037998125312348,0.00535153633148794,0.00521542207243086,0.0254457508887772,0.0194791891551,0.00975888587259382,0.00413230768941363,0
