"","YrBP","Abies","Acer","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Betula","Caryophyllaceae","Cupressaceae","Ephedra","Eriogonum","Picea","Pinus","Poaceae","Polemoniaceae","Polygonaceae","Pseudotsuga","Quercus","Rosaceae","Salix","Sarcobatus.vermiculatus","Thalictrum"
"bear1",0,0.00982622483403596,0.0012471140036433,0.0649528136351051,0.0299601358688618,0.429053437237691,0.0308177057445381,0.0020888056111065,0,0.0374323562390541,0.00267450078216048,0.000407896198056761,0.00949533749666929,0.230142831865249,0.102540592656805,0.000215615646490792,0.000196720493516217,0.00415108286731088,0.0170936718217372,0.00868902260712558,0.00145212896244621,0.0169972918273242,0.000564713257179669
"bear2",1000,0.00927384789792138,0.00123332084656275,0.0670988365456869,0.0302468049097549,0.429187621618848,0.0314943498679485,0.00208376629499591,0,0.0388427143336532,0.00267807029101358,0.000499217617708371,0.009125046999434,0.223988495816836,0.103199804504289,0.000233653880247129,0.000146326289598062,0.00410226738315325,0.0187260851487015,0.00929332665479644,0.00142669125988707,0.0163897874565181,0.000729964035732826
"bear3",2000,0.00899365667286049,0.00126948217788466,0.0686358954927178,0.0303097153691559,0.432743631190547,0.0310996285050916,0.00210698136696595,0,0.0411603596350046,0.0028681083657851,0.000635465245018237,0.00878957979118734,0.215808191765468,0.102190793566354,0.000216071855227753,0.000104506539299364,0.00428257180679956,0.020054541993888,0.00989682426353708,0.00142773329942554,0.0165328467608011,0.000873413987766064
"bear4",3000,0.00855453401390365,0.00134572188700504,0.0701922386475219,0.0298997724464213,0.441510106467413,0.0305255681230979,0.00192823115096372,0,0.0437498438268857,0.0031235247838038,0.00073922952687636,0.00808522003185997,0.205380094857435,0.0988815777038898,0.000215762768306847,7.29918542631149e-05,0.00431242112588608,0.021496784582659,0.0103717097258829,0.00144933923196556,0.0171463890234921,0.00101893792766604
"bear5",4000,0.00813996613767401,0.00138869818248446,0.0724248692589099,0.0303064398997046,0.449109843457267,0.0294877475599987,0.00165190098363877,0,0.0467139773019318,0.00337950203186358,0.000794654705983599,0.00733474381072849,0.19539676742441,0.0951218141920075,0.000227977267022556,4.33301553167299e-05,0.00435458090699201,0.022669659391496,0.0106095667694917,0.0015139635761364,0.0182207537383574,0.00110924301596816
"bear6",5000,0.00756920834883093,0.00133296969618611,0.0749581257533488,0.0312051361222962,0.4595627943992,0.0277663471839734,0.00134449498611961,0,0.0493961556514957,0.00363095179902007,0.00090151952635971,0.0066151582228011,0.184157528109264,0.0897806838246131,0.000192624157370001,1.0243749397628e-05,0.00457829814090291,0.0233749002665878,0.0107225340404362,0.00165426694450137,0.0201371125161533,0.00110894646751705
"bear7",6000,0.00704047944300825,0.00127616536346714,0.0787404756791601,0.032124325507163,0.474723432141103,0.0249218202231914,0.00102820927191925,0,0.0509314788631428,0.00383428470222908,0.00102749550519656,0.00589195968938629,0.172828448517479,0.0817178048591323,0.000137207393664944,0,0.00494107065077815,0.0229545282225077,0.0102620066641372,0.00180000226770621,0.022847851874436,0.000970953195055218
"bear8",7000,0.00613442811676904,0.00114952718876043,0.0842816162879354,0.0338243819112567,0.490859182148681,0.0223787967697552,0.000657663687819383,0,0.0505356105617604,0.0035445689560238,0.00100925037415624,0.00497087508765349,0.162583216197144,0.0742659061366935,0.00010408355929414,0,0.00486855031874252,0.0221972767931099,0.00929826883684883,0.00189452758961068,0.0246553808916133,0.000786888735319155
"bear9",8000,0.00550730930583513,0.000917037764144982,0.0896589756099847,0.0371862476448068,0.500344055372288,0.0199558543969419,0.000486761435218598,0,0.0476130445851952,0.00299643408009164,0.000990279389173405,0.00454231404590721,0.15964615108798,0.0686452285288844,5.93741612885893e-05,0,0.00496948886365323,0.0206801500383767,0.008101995351636,0.00198506243858705,0.0251648633455899,0.000549372754562595
"bear10",9000,0.00513200384680972,0.000613348420346797,0.0936084627070929,0.0397870441093303,0.504690990865403,0.0182389358384674,0.000540534579040538,0,0.0412475353919453,0.00247198068697942,0.00108904115131022,0.00498654035182333,0.165444685037057,0.0638391046717071,1.53187413839357e-05,4.38466335189239e-05,0.00494348624144789,0.0192094436661371,0.00705909148420349,0.00226822380878752,0.0244645516432195,0.000305830403774677
