"","YrBP","Abies","Alnus","Amaranthaceae","Apiaceae","Arceuthobium","Artemisia","Asteraceae","Betula","Caprifoliaceae","Caryophyllaceae","Ceanothus","Corylus","Cupressaceae","Eriogonum","Onagraceae","Phlox","Picea","Pinus","Poaceae","Polygaceae","Pseudotsuga","Quercus","Ranunculaceae","Rosaceae","Rumex","Salix","Thalictrum","Tsuga.heterophylla","Tsuga.mertensiana"
"carp1",0,0.0193976936998866,0.0375286467157329,0.00614843336769083,0.0260692472478372,0.00312207417945115,0.0109581635611423,0.00581944216072825,0.00235344474699458,0,0,0.00316138725939469,0.0192931055939029,0.0123685220643307,0,0.000238903872633678,0,0.00668679652883548,0.601182278289521,0.0562545316091688,0.000534552080757872,0.0770358899247603,0.0461653242527084,0.000290642446181619,0.000290642446181619,0.00202632789171642,0.00178899674283387,0,0.0593941144954871,0.00189083787510401
"carp2",1000,0.0166387361681071,0.0370332517681009,0.00535059527734205,0.0325257902530376,0.00297028919688419,0.0103241289638249,0.0064855214547816,0.0022749605258955,0,0,0.00243842064343174,0.0168233082552339,0.0108696487316251,0,0.000267370612340207,0,0.00627425374264925,0.626686753555176,0.0553199659744753,0.000344876182313076,0.06835900139137,0.0403686926357909,0.000313167563651483,0.000313167563651483,0.00129229239985166,0.00139281458501328,0,0.0538051773247923,0.00152781433092935
"carp3",2000,0.0143535173265636,0.0382026356931646,0.00481256598182723,0.0391672520020669,0.00298240544267813,0.0105943249462697,0.00714556487679667,0.00215855983200069,0,0,0.00216748252989598,0.0152950183613584,0.00992530829591699,0,0.000300149861170432,0,0.00570496638889119,0.646871920682946,0.0520456502609642,0.000224945240765349,0.0593716304940417,0.0370602413209667,0.000334012515369927,0.000367030865575617,0.000826204313137269,0.00136993463209939,0,0.0474258280041926,0.00129284930644604
"carp4",3000,0.0125769839211315,0.0393339063597264,0.00431772937561283,0.0462700120634874,0.00307547505845881,0.0110680171982024,0.00769748638824695,0.00198049575983826,0,0,0.00197675935362973,0.0140609078302936,0.00957114716460717,0,0.000260984887715008,0,0.00500796854720979,0.667631318087714,0.0455680155598447,0.000135890150682513,0.0495057376039884,0.0355860764547105,0.000247941080635109,0.000359306317196351,0.000478105176747118,0.0016578006342491,0,0.0405565861507227,0.00107534826005106
"carp5",4000,0.0110551250125467,0.041758951527312,0.00429773588957521,0.0437979739264361,0.00322595216181207,0.0115047791543382,0.00758431228836051,0.00195214984157457,0,0,0.0019090334904374,0.012472444747668,0.00931015347496865,6.0935525415033e-05,0.000195472595652597,0,0.00429789955762772,0.700437757256634,0.0366188385309915,6.05969742931659e-05,0.0389100359809237,0.0337983038612347,0.000179797604508249,0.000420958578762324,0.00018169302720864,0.00213035872693268,0,0.0329581640027835,0.000880575956670492
"carp6",5000,0.0106298644798949,0.0436314564932736,0.00477020733262605,0.0376316135430812,0.00372280111898642,0.0129965527405009,0.00664889450572914,0.00161149707132103,0,7.4974757955077e-07,0.0020033664480821,0.0110597623765654,0.00882082390342922,0.000188864831638404,0.000140728009556362,0,0.00357476269675155,0.731984935978076,0.0299685353704747,0,0.0293298207823298,0.0318466753206889,0.000126575252987707,0.000492126595054777,5.85493132363551e-05,0.00265955567977686,0,0.0254164121736406,0.000684868250288079
"carp7",6000,0.0106895345128384,0.0470934066882446,0.00665556197298494,0.0318779407833153,0.00398721333479016,0.0156511155996661,0.00589923620232655,0.00124688000921646,0,4.8765501200199e-05,0.00225922357266121,0.0103231500105739,0.00894054211174187,0.000337339040242863,0.00032367255097181,0,0.00318358004218269,0.744452183047998,0.0306775429941882,0,0.0222400846511025,0.0302171834576435,0.000594282360482262,0.000572564439425504,0.000127305970032891,0.00332616777403941,0,0.0187752977343876,0.000500225918656774
"carp8",7000,0.0109319038993603,0.0494699382925313,0.00873432951834512,0.0247595614833279,0.0041954596562554,0.0177091705585967,0.00521939762754707,0.000986001713906697,0,0.000102322112341802,0.00229773295187668,0.00932492399784367,0.00909329980970763,0.000510477984271656,0.000533294465283296,0,0.00302455552821268,0.754683599907712,0.0340318225646809,0,0.0173317086899962,0.0274746332991196,0.00112554312647981,0.000622618308436689,0.00020631734106092,0.00366118195003188,0,0.0136259723037232,0.000344233411216896
"carp9",8000,0.0111338654760505,0.0537233414700131,0.013119233183232,0.015995678782619,0.00429158051609953,0.0202721627268501,0.00530320201806801,0.000855537774544514,0,0.000185636705506403,0.00234398194508463,0.0080216083365233,0.00855952398820061,0.00101637816961906,0.00083145614957392,0,0.00377105675248933,0.752412092660852,0.0431331978772298,0,0.0140486335884665,0.0231381220466698,0.0033485066963538,0.000647654593927663,0.000301709874794326,0.00356390387755066,0,0.00971685360181431,0.000265081811954663
"carp10",9000,0.0114098158630103,0.0563466406897232,0.0196893867219754,0.012502085017178,0.00424827021396735,0.0301558746344362,0.00723383719460308,0.000646861973955018,4.85009483200948e-05,0.000453521576998149,0.00194037910228315,0.00655955776273953,0.00749460412249468,0.00159003045766333,0.00126345079404497,0,0.00690220783326622,0.723931726943018,0.0607962389988293,0,0.0114481602146125,0.0177643233219099,0.00654915062711019,0.000535116668182845,0.000412054464188393,0.00298487702628253,2.05351784040302e-05,0.00682448129327174,0.000248310966319829
