"","YrBP","Agave","Alnus","Amaranthaceae","Ambrosia","Anacardaceae","Arceuthobium","Artemisia","Asteraceae","Betula","Brassicaceae","Celtis","Cupressaceae","Ericaceae","Fabaceae","Fraxinus","Gentianaceae","Liliaceae","Opuntia","Picea","Pinus","Poaceae","Polemoniaceae","Polygaceae","Polygonaceae","Prosopis","Quercus","Rhamnaceae","Rosaceae","Ulmus"
"cuat1",0,0.00715618734151065,0.00397309012123029,0,0.0274095575579637,0.00396958256810846,0,0.0299948355487872,0,0,0.00463112198690399,0.00542307689569307,0.0770934251881398,0,0.0308540596480218,0.000614187105966983,0,0.00913055784842756,0.00278856066900304,0,0.553645663886747,0,0,0.0170161698336254,0.000614187105966983,0.00954670390611454,0.16531828170036,0.0115361945317717,0.0387204802388638,0.000564076277967352
"cuat2",1000,0.00590006757792903,0.0035724672111211,0,0.0265862975640169,0.00550838258970078,0,0.0362341977566885,0,0,0.00446929074406061,0.00515700745952656,0.0935208010502975,0,0.0344956399145585,0.000997339081460554,0,0.00810721407384102,0.00208116867137537,0,0.538488386864133,0,0,0.0201309225637601,0.000796040690895082,0.0090668247607551,0.15858913190848,0.00853770286443217,0.0367397364602971,0.0010213802989598
"cuat3",2000,0.00522142238495211,0.00317790532306159,0,0.0245789987892775,0.00692819455701469,0,0.0394483300294717,0,0,0.0046858676406189,0.00470955842751268,0.11269702227608,0,0.0367218521366099,0.0015128070594201,0,0.00749005651536428,0.00158180424444156,0,0.522435635318034,0,0,0.019118186841243,0.00103468779872578,0.00865744526381485,0.156687199922767,0.00644583013114896,0.0353291046296971,0.0015380909358991
"cuat4",3000,0.00490446034187872,0.00274249081374554,0,0.0230227813434007,0.00786794066749108,0,0.0423664014958383,0,0,0.00452965125288942,0.00417796782868014,0.136754527792247,0,0.0386452615341736,0.00194914687857313,0,0.00664221120090369,0.0011593701465874,0,0.506562686403282,0,0,0.0161640000945541,0.00112342703543401,0.00770952143124851,0.152755517081284,0.00466111774630202,0.0340205546277765,0.00224096452623068
"cuat5",4000,0.00471789388761788,0.00206317629367781,0,0.0218151455133642,0.00870048722359243,0,0.0476542914168852,0,0,0.00375445402555661,0.00373974139824787,0.170377344663802,0,0.0420750549507282,0.00234545405513085,0,0.00510103601913956,0.000683809236761341,0,0.48498964250505,0,0,0.0133130003341331,0.00102354826293176,0.00610238832051783,0.14331687560125,0.0026379868654651,0.0323781967551476,0.00321047284392612
"cuat6",5000,0.00346232572863715,0.00126557425107474,0,0.023042886117128,0.0110430206300626,0,0.0521674412468512,0,0,0.0029663793341881,0.00355860508861905,0.209461282977298,0,0.0477777296426578,0.0034462362804133,0,0.00325656855713101,1.00560624481484e-05,0,0.439753032423033,0,0,0.0103564715278679,0.00118219014556151,0.00446774340538502,0.144694501171732,0,0.0346256297641602,0.00346232572863715
"cuat7",6000,0.00305817377428852,0.00209844554732804,0,0.0216769566224462,0.00969776066749933,0,0.0523275417663485,0,0.000935709886162905,0.00395606204728343,0.00374143452404318,0.205455560215184,0,0.0456444190883219,0.00419328115246677,0,0.00208464227495762,0,0,0.445178107478722,0,0,0.00321622205263627,0.00178958427513605,0.00451708343848693,0.148140433870461,0,0.0392304073788027,0.00305817377428852
"cuat8",7000,0.00229891026448797,0.00362187061199635,0,0.0207291267070943,0.00704124562610373,0,0.0545717263443621,0,0.00224462388247234,0.00525405241936466,0.00433677087303359,0.179243517571501,0,0.0421345407397747,0.0045730402352583,0,0.000764804654419974,0,0,0.473003917857404,0,0,0,0.00248089324469705,0.00523538689678271,0.146211383193139,0,0.0439552781866437,0.00229891026448797
"cuat9",8000,0.00142571671698298,0.00495170003130503,0,0.0183090398796713,0.0041923724216396,0,0.0553645276605361,0,0.00330113344883584,0.00694959818753669,0.00504592221258071,0.129556938869986,0,0.0362918516572099,0.00448826198571708,0,0,0,0.000347331289864997,0.536465644918411,0,0,0,0.00343813580170221,0.00639193796067306,0.137907475118763,0,0.0444940260720994,0.00107838542711798
"cuat10",9000,0.000684149805401112,0.00600636640367134,0,0.01556722210308,0.00210635326926132,0,0.0537764930482746,0,0.00400424438390257,0.00869263857320625,0.00539051194572412,0.0825702105449651,0,0.0301178602181626,0.00434310617050569,0,0,0,0.000684149805401112,0.59770112845327,0,0,0,0.00432513821948636,0.00764523279798782,0.132776719456006,0,0.0436084746720501,0
"cuat11",10000,0.000866781411427743,0.00619969528823146,0,0.0112533245819738,0.000353835609745486,0,0.0513705631491552,0,0.00413313031063737,0.00913304203270249,0.00511785692531361,0.0538343983616126,0,0.0246108343624103,0.00343173566659416,0,0,0,0.000866781411427743,0.669235514838953,0,0,0,0.0041805718747734,0.00744692077398303,0.110798183384526,0,0.0371668300550359,0
"cuat12",11000,0.00117665429315368,0.00520588071959213,0,0.00933822252505462,0,0,0.046516154277276,0,0.00347058724588492,0.00811782878492352,0.0046472415390386,0.0422716352616897,0,0.0212137763844865,0.00262481050837582,0,0,0,0.00117665429315368,0.723905425833722,0,0,0,0.0038014648015295,0.00609539775426074,0.0908507945745084,0,0.0295874714649672,0
"cuat13",12000,0.00148267621595047,0.00393553403350328,0,0.00811941240123816,0,0,0.0409703368701384,0,0.00262368943088128,0.00673005507771304,0.00410636564683176,0.0355397723337946,0,0.0183465701936635,0.0019211079592134,0,0,0,0.00148267621595047,0.771922740618864,0,0,0,0.00340378417516387,0.00454479739009468,0.0727557585220685,0,0.0221147233950473,0
"cuat14",13000,0.00144999871719269,0.00303928756478405,0,0.00668966687533223,0,0,0.034499190066196,0,0.0020261917679402,0.00550238225307309,0.00347619048513289,0.0287231489446013,0,0.0152930486618771,0.00138828706644518,0,0,0,0.00144999871719269,0.816487379846096,0,0,0,0.00283828578363787,0.00341447883438538,0.0570252621734219,0,0.0166972027586379,0
"cuat15",14000,0.00133551315283095,0.00192939374168849,0,0.00473530165011082,0,0,0.025709506487709,0,0.00128626253133186,0.00390803821549466,0.0026217756841628,0.0196025292457183,0,0.0111976746815434,0.000710572262744308,0,0,0,0.00133551315283095,0.875147104105078,0,0,0,0.00204608541557526,0.00199683479407616,0.0365211625597421,0,0.00991673284444892,0
"cuat16",15000,0.00146136580939316,0.000275871897998709,0,0.00301468856504196,0,0,0.0161769311760813,0,0.000183914603938025,0.00182919501726921,0.00164528041333118,0.0107813037819561,0,0.00658112130551969,0,0,0,0,0.00146136580939316,0.939308543500161,0,0,0,0.00146136580939316,0.000183914603938025,0.0146236080726275,0,0.00101153031375081,0
"cuat17",16000,0.00118422195095168,0,0,0.00236844362005857,0,0,0.0118422186639824,0,0,0.00118422195095168,0.00118422195095168,0.00828955309297218,0,0.00473688752196193,0,0,0,0,0.00118422195095168,0.956183791196925,0,0,0,0.00118422195095168,0,0.0106579967130307,0,0,0
"cuat18",17000,0.000310419711630124,0,0,0.000620839349380362,0,0,0.00310419689466158,0,0,0.000310419711630124,0.000310419711630124,0.0021729378336511,0,0.00124167877264061,0,0,0,0,0.000310419711630124,0.988514471556244,0,0,0,0.000310419711630124,0,0.00279377718303146,0,0,0
"cuat19",18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"cuat20",19000,0,0,0,0.0253523417371156,0,0,0.172343472396709,0,0.00511573055608489,0,0.00185554093373755,0.148269946778692,0.00326018962234734,0.0120870024634041,0,0,0,0,0,0.55909774077696,0,0,0,0,0,0.0693578449298398,0,0.00326018962234734,0
"cuat21",20000,0,0,0,0.0273085973009983,0,0,0.164014319601432,0,0.0056781983149369,0,0.00164416801958938,0.14144610983462,0.00403403029534752,0.013000565019401,0,0,0,0,0,0.573626774242607,0,0,0,0,0,0.0652132069962328,0,0.00403403029534752,0
