"","YrBP","Acer","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Betula","Corylus","Cupressaceae","Fraxinus","Moraceae","Myrica","Ostrya","Picea","Pinus","Platanus","Poaceae","Populus","Pseudotsuga","Quercus","Rumex","Salix","Tsuga.heterophylla","Ulmus"
"dark1",0,0.0157932763059717,0.0462959715182153,0.0119082220459136,0.0859412157631093,0.0117419141123376,0.00743595342692819,0.176477005347759,0.00847262335942411,0.011902497860596,0.0131459001294674,0.00525085176198602,0.00110831176544223,0.0241167295490944,0.00287815356076987,0.258380888201897,0.00262000990278333,0.0373593006044909,0.022577063532699,0.00452000846544331,0.206456748139339,0.00732418034474602,0.00569806525889164,0.00922975960710467,0.0233653497041593
"dark2",1000,0.0167561637830595,0.0462410906622108,0.0110090266902055,0.0769830757011993,0.0121002775399879,0.00728946318732171,0.188256336320507,0.00874577410778312,0.0120097931133633,0.0139106881703937,0.00543796706857601,0.00101970566444916,0.0260869913737689,0.00279243777432486,0.257297048369917,0.00277776344092906,0.0348889841583901,0.0225797366660004,0.00494132783971516,0.203742214777625,0.00657907504550565,0.00533892598287422,0.00988845906016407,0.0233276738805047
"dark3",2000,0.0172435377940966,0.047251417101039,0.0103908707755497,0.0710955616134529,0.0124161541640959,0.00707532201208075,0.191938681922703,0.00873556878816111,0.0114781683462697,0.0142314469708902,0.00549866788897801,0.000967088845887115,0.027427249308596,0.00275607168092747,0.25907975079923,0.0029360014282312,0.0331835198881019,0.0225124585702016,0.00523143268713443,0.204010398245712,0.00600146146771885,0.00503848860706088,0.0102992021545571,0.0232014794052667
"dark4",3000,0.0177402203715009,0.0480576968778542,0.00983119197405823,0.0652396962306398,0.0130184690167604,0.00685916731408931,0.194220121076095,0.00877853423631207,0.0109888153654761,0.0145191848073996,0.00550708723720938,0.0009420930297393,0.0285713670399141,0.00276543191812078,0.263283215712541,0.00300320613613421,0.0313581769839446,0.0222071839901136,0.00543946818231345,0.203913597831338,0.00545989191336185,0.00477802073000689,0.0107522426608182,0.0227659199431813
"dark5",4000,0.0186103589746421,0.0491695312149962,0.00868418266725092,0.0543726459549748,0.0140103003165646,0.0063915888495823,0.198206316949261,0.00885340511256288,0.0101280044524368,0.0148459159602786,0.00542289183567413,0.000892745940065102,0.0307126140488493,0.00282591313578111,0.272893168231044,0.00313404546083631,0.0277743708531789,0.0214846369544285,0.00578619096264597,0.203922950174273,0.00444211045550978,0.00425418914194988,0.0114507145577155,0.0217312085625185
"dark6",5000,0.0204584619063337,0.0515997346193596,0.00573205046627107,0.0291576660452466,0.015511717992871,0.0051369176728479,0.2063346362906,0.00913952129748218,0.00840597028211151,0.0148029844837434,0.00501699156191536,0.000809467997403882,0.0360851749888326,0.00284129632331973,0.301269528660156,0.00337311826595789,0.0188682140432274,0.0191711189348086,0.00679994010038324,0.202502278324721,0.00204851503774673,0.00299643940763176,0.0126812830509334,0.0192569733591297
"dark7",6000,0.0204692933367727,0.0544302453310872,0.00300747828434056,0.0123859810997403,0.0167429840995297,0.00334769071657191,0.177528254039307,0.00871188062897452,0.00503591157506844,0.011545759449077,0.00321782448192602,0.000895344190355864,0.0403172902716361,0.00323755023906787,0.365931759658314,0.00338374865705061,0.0101150673521443,0.0144658955923352,0.00741330758987857,0.208830101837229,0,0.001785111883765,0.0131007190247771,0.014100802027304
"dark8",7000,0.0197349251250699,0.0474341633552432,0.00236340704232889,0.0136101142739398,0.0161556012245028,0.00353123191318585,0.165562136572718,0.00883488402364028,0.00610351563397492,0.00946897866632058,0.00185130437688683,0.000806920268349173,0.0404537348811597,0.00380706987205495,0.392092652274259,0.00332648113617123,0.00866686587740596,0.0127799120752336,0.00739283882621196,0.210311934554588,4.21514081942337e-05,0.00162499960865746,0.012995513495248,0.0110486648171871
"dark9",8000,0.0187280501351436,0.0420906244259332,0.00201870456037249,0.0150059973213867,0.0141635394395493,0.00471449021089287,0.159883938638,0.00905159843978402,0.00741135111158933,0.00799392212575319,0.00102526951271617,0.000583060386571719,0.0396226082791298,0.00398477904922138,0.398901015952265,0.00348967284513655,0.00903286745856483,0.0129684841568198,0.008689633739964,0.215649484350732,0.00019656505062994,0.00152733344549652,0.0126636313043274,0.0106033792781908
"dark10",9000,0.0176812817608587,0.0385285742936429,0.00197841439124646,0.0162726476181561,0.0120615203301714,0.00623494341670827,0.151126155352388,0.00941330987177567,0.00867232585513397,0.00663743165601598,0.000399268487269096,0.000399268487269096,0.0389585079552338,0.00382701487560326,0.405160086892744,0.00353454656290564,0.00979465031394575,0.013247556734648,0.0106162010208021,0.219558883923531,0.000374108152937261,0.0016043062383092,0.0127956540131469,0.0111233429841072
