"","YrBP","Abies","Alnus","Apiaceae","Artemisia","Asteraceae","Cupressaceae","Eriogonum","Fabaceae","Galium","Onagraceae","Picea","Pinus","Poaceae","Polygonaceae","Populus","Quercus","Ranunculaceae","Rosaceae","Salix","Spiraea","Stellaria","Thalictrum","Tsuga.heterophylla","Tsuga.mertensiana"
"farg1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg2",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg3",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg4",3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg5",4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg6",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg7",6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg8",7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg9",8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg10",9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg11",10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg12",11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg13",12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg14",13000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"farg15",14000,0.100401606,0.004016064,0,0.104417671,0.048192771,0.008032129,0.004016064,0.008032129,0.008032129,0,0.176706827,0.072289157,0.365461847,0,0,0,0.020080321,0.008032129,0.004016064,0,0,0.012048193,0,0.0562249
"farg16",15000,0.0957684230355731,0.00457586405006588,0.000642351123847167,0.102913692220026,0.043990401773386,0.00850937779578393,0.00457586405006588,0.00850937779578393,0.00722467554808959,0,0.172432225561265,0.0759420450382082,0.374650821466403,0.000642351123847167,0,0,0.0190252141462451,0.0110787821106719,0.00457586405006588,0.000642351123847167,0,0.012442890541502,0.000642351123847167,0.0512150773214756
"farg17",16000,0.086566778386274,0.00561215421982645,0.00119216618616881,0.100952069730476,0.0405002509537207,0.00974610903470944,0.00504008675203786,0.00974610903470944,0.00593160806784118,0,0.162395668290034,0.0782278336676308,0.394886718648698,0.00119216618616881,0,0,0.0174753694304496,0.0150868409121746,0.00504008675203786,0.00119216618616881,0,0.0124498944049435,0.00147819992006311,0.0452877240859847
"farg18",17000,0.0764306658422814,0.00612563191995538,0.00135863216371496,0.101478196961233,0.0431946817471761,0.0104388101602287,0.00544811304392693,0.0104388101602287,0.00522231236396597,0,0.152012615843118,0.0759779549839632,0.41521303768024,0.00181888156826105,0,0,0.0156497570693069,0.0174713561830986,0.0047577389371078,0.00112850746144192,0,0.0117925049368289,0.00181245395286571,0.0422293376626691
"farg19",18000,0.0679362722970516,0.0066566519504387,0.00209286462342898,0.107103293665797,0.0473983081982452,0.0110620191761126,0.00644951124828077,0.0107087576686428,0.00466583889905936,0,0.14432853715809,0.0739647335371117,0.423839764268516,0.002815275359023,0,0,0.0129325032018813,0.0192074991998261,0.00438834810900324,0.00132029301019682,0,0.0111962446941744,0.00200967521634653,0.039923609122599
"farg20",19000,0.063642470920533,0.00892169334513995,0.00333355119972201,0.111497382710362,0.048599273400115,0.0115839414808762,0.00749913714829371,0.0110454109824578,0.0045589518491181,0,0.136261559702023,0.0759001778333014,0.421486386244392,0.00376139660980636,0,0,0.0108579547353815,0.0201166463636407,0.00424036702104103,0.00163541708406825,0,0.0105190341389954,0.0019377537462615,0.0426014942057132
"farg21",20000,0.0597433552343365,0.0103874299633131,0.00437767493511552,0.11381354677635,0.0498473736307011,0.0114128431043012,0.00830638501265064,0.0117108779322192,0.00462000710673147,0,0.126694030573307,0.0776701988346095,0.425238153405187,0.00464137503964978,0,0,0.0087784126002064,0.0206526197029096,0.00404365422930954,0.00194527676629603,0,0.009535482530528,0.00183831186347293,0.0447429914867168
"farg22",21000,0.0582651682077569,0.0113967889752717,0.00492804122702569,0.116028950275667,0.0526660159774951,0.0109933269672184,0.00882910301684783,0.0120302157444911,0.00471170771840415,0,0.118860176786734,0.0810795051865119,0.424091621269886,0.00510766854691206,0,0,0.00714744015503953,0.0205128875003706,0.00401293042761858,0.00208007821702075,0,0.00884837127403656,0.00176202229775198,0.0466479809281621
"farg23",22000,0.0588957612691092,0.0122638802446448,0.00534313442010274,0.118756652990113,0.0544251811504119,0.010572076506562,0.00936476514124261,0.0123174201258312,0.00479885475378502,0,0.112648195473684,0.0836463775252302,0.420494091456567,0.00535855854928758,0,0,0.00599097941787341,0.0201700152754483,0.00414792183601822,0.00217703026216924,1.12805494620529e-05,0.00850916022927208,0.00160615410985752,0.0485025094343898
"farg24",23000,0.0630469212303145,0.0130107710405304,0.00559417481015056,0.11858886176949,0.0552260081969692,0.0102275370534635,0.0096543955484993,0.0125207147313433,0.00490400286098501,1.28000262908651e-06,0.105768294361753,0.0868869739700023,0.418164341556844,0.00545440980884418,6.43292320128025e-06,0,0.00525141484707208,0.0191751853064437,0.00430984119909207,0.00235527655142232,4.94283801561122e-05,0.00820505800679317,0.00143879521596068,0.0501598813135145
"farg25",24000,0.0697624107973295,0.012598338377183,0.00561378575021068,0.115275502750458,0.0565667965138901,0.0103336423054078,0.00948777215637986,0.0126724692307994,0.00474215368713858,3.56505070903438e-05,0.0995619395374277,0.0911258147013193,0.417709470144466,0.00534519376381019,3.16227929997385e-05,1.01468847092668e-05,0.00436995702326156,0.0176546411345858,0.00436574039278761,0.0024560952506175,7.95031404411124e-05,0.00779261088808009,0.00140150016663761,0.0510072426533577
"farg26",25000,0.0782181980688617,0.0122069291652762,0.00557723781961769,0.111454391191506,0.0578571537834521,0.0111376611981343,0.00920776745366921,0.0125504147918354,0.00438170135838868,6.5189518886009e-05,0.0958027977750553,0.0964659155389465,0.412373003429383,0.00507515883223986,5.34451286651547e-05,4.61115676737405e-05,0.00376451735597224,0.0161864642239727,0.00456057767032507,0.00243648692866785,0.000106874981694476,0.00763572303365463,0.0014750838498974,0.0513611957466386
"farg27",26000,0.0883811394748596,0.0118173814647431,0.00573793714764079,0.106343930423135,0.0579606745304414,0.0121691238291608,0.00901737175619325,0.0123570686035008,0.00398413347773317,9.45294153282948e-05,0.0934214743311946,0.100739823325369,0.407390405752231,0.00484121239338949,7.53363295937648e-05,8.04748791135254e-05,0.00314504494953551,0.0144112172085367,0.00467991430963628,0.0024335115210728,0.00013596099228468,0.00744953577687241,0.00144168841506587,0.051891109948512
"farg28",27000,0.100435164673123,0.0115789349833154,0.00607928824534856,0.0990897671961236,0.0580163217820469,0.0137776757773757,0.00849845220554488,0.0118810791512935,0.00354493797097292,0.000126050327653359,0.0913065786201742,0.10617547601004,0.40107264170815,0.00461440094640648,9.90034389194453e-05,0.000116457571080818,0.00251593381102134,0.0121450410609227,0.00472413035191716,0.0025130244394063,0.000179158261033185,0.00724045977432301,0.00165469638862865,0.052615325358141
"farg29",28000,0.111706230775535,0.0115983883364016,0.00648412540617683,0.0921881534659534,0.0584494996266855,0.0159777822571121,0.00779318683419459,0.0113254322577042,0.00311471713395236,0.000165647435688333,0.0909064264076302,0.111784286148298,0.390465996068793,0.0042832385509891,0.000114637540694388,0.000155671289018975,0.00194440303022473,0.0103068430453506,0.00470969631033508,0.00239708792001077,0.000183800881738662,0.00708811641933791,0.00206674413256628,0.0547898885845781
"farg30",29000,0.122063576332293,0.0126968789596284,0.0069289354652591,0.0877719171622632,0.05917034715477,0.0182092194289433,0.00730170011189576,0.0105715366116153,0.00288342005760186,0.000174978885731134,0.0903281563934617,0.11667846191907,0.376281624717916,0.00400160361339873,9.68830940902357e-05,0.000185369924966561,0.00159689507612651,0.00886102719839204,0.00492707331536481,0.00234702109390326,0.000197051841993988,0.00721533688084109,0.00259052669527823,0.0569204577738066
"farg31",30000,0.132436950792875,0.0146075857846591,0.00730137281011978,0.083535085188191,0.0598603998666769,0.0212814884449631,0.00666120904402641,0.00964195946861179,0.0027307886527027,0.000192846500276413,0.0868231873941186,0.125362976528133,0.359642883001443,0.00361939348730037,9.23484474355037e-05,0.000156191561931818,0.0012404600634828,0.00715412933278563,0.00510637613562654,0.00245737164411855,0.000222108193350737,0.00738867228161855,0.00357465041964066,0.0589095645554822
"farg32",31000,0.141715883867376,0.0180566775950465,0.00756108288977224,0.0803428275222463,0.0604580059860279,0.0260701419060677,0.00552293305731085,0.0089648003822093,0.00261350275874441,0.000224052428487885,0.0792985361279299,0.140594131849089,0.335142478838847,0.0032777318584931,9.75072135959158e-05,0.000117811305900204,0.00103009205795887,0.00601588662869652,0.00572457390809085,0.00275311847775372,0.000300767414547409,0.00747409097586496,0.00735524419315937,0.0592881203432171
"farg33",32000,0.152816961333731,0.0216296891364322,0.00745994186867148,0.0760805773649183,0.0588699067599089,0.0328048092464196,0.00451132045745917,0.00824609582603643,0.00245587135603015,0.00024800537214196,0.0700213429584799,0.165728631558197,0.301949583687861,0.00283622615249686,9.93190467493719e-05,0.000110552885835427,0.000867744683055905,0.00562742269525754,0.00636205507550251,0.00307983480648555,0.000317705015122487,0.00707076051144786,0.0137402140682318,0.0570654277153266
"farg34",33000,0.164286753823925,0.0249174712974025,0.00724807149040392,0.0708524849979622,0.0552882101299653,0.0398390582579232,0.00374118159796825,0.00752535588078654,0.00216397663846645,0.000250417519389866,0.0613322746753756,0.19339544263106,0.269237456791304,0.00250079226202932,0.000104538433724679,0.000138286175710201,0.000669508546003407,0.00547604290194051,0.00707774952116917,0.00349739419680333,0.000338628982343817,0.00637660719129813,0.0204316525636292,0.0533106431380558
