"","YrBP","Alnus","Ambrosia","Artemisia","Asteraceae","Betula","Caryophyllaceae","Ericaceae","Micranthes","Picea","Pinus","Poaceae","Polygonaceae","Ranunculaceae","Salix"
"fog01",0,0.0690581796013966,0.00539309151184297,0.0139656086895348,0.00594067631980749,0.253363668675757,0.00947629187694631,0.417899624372936,0.000746435367556856,0.00603317769302633,0.0093324639447957,0.0606067986122487,0.0349417254685288,0.00477596145692177,0.108466297113145
"fog02",1000,0.0838608908124348,0.00662669854642187,0.0153100312014744,0.00567797670533417,0.257828287319981,0.00983710013304124,0.39346971663704,0.000812406579942972,0.00697720039300369,0.0110310186458725,0.0616733927821128,0.0417329881995966,0.00390293909437374,0.101259353217679
"fog03",2000,0.104379009484819,0.00750356357753641,0.0157779793861763,0.00522980674934584,0.26664932175295,0.00939872399140953,0.361886951427746,0.000982537205776351,0.007898728976549,0.0118905274498642,0.0627120781740311,0.0465217357655887,0.00337305549533449,0.0957959804263639
"fog04",3000,0.12220422996369,0.00808383094196247,0.0160656265837436,0.00459088758396565,0.280543057400822,0.0087440972625384,0.330850262425177,0.00111811067487138,0.00830341216893067,0.0118399065326646,0.0626085398459859,0.0498585047279861,0.00284551756516268,0.0923440159786801
"fog05",4000,0.132981681033692,0.00853437009762486,0.0159984414424371,0.00415080821953688,0.297536602999643,0.00882981900580392,0.304705056895172,0.00120586645344961,0.00827209308125484,0.0116541614778856,0.0627768103674921,0.0522909311212572,0.00255917136752188,0.0885041859965176
"fog06",5000,0.138829643467962,0.00824553720535016,0.0155942175629527,0.00388082294516088,0.318346809439975,0.00925440799611356,0.280720566188164,0.00128255914455521,0.00783396488974132,0.0112635522243533,0.0641238591148517,0.053710026574511,0.00241563866463091,0.0844983941098801
"fog07",6000,0.139737796115097,0.00781956598540729,0.0149537793574414,0.00362865782504739,0.340307918460344,0.00936188190778506,0.262492524254539,0.00133483417883487,0.00723859159489826,0.0100850709905684,0.0658514026778186,0.05265560766028,0.00239232101808673,0.0821400474970198
"fog08",7000,0.135397371910059,0.00736678390252749,0.0144770886759773,0.00335518120083634,0.367075597811131,0.0100468029235745,0.245157227269892,0.00127881961711025,0.00630822158005268,0.00884968281535902,0.0673280049483412,0.0516558861257278,0.00225170808268644,0.0794516226831162
"fog09",8000,0.126044540250955,0.00697667760178019,0.0136771785696336,0.00314899599589783,0.395694312829541,0.0113147358914345,0.230445108735965,0.00109939714414345,0.00538759678986068,0.0078310472752322,0.0689475088745098,0.0505413405690918,0.00237334635322497,0.0765182126392157
"fog010",9000,0.11713965824244,0.00643766173921236,0.0127236475043707,0.0029197820020695,0.423512275904525,0.012461200359722,0.215716290354378,0.000922713152339768,0.00453098572574517,0.00677420803564479,0.0716991285244479,0.0484922120328031,0.00233860350514286,0.0743316323819614
"fog011",10000,0.108301589903309,0.00598512033090397,0.0119595946702555,0.00266760806745621,0.452073629594724,0.0134718226661145,0.200727061481925,0.000709472164768727,0.00376704151786823,0.00556190499921322,0.0745289277327011,0.0451479015341422,0.00223929801395503,0.0728590266235455
"fog012",11000,0.0978503112808178,0.00540376796172046,0.010812495339784,0.00243200425388255,0.485403209017775,0.0150630910812303,0.184513858240476,0.000415646969788886,0.0028140128376001,0.00467065790997331,0.0758059042268867,0.0414469238561636,0.00210322686750789,0.0712648891975249
"fog013",12000,0.094535453323329,0.00484732637865955,0.0087718622962622,0.00243690273457927,0.511512313699779,0.0158704653761738,0.171570949117013,0.000296500434542442,0.00246416359270853,0.00416437730399558,0.0757331100956546,0.0361177190347082,0.00202629015687719,0.0696525651273246
"fog014",13000,0.108270685966946,0.00388105645605981,0.00693365322770199,0.00278664187447534,0.521319998439008,0.0146430312450157,0.162367391012723,0.00069798369884575,0.00250731638142707,0.00373926502780693,0.0740665774479276,0.0286715781032266,0.00122632944438615,0.0688884899754722
"fog015",14000,0.128150561321074,0.0025502809589501,0.00463423598748665,0.00343456503570884,0.542657125252098,0.0124800407195178,0.150207969451549,0.00126945648130627,0.00235769448710514,0.00292395532107432,0.0649559152249351,0.0208706893195483,0.00125028336548146,0.062257224985808
