"","YrBP","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae","Betula","Carya","Castanea","Corylus","Cyclachaena.xanthiifolia","Ericaceae","Fabaceae","Fagaceae","Ilex","Iva","Leitneria.floridana","Liquidambar","Magnolia","Myrica","Nyssa","Onagraceae","Ostrya","Pinus","Plantago","Poaceae","Polygonaceae","Quercus","Rosaceae","Salix","Ulmus","Viburnum","Vitis"
"gosh1",0,0.000339288592514249,0.00593615008420001,0.00228847033405801,0.0272902914161427,0.000854230990402883,0.0140244614851441,0.00127106333871947,0.0175435126361518,0.00436337255812132,0.000491762967781107,0.00961852189245353,0,0.00150173781381593,0.00326477263415398,0.000273422149754196,0.000255354490079715,0.00244447286934211,0.0136914897077188,0.0405893614222927,0.00838355348361635,0.00912572242701295,0.00944196491297961,0.00677167815459193,0.567788832842529,0.020617049095129,0.0503690914304601,0,0.168207530138336,0.0019979183586188,0.00627283311273675,0.00448945801163406,0,0.000492631374013358
"gosh2",1000,0.000377854394564034,0.00459025877811918,0.00177843706229589,0.0206247340814166,0.000810608702988377,0.0114527061126523,0.00127074862669874,0.0179662511832532,0.00444270100166801,0.000451720519120694,0.00762347010984303,0,0.00137148415844366,0.00318710385437371,0.000205093800259859,0.000195875861221337,0.00275102624205499,0.0133758265759209,0.0474081748729677,0.0074142950407873,0.00744274551308073,0.00760454602805773,0.0058529383002423,0.570553185010605,0.0149433245487586,0.0556548221683464,0,0.178297361497068,0.00181378894070654,0.0055892376471714,0.00439547519949433,0,0.000554204780401728
"gosh3",2000,0.000365541289363455,0.00353237186735219,0.0014124537913548,0.0158326116778995,0.000800586607670123,0.009896377545286,0.00134317107198036,0.0193224857739992,0.00426970252569869,0.000358313708610863,0.00614723012147222,0,0.00132647098400055,0.0028644500589851,0.000151615554830735,0.000145363966902424,0.00303117744795028,0.0132991749872451,0.0504394443131051,0.00672527431028978,0.00608792170328916,0.00590698184529287,0.0050660862813294,0.565129700266291,0.0109791407737073,0.0623541089400536,7.60906423813775e-05,0.191501846980876,0.00174209176215409,0.00507037837490558,0.00416990777559569,0,0.000651927454216164
"gosh4",3000,0.000379771834222671,0.00268248545242645,0.00114197489281079,0.0120880518362597,0.000849151537171907,0.00892134476939717,0.00127652286640107,0.021376034900256,0.00389078585370998,0.000272658929802423,0.00502438114789443,0,0.00137777016801269,0.00253721834143352,0.000107854526608018,0.000104188956590712,0.00350946138048024,0.0129912510314573,0.0533516664586999,0.00603930193652654,0.00501369624441159,0.00448015352704067,0.00424581921221517,0.553912942550512,0.00771617591487597,0.0675242312412749,0.00017734779888953,0.207927854459187,0.00175393868256057,0.00469970002064104,0.00396725556377992,0,0.000659008208519613
"gosh5",4000,0.000317435741361532,0.00195885547740553,0.000898057062496209,0.0085613499045472,0.000903787051780262,0.00903660855783578,0.00131086033856325,0.0253055228478942,0.00345280532507734,0.000189599105400433,0.00397074609159101,0,0.00111256552781091,0.00231766123124204,0.00011436644129481,6.25042520067126e-05,0.00388345154058917,0.0129280050412261,0.0560749946221719,0.00538209382201419,0.00385686331769749,0.00309099208710245,0.00364381797213854,0.530311444501223,0.00437749474008775,0.0721184298594391,0.000308199561252755,0.234205063639237,0.00182225554432965,0.00398571685786207,0.00380195214052043,5.1002780484846e-05,0.000645497125760731
"gosh6",5000,0.000259531201975208,0.00114327725840609,0.000648722917351796,0.00420858885445567,0.00092994391518823,0.00883373156015985,0.00136116634395602,0.0312121818103189,0.00279162307055769,9.23926019802988e-05,0.002470417466592,0,0.000841914054012778,0.0021812236016494,0.000138976425280627,1.026359355512e-05,0.00447622581795505,0.0130913886043729,0.0586810951071856,0.00424640469638812,0.00261536987105149,0.00125004447878433,0.00291098166706544,0.491422312945453,0.00012679294295823,0.081665361574363,0.000525584725227174,0.272570236311833,0.00169819598434597,0.00310688145551964,0.00367051144683992,0.000131724654974928,0.000686932953317891
"gosh7",6000,0.00017538782676597,0.00134569821355688,0.000869465171232652,0.00493375117710555,0.000949088355589094,0.0116073697282719,0.00145149594655336,0.0386134742642475,0.00206661892086355,1.46453903999475e-05,0.00224342320660127,0,0.000701551440007874,0.00223043870756915,0.000256819007185275,0,0.00426043313625775,0.0141909651840283,0.0527009006463467,0.00372041189136783,0.00261100689412382,0.000671811787722694,0.00293575992119164,0.448247160212146,0,0.0892239848824437,0.000854819780832705,0.304346923206568,0.00166938173434168,0.00281188045483776,0.00342932045729847,0.000256819007185275,0.000609193344171397
"gosh8",7000,0.000808155660825375,0.00195980463423289,0.000989862126522387,0.00586990419762551,0.000900634495312363,0.0160525455271182,0.00156877350192763,0.0456423303628319,0.00139218944405503,0,0.002166783988259,0.000430973395951985,0.000819171766757207,0.0023518411234119,0.00063151957084027,0.00017238934565846,0.00393595671628844,0.0162425916170157,0.0469389803380356,0.00316894076281433,0.0032400769638132,0.0013817559904933,0.00360228680583545,0.403945316665163,0,0.0936821119423464,0.000989862126522387,0.332808727647507,0.00152455239117673,0.00264920581039166,0.00322905849040568,0.00045913022518181,0.000444566412731096
"gosh9",8000,0.00217754740439126,0.00289604673449117,0.000998442605715613,0.00664309364631738,0.000707975254995353,0.022406022540776,0.00197648451295307,0.0532240080461199,0.000862966605192844,0,0.0019122867864777,0.00135847669237918,0.001102720303671,0.00249400781151255,0.00130620583898699,0.000543390636849442,0.00294628880146375,0.0201556785734201,0.0375072154020098,0.00257851826219796,0.00426619895858504,0.00309633818767426,0.00514806403868494,0.354914434512895,0,0.0997624083106413,0.000998442605715613,0.360401505469737,0.00115587815090613,0.00243016293581552,0.0029385711057737,0.000762815202137547,0.000327804298152881
"gosh10",9000,0.00501019595981689,0.00380569638021363,0.000998964301458121,0.00687410725169549,0.000445504207188878,0.0271390423930146,0.00203043457909461,0.0571765329881316,0.000340769559766022,0,0.00151394780959647,0.00313137256154629,0.0025050978643608,0.00272893790123771,0.00216303159409969,0.0012525489321804,0.00186159888792811,0.0247064172878942,0.0251992493825873,0.00158535159901662,0.00535987926169888,0.00636747953942014,0.00691254160545948,0.326669251623771,0,0.104666577113767,0.000998964301458121,0.371592909797474,0.000550238815022041,0.00287198309248898,0.00239819114403188,0.000910482661919295,0.000232699881061377
