"","YrBP","Abies","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Caryophyllaceae","Cupressaceae","Eriogonum","Picea","Pinus","Plantago","Poaceae","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Tsuga.mertensiana"
"gras1",0,0.0109209481040858,0.00472415544808658,0.000661537511987986,0.00104157098156491,0.000191990217026565,0.111299625152556,0.0225737595095024,0.00363396931774636,0.00285919114468438,0.00392142435052561,0.00143008278685723,0.818910959795764,0,0.0128790942102947,0.000959951085132826,0,0,0.00100441464258713,0.00173510249717777,0.00125222373030915
"gras2",1000,0.0089061940712454,0.00467684855375924,0.000798070801501468,0.00100284053447058,0.000207789351098227,0.126367436040064,0.022947764010592,0.00402150725562121,0.00270737114018657,0.00403367446341101,0.00178648343854759,0.801099292797302,0,0.0157748769059724,0.00103003971282566,0,0,0.00109080373835805,0.00216624876805292,0.00138275896045639
"gras3",2000,0.00696235098477081,0.00469776068347407,0.000904166446893848,0.000920601843365501,0.000258104465319662,0.158619655160103,0.0249005278848613,0.00473144883929433,0.00239885177714113,0.00426277190735826,0.00207786384529554,0.761998552201719,2.01953517792521e-05,0.020736954827111,0.00112282430413148,0,0,0.00118212352237636,0.00269388432382388,0.00151136215747889
"gras4",3000,0.00598420153853323,0.00417480833741489,0.00106658021341479,0.000854812128064408,0.000308813435398276,0.192265531099278,0.0270726405657149,0.00509187582179192,0.00196967597734862,0.00425681379652593,0.00264448579807916,0.719891754897046,4.65707852908437e-05,0.0265490705201533,0.00114584071850164,0,0,0.00137221509474747,0.00328457381542365,0.00201973586567087
"gras5",4000,0.0054376791465036,0.00373457468099451,0.00136072994786147,0.00065866570531321,0.000306802710919758,0.221502497881316,0.0302933906963711,0.00497673635978899,0.00157183060453728,0.00334604500468395,0.0031539061495316,0.681926733020747,6.92725176239591e-05,0.0330418387799726,0.000908623520013248,0,0,0.00143606913737226,0.00370355521113266,0.0025710492219436
"gras6",5000,0.00487952688113074,0.00347523556032804,0.0016324419419513,0.000540705319680205,0.000320921224108309,0.253176741550523,0.0340711700088883,0.00514865528179048,0.00131876671133714,0.00278477971875931,0.00355602186436213,0.638747258067533,9.29510655625043e-05,0.0406365031759558,0.000758244850021763,0,0,0.00154605658694706,0.00409415755098161,0.00321986271951527
"gras7",6000,0.00460300355247078,0.00322871069337639,0.00188225661617452,0.000464533450317125,0.000358270007341496,0.285295912927445,0.0381571564239017,0.00533909220937202,0.00113154496645215,0.00235016348323769,0.0038591783193783,0.594067689852891,0.000138104350835211,0.0484212735428525,0.0006471642440815,1.75993241177427e-05,0,0.00170057975034268,0.00435726887514811,0.00398049720481844
"gras8",7000,0.00491632096903492,0.00281817140133366,0.00208509580223084,0.000423476524587779,0.000375643402667313,0.296405590471945,0.0403040696083899,0.00520369598724539,0.00108074353232299,0.00181219227660039,0.00429273180164888,0.573788283879025,0.000177477227036857,0.0545285229339719,0.000582107641028128,5.67971316197866e-05,0,0.00178327092308438,0.00440352493302619,0.00496228315601358
"gras9",8000,0.00517897696203377,0.00257907998522497,0.00235693828689751,0.000427779203484023,0.000368116822459122,0.296724928811585,0.0416768716352998,0.00511792556043604,0.00126111797926686,0.00139496221099177,0.00478125908905098,0.56403521952108,0.000207722609890991,0.0611167060520733,0.000652800353585551,0.000125248519450679,0,0.00176366986852089,0.00432373858816928,0.00590693741183072
"gras10",9000,0.00542552689111896,0.00230481480572544,0.00254113929399604,0.000631093781290378,0.000362708112412783,0.289677371620237,0.0419650489265225,0.00509846620521434,0.00175281470471186,0.00159443995219226,0.00541862426040141,0.560531930523818,0.000236314435438022,0.0682259323354868,0.00111825909415109,0.000220406483073477,6.11790229132569e-05,0.00180688935423666,0.0041703455237603,0.00685669400381888
"gras11",10000,0.00572604709009114,0.00201484195437207,0.00270106887426841,0.0011007374973357,0.000334455185365286,0.278459980503276,0.0408568862147745,0.00456259437722389,0.00224890440121713,0.00173462111754943,0.00600448892988382,0.563454418843578,0.000252907545729843,0.0749346084302478,0.00194635213790292,0.000343649583932679,0.000321386565850392,0.00172664630536063,0.00413452421425036,0.00714087966747227
"gras12",11000,0.0061813274933053,0.00167674489493195,0.00291629372496404,0.00146038771782671,0.000249478422153369,0.265192536481659,0.0388890074871915,0.00410191062382428,0.00261775986408653,0.00189432797474272,0.00643163834809671,0.572340464111735,0.000210966842619232,0.0795550484690993,0.00262241568410424,0.000514345678820405,0.00055565736317362,0.00158774097986057,0.00400281948223968,0.00699912801031869
"gras13",12000,0.00680743206001106,0.00152284247847529,0.00312872909792128,0.0016616753682476,0.000198096599373156,0.266517875660744,0.0385322610624309,0.00419145322999631,0.00292324957752581,0.00207578073608038,0.00608040951055494,0.568757699666114,0.000128632381360619,0.0811251583889657,0.0030592805078125,0.000575170275580752,0.000925676115597345,0.00151139084333518,0.00390712043607117,0.00637006582701881
"gras14",13000,0.00696186801956416,0.00162546281239128,0.00319686161098407,0.00173252797013584,0.000271762981100362,0.274251506806411,0.039199238461761,0.004236254770429,0.00303908576661781,0.00214345966402814,0.00531672833843448,0.561399786597264,7.81164915860451e-05,0.0803400589511971,0.0032819682511287,0.000582460780650835,0.00118228204843155,0.00162842094261702,0.00388245804452262,0.00564969063740838
