"","YrBP","Abies","Amaranthaceae","Apiaceae","Arceuthobium","Artemisia","Asteraceae","Brassicaceae","Caryophyllaceae","Cupressaceae","Ephedra","Phlox","Picea","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Ranunculaceae","Rosaceae","Sarcobatus.vermiculatus"
"gray1",0,0,0.094240838,0.005235602,0,0.335078534,0.062827225,0,0.010471204,0.041884817,0.015706806,0,0,0.303664921,0.073298429,0,0.010471204,0.02617801,0.010471204,0.010471204
"gray2",1000,0.00451767194366197,0.0867429214366197,0.00808181415023474,0,0.351588141943662,0.0653580675164319,0,0.00863417506103286,0.0495956080422535,0.0121983172676056,0,0.00150589064788732,0.301591364755869,0.0589333357793427,0,0.019175409915493,0.0178207110328639,0.00712828441314554,0.00712828441314554
"gray3",2000,0.00540498058107228,0.104397639148253,0.00856618997959627,0,0.364979296110267,0.0618482266707185,0,0.00609110918515303,0.0470406701541133,0.0086778913633601,0,0.00297619987149989,0.299078884181463,0.0455021567414804,0,0.0193028433188626,0.0131922286711526,0.00719369138354678,0.00574799157673106
"gray4",3000,0.00472412188271538,0.109840846509567,0.00769549713544482,0,0.365956729457572,0.0609731435866393,0,0.00533189888055345,0.0429100551460383,0.00711363501362015,0,0.00464852611609556,0.305898125519403,0.0406904094035239,0.00229857863928224,0.0182390299100638,0.0110617668377473,0.00622268167808885,0.00639495329088747
"gray5",4000,0.00431008290913227,0.109977319786935,0.00679862827429314,0,0.365870981919662,0.0578044783300617,0,0.00480647016860578,0.0403766549435164,0.00595628401111472,0,0.00533664317036074,0.315883875005005,0.0384490443027624,0.00352830802677933,0.0174281246295743,0.00988089340864478,0.00532926358167046,0.00826294665843354
"gray6",5000,0.00394868532139061,0.109884225085562,0.00610476881930912,0,0.368219340986005,0.0555693780340124,0,0.00435144173711249,0.0392543465830824,0.00518137366390611,0,0.00565196287869796,0.318833007467759,0.0387267549934898,0.00386633689069973,0.0173270009579717,0.00923008866771479,0.0047947182333481,0.00905656887599646
"gray7",6000,0.00357290817854747,0.112498172446386,0.00566975575285104,0,0.365183427892031,0.0535387775206722,0,0.00344048044034883,0.0376587208989867,0.00378777537721993,0,0.00623028903996752,0.316165444494651,0.0496961486386682,0.00434191037361861,0.0166902557876284,0.00792361205087738,0.00428494180379903,0.00931737869364121
"gray8",7000,0.00326152671335873,0.107611690242053,0.00478442534102274,0,0.35886408562442,0.0512391169092749,0,0.00272993495526253,0.0346360231664484,0.00280074577565782,0,0.00722994822538397,0.317726662000595,0.0681603077878021,0.00477228035352423,0.0165652240544708,0.00667846503872485,0.00337384353167044,0.00956571974482081
"gray9",8000,0.00552713771781543,0.0897402919706206,0.00364883755184337,0.000572689184680559,0.361343450066957,0.0482531407887337,0.000435331468468056,0.00183710992605908,0.0290987130992214,0.00166775528003206,7.01351502633387e-05,0.0107518937025418,0.335518476782986,0.0743453760942523,0.00366403688511564,0.0166570704997939,0.00501483437165102,0.00259372900574765,0.0092599901092512
"gray10",9000,0.00736581978250656,0.073585310386309,0.00285831535709863,0.00163913056699811,0.373385665662879,0.0457586350263695,0.00124759934309441,0.00118459903975452,0.0240305400940232,0.000939100580547057,0.000143752185533217,0.0139888003831221,0.344538519627203,0.0761871114059586,0.00247993183225889,0.0163859640164263,0.00375767792755682,0.00221529125111087,0.00830823532340836
"gray11",10000,0.00874741173189456,0.0605223705832049,0.00236031416717288,0.00236582577107404,0.381107594254644,0.0443949259842336,0.00181418816111357,0.000763562974572261,0.0198818369649415,0.000466132132190662,0.000194212946046185,0.016408668070346,0.354570203159816,0.0766696492337337,0.00171473225740625,0.0157252300225126,0.00273983338967322,0.00203896395761535,0.00751434413260276
"gray12",11000,0.00983741712968719,0.0488527446442828,0.00182099368849944,0.00290992843985186,0.390395851843688,0.0429351800048277,0.00223820399613782,0.00062914465295946,0.016549334088301,0.000350613807883077,0.000232200992156603,0.0183295431396998,0.369159368204748,0.0680607058425898,0.00110054525141194,0.0153405662772171,0.00206481380673236,0.0020840432979168,0.00710880080925865
"gray13",12000,0.010860444895314,0.0404188731431876,0.00146307753750413,0.00348794826516626,0.401152822191773,0.0419003860743107,0.00268721508888644,0.000581659727539744,0.0141703928450637,0.000219115044608437,0.000273971362631714,0.0199933046385309,0.381982011505195,0.0546391903385591,0.000620562460904896,0.0145508885842665,0.00172237837250799,0.00229634423694484,0.00697941365505256
"gray14",13000,0.0106250345165895,0.0354737484608521,0.00124374414459942,0.00407414904462794,0.412607446027407,0.0402674903132376,0.00314960819046326,0.000553843394562073,0.0126569740463799,0.000181145161820429,0.000286452553788486,0.0204758927302767,0.386062774249311,0.047529418175877,0.000404227407409922,0.0133850944947237,0.001547675346987,0.00266333032503972,0.00681195140660863
"gray15",14000,0.0102657731990411,0.0315742065972246,0.0010224059849242,0.00396706397178985,0.414035481326046,0.0395131464598035,0.00309399871479218,0.000529016848178411,0.0117823253495628,0.000148085380187055,0.000274519194854307,0.0206856233753925,0.39825204284465,0.041259442227572,0.000347355813130972,0.0121615703965459,0.001305958310261,0.00316804382893271,0.00661394017459567
"gray16",15000,0.0098459705505302,0.0273159310961042,0.000681057333125864,0.00391854463589212,0.415107392213854,0.0374310821280314,0.00306395345486399,0.000506348930613186,0.0110147286514523,9.6945122406639e-05,0.000263484370401107,0.0213220866524205,0.414811078745551,0.0320526740550023,0.000262491476141079,0.0107689048977409,0.00109260197959889,0.00382486780156754,0.00661985590633933
"gray17",16000,0.00899691162963491,0.023978865300089,0.000420416744256456,0.00373954996634016,0.417087017567765,0.0360540490118611,0.00294064761788068,0.000972376940694568,0.0112283857790917,0,0.000235050186571683,0.0220007978476224,0.425558443877257,0.0264313524869101,0.000172881879073909,0.00811130991109528,0.00101923055654497,0.0043920493760285,0.00666066332099733
