"","YrBP","Alnus","Amaranthaceae","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Ericaceae","Fabaceae","Micranthes","Phlox","Picea","Plantago","Poaceae","Polygonaceae","Potentilla","Ranunculaceae","Rhododendron","Salix","Saxifragaceae"
"hang1",0,0.297793305675313,0.000465637485878868,0.0180364518959513,0.00081691782919684,0.436912927737294,0.000782896116622778,0.000492094851119157,0.0787905511723502,0.000490834931895984,0.00211861497271231,0.000214999341672153,0.0672841492290981,0,0.0551953069129361,0.000526534106583278,0.000816499328966425,0.00552653242860435,0.0113384828804806,0.020724465244108,0.00167279740954575
"hang2",1000,0.290527639568505,0.000397811077399757,0.016912221486294,0.000737004602648846,0.449196688547582,0.000726933327752126,0.000474115064957473,0.0783762742936087,0.000429043537715674,0.0020492182763305,0.000126982843256379,0.0645664839597084,0,0.0549312892720049,0.000495679201895504,0.000763607402867558,0.00553628234223572,0.0121673632044471,0.020060057869356,0.0015253036109842
"hang3",2000,0.29067206401053,0.00033751880892228,0.0154878128262063,0.000696345588609689,0.456475759628433,0.000705788202113786,0.00046149949563034,0.0770922604576951,0.000394381614496759,0.0016906735383732,7.62794246452693e-05,0.0643128680960547,0,0.0525358908325126,0.000368477618350624,0.0006259930146369,0.0051073886401308,0.0124267847573817,0.0192250122810207,0.00130720074414621
"hang4",3000,0.295967862912417,0.000274932148908062,0.013800950105573,0.000612625446838354,0.459941300294081,0.000665283308613182,0.000433071496860372,0.0773486050827883,0.000375811217979874,0.00134009021633259,4.26120398610409e-05,0.064194341393375,0,0.0478490196437297,0.000241572665535857,0.000499865979514948,0.0042774489159069,0.0128946855891083,0.0181889551236279,0.00105096606651118
"hang5",4000,0.303097879115945,0.000186786043450304,0.0116572981118544,0.000603595238976674,0.462718736844859,0.000720860445912853,0.000394864989971954,0.0773372846809221,0.000340117714481155,0.000991581308967782,1.78717559340584e-05,0.0635691828304398,0,0.0425444200027498,0.000142423583583008,0.00042288053924345,0.00350872854674054,0.0132695420352281,0.0176438211707641,0.000832124770080033
"hang6",5000,0.291717569483987,0.000119903211395042,0.0101547934753981,0.000573967506270856,0.485270763364426,0.0007407765526304,0.000394184599538644,0.075256669630613,0.00029407127817966,0.000725451360406262,2.12391648563302e-06,0.0618761944147276,1.10486519450852e-05,0.0375014669521735,6.72925448702157e-05,0.000432935630960113,0.00270231604461266,0.0133163542169156,0.0182149579596762,0.000627159056560883
"hang7",6000,0.258821165942775,0.000108656567256511,0.00945137965938262,0.000542625625531839,0.528578904228749,0.000752233821711498,0.00044991162894095,0.0717162638925818,0.000256829786383138,0.00056177743673117,5.83292900325779e-05,0.0587505599901554,2.74274048742278e-05,0.0332669336467253,1.43152924180656e-05,0.000480137781576558,0.00205481250458405,0.013097911777126,0.0205669246341481,0.000442899020436865
"hang8",7000,0.217952198026886,0.000165995821378156,0.0096526056889471,0.000530919682325548,0.577940049678353,0.000715354203310776,0.000470112261573165,0.0675718249982173,0.000223679990686167,0.000544968815025831,9.75678848722986e-05,0.0526487061029106,6.07842640107691e-05,0.0307510166496689,1.02366020519537e-06,0.000591119955439133,0.00173947397388489,0.0128940235561231,0.0251013529960198,0.000347221765626137
"hang9",8000,0.176780466402264,0.0003733686373208,0.0113245684909842,0.000603597058875688,0.623285841955343,0.000747362104636887,0.000515464804473188,0.0616316267027878,0.000221744992980803,0.000560785479643087,0.000125653842068059,0.0460536165378987,0.00032027123186294,0.0317789472342378,0,0.000715667186126544,0.00162156579598442,0.0121954558523054,0.0306234905363237,0.000520505169031202
"hang10",9000,0.131952228364175,0.000660471887705495,0.0143871303823802,0.000679463104108227,0.667048070813554,0.000829149874121302,0.000608684112702422,0.0551866930317505,0.000258874250427475,0.00064885563432202,0.000151544711150102,0.0396502824504632,0.000726487990360867,0.0356289952949184,7.8550937761933e-06,0.000867411078493278,0.00146009800999117,0.011376070070592,0.0370736429520223,0.000797990930955867
"hang11",10000,0.0911641391826918,0.000991627294423683,0.0183449620358288,0.000863177285500278,0.703722012205411,0.000974315580729772,0.000700838582254863,0.0481883928451546,0.000313252868431157,0.00084060995493951,0.000181693989075589,0.0328096925837962,0.0012289938156695,0.0412239163738149,1.79963741502485e-05,0.000980484590318376,0.001380256152574,0.010354767320599,0.0445844314651095,0.00113443952048868
"hang12",11000,0.0596009846966866,0.00143746355556433,0.0240867110361277,0.00132182537694437,0.722770334729533,0.00132219000763372,0.000810474346759053,0.0392002790314877,0.000402319557751831,0.0013110812333696,0.000156313025139397,0.0251465493143073,0.00201484302689842,0.0520189990504367,3.47792644738993e-05,0.00113041918748273,0.00134269976206933,0.00872854414446556,0.0555895596589296,0.00157363001849795
"hang13",12000,0.035955479968698,0.00198112938069903,0.0319531116431261,0.00209447687017184,0.713263249431354,0.00220563899559498,0.00103241519388213,0.0293812169325424,0.000672601204363239,0.00205021834140408,0.000128216709459418,0.0204234292621875,0.0034530448166297,0.0718313091008607,0.000100645461697252,0.00131670769451185,0.00127062818348088,0.00664257111515706,0.0721542572926356,0.00208965244909657
"hang14",13000,0.01950556882333,0.00246885001557747,0.0393327592632381,0.0032054544740159,0.676471088101339,0.00372693191231776,0.00132128291751253,0.0206344421742777,0.00123073387060922,0.00306916186498383,0.000102318081530543,0.0185196911454672,0.00519510972160136,0.0964036252910233,0.000195287107777801,0.00154622647495232,0.00117844258844437,0.00465469184559914,0.0990076673493209,0.0022306670960759
"hang15",14000,0.0171655773575977,0.00300898912074325,0.0461700478651863,0.00491204595845589,0.60795516316651,0.00551354320287625,0.00165428952880796,0.0133145439988249,0.0024212490828532,0.00415623077091609,7.56528614337265e-05,0.0201156630911544,0.00755079323839343,0.125557955294561,0.000297963249075113,0.00180491543107317,0.00114130342550111,0.0027422940539846,0.132413112733868,0.0020286667957061
"hang16",15000,0.0283642585290119,0.00360514096001122,0.0533505620545587,0.00667478002859524,0.509567677418847,0.00775293497406958,0.00207705616526826,0.00912381569800097,0.0040555431611844,0.00506935859742263,5.06054953345049e-05,0.0276485005173296,0.0103982487291868,0.159166002941489,0.000444080495483009,0.00225857217174467,0.00101666135373611,0.00132204389596482,0.166449881739401,0.0016042754407841
"hang17",16000,0.0456364137023743,0.00422401553346057,0.0612415485509788,0.0079582539674149,0.407017995464815,0.0101424095343886,0.0024424895792653,0.009717647026842,0.0061808124457382,0.00515935909163573,0.000127171101143367,0.0424193367966802,0.0133146899020609,0.186879440288372,0.000623105199064995,0.00280520548302458,0.000861850726309707,0.000993232670113111,0.191217841026317,0.0010371824199993
"hang18",17000,0.0641639769124591,0.00495770415453426,0.0705353148338083,0.0087673401183117,0.332310774690683,0.0121161399753981,0.00274900928675578,0.0120920738031387,0.00871704494995955,0.00458816381053948,0.000289479460283897,0.0559823581225315,0.0153198167978524,0.202664289116381,0.000796698999053065,0.0032855100338874,0.000706783434725849,0.00126186581908947,0.198249536793614,0.000446119494676939
"hang19",18000,0.0819865448755068,0.00605524534635755,0.0879162541751964,0.00926734360630517,0.27750230459191,0.0140055968053836,0.00295235836537006,0.0140956321936851,0.0114197210487244,0.00365440092755844,0.000547375823988748,0.0679742476307983,0.01696963198932,0.219650617121981,0.00111062225002425,0.0037051781851683,0.000545631052332913,0.0015185501628577,0.178954698571549,0.000168045851071879
"hang20",19000,0.0966556344097802,0.00753922149504755,0.109780828004355,0.00899362895372863,0.236493053137317,0.0175783507950008,0.00299264274085122,0.0153615794588993,0.013258359702905,0.00270495819058359,0.000969032694725355,0.0785235194039391,0.0176188332835213,0.237974719716635,0.001531779729564,0.00412840294729512,0.000419545600883438,0.00167936000154862,0.145709090058827,8.74601664917113e-05
"hang21",20000,0.105357538683101,0.0098698193601618,0.131809273814591,0.00885402950630841,0.211602145209287,0.0225700731065034,0.00286757131940927,0.0152883979136768,0.0146982894620823,0.00178523973592094,0.00161253450642046,0.0851207880102974,0.0175049847287385,0.254806045203146,0.00195144620033391,0.00429850597883379,0.000354025430966094,0.00171756681202519,0.107873606307801,5.81191460905811e-05
"hang22",21000,0.105471412854974,0.012784455873598,0.150125022817775,0.00927402094429847,0.202646722701774,0.0298824249145926,0.00283824715417366,0.0138667226748048,0.0153515407736175,0.00125279002870837,0.00240004995100114,0.0831203793207795,0.0164695496722015,0.275006541898523,0.00235097065813931,0.0041664144080724,0.000293604254628616,0.00148450712719266,0.0711681214711092,4.65008066564484e-05
"hang23",22000,0.0990179968695789,0.0167054221590882,0.163091024393773,0.0102264683158247,0.191638211514091,0.0400732798338829,0.00265430428604086,0.0121415025036458,0.0142581654892465,0.00107568937812521,0.00327431727806608,0.0791440773965184,0.0150905168802076,0.301228375760652,0.00258016419471852,0.0039239724394666,0.000266208719227485,0.00113339080462458,0.0424446135662747,3.22983552781975e-05
"hang24",23000,0.0884785981499567,0.0227827033267269,0.166367076944217,0.0116038033937464,0.178382778401847,0.0535552905941663,0.00253407340735171,0.0102066996757842,0.0117224069233334,0.00104604276773022,0.00422864744263481,0.0750305569884943,0.013410510367316,0.322777825948246,0.00241999759259154,0.00360441105976989,0.000248155622852441,0.000777073735639196,0.0308078252346816,1.55224837487764e-05
"hang25",24000,0.0778682947267624,0.0304188593726838,0.170718245202604,0.0139795676376457,0.163540630653939,0.0671296825810844,0.00261426687408343,0.008239017977698,0.00918634332628472,0.0010033840824231,0.00522759582759303,0.0704273007912952,0.0117285357170566,0.333876207910092,0.00205834000150607,0.00302936332906867,0.000174897192868226,0.000474522853835154,0.0283049439262026,0
