"","YrBP","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Betula","Carya","Corylus","Cupressaceae","Fagaceae","Fraxinus","Gentianaceae","Juglans","Ostrya","Picea","Pinus","Poaceae","Polemoniaceae","Polygonaceae","Populus","Pseudotsuga","Quercus","Ranunculaceae","Rosaceae","Salix","Saxifragaceae","Thalictrum","Tilia","Tsuga.heterophylla","Ulmus"
"hans1",0,0.00592461632083843,0.00954669566539168,0.0109411332734853,0.16983310741914,0.12518257500742,0.0133511561160496,0.0590061247836597,0.00747406513012546,0.00562486692434211,0.00388590137216952,0.00142722727968176,0,0.0101619108448592,0,0.00126848887844247,0.00150866820119339,0.0328366010545441,0.264213796287561,0.0294829729794982,0,0.00428168222154223,0.00875371274541004,0,0.216833954701423,0.00390179343382803,0,0.00360878913448592,0.000473494188341493,0,0.00168430459264076,0.00362882399931151,0.00516353759761322
"hans2",1000,0.0064856474114235,0.011893684506718,0.0156473421877479,0.186432638141462,0.0977146872333235,0.0155553719633028,0.0410732460702575,0.00824345992192957,0.00610564868771826,0.00458917787611719,0.000883419473216928,0.000237995146433856,0.0107347690213673,0,0.00194745170014797,0.00216268632388281,0.0358379169841373,0.273030513658834,0.0335873704320805,0,0.00282033960716188,0.00925913897650192,0,0.215196756927316,0.00375725022633915,0,0.00280841807759692,0.00067293189499852,0,0.00186923678573542,0.00404568915767979,0.00740721166007695
"hans3",2000,0.00659199041556746,0.0135568720346644,0.0329147037767974,0.181368669904425,0.0768059798411741,0.0165033840360149,0.0284987098612974,0.00789103614541034,0.00618157205874938,0.00544364210156215,0.000503940440282717,0.000971318599693873,0.01096672387962,0,0.00282534376459731,0.0030468855836222,0.0355413620640616,0.290017986272813,0.0337278505822716,0,0.00181912288583262,0.00845718474726512,0,0.209996025284158,0.00369718967104849,0,0.00276476325737181,0.0014334056841039,6.73270521766533e-05,0.002827447101202,0.00388308029239634,0.0116964825587269
"hans4",3000,0.00636118255831133,0.0157129677049104,0.0466919631189066,0.165344798121761,0.0612914146402469,0.0167022603316323,0.0201716607000928,0.00707749397983727,0.00668925658932268,0.00575323039065734,0.000266315252301763,0.00171993126968096,0.0109817459689887,0,0.00363390273713511,0.00509031215341517,0.0325167223734923,0.304886155533081,0.0325733848428735,0,0.00118359559142816,0.00677978985108129,0,0.207291958125758,0.00359234369948612,0,0.00323631923763472,0.00227933025640568,0.000212683670330455,0.00547914206866034,0.0031592741043109,0.0233208648207123
"hans5",4000,0.00610041090728014,0.0175372469758849,0.0572165344624133,0.141714999193316,0.0507937840683919,0.0163805421452986,0.0145769212882861,0.00587609778296436,0.00651782585454933,0.00581464297050237,0.000113469863763532,0.00233247082669383,0.0112493956253801,0,0.00441487906827028,0.00693568230145359,0.0294462208293091,0.325593650113703,0.0304497457630763,0,0.000788385070642258,0.00525858020785184,0,0.204874206006325,0.00381357824069456,0,0.00365582335795524,0.00283443882693711,0.000325066671816081,0.00814269820161781,0.00231714322926043,0.0349255597123221
"hans6",5000,0.00584222770540555,0.0203072651322401,0.0668972789194535,0.102662722924687,0.0399793780893768,0.0153552351594288,0.0100110683152612,0.00551411552235761,0.00703046539210371,0.00613138785498416,0,0.00304180296022331,0.012379745289468,0,0.00591562111844436,0.0104135767441892,0.0271137581455526,0.347044434158275,0.0266905129841376,0,0.000501470654973429,0.00406440823866015,0,0.206428270474368,0.00408917603196629,0,0.00415241617966611,0.00321858501226582,0.000516876164931022,0.0108020790330667,0.0015337288013581,0.0523623926683129
"hans7",6000,0.00636300947682029,0.0214988975251636,0.068828592254555,0.0658191975974734,0.0336658929070531,0.0150965234738558,0.0087138170079128,0.00575202122126194,0.00804958094750644,0.00673467401593962,0,0.00339079521797825,0.0212257402579983,0,0.00723585590315372,0.0144722411608556,0.047879846775728,0.341175391456776,0.0241520890612273,0,0.000385135049757143,0.00330280610902333,0,0.203147231252548,0.00404294755170684,0,0.00476701398016099,0.0033513992592297,0.000813060286799079,0.0127904250084145,0.000826117635760381,0.066519697283675
"hans8",7000,0.00852975257013593,0.0218624518266971,0.0572568001604508,0.0384615836432647,0.0287493504418754,0.0169461536327548,0.00722371523656237,0.00671000478934198,0.00889954276441855,0.00686041159806218,0,0.00318535539056713,0.0380657726653454,0,0.00775029441240766,0.0177158715043141,0.0988794950995336,0.307383167434749,0.0248955336482694,0,0.000258978606630232,0.00328420901833724,0,0.194319940836186,0.00368154975522992,0,0.00590329372708346,0.00295650147160331,0.00133310020291074,0.0135329119965968,0.000336682462975197,0.0750175747927652
"hans9",8000,0.0116027619018888,0.0204054128664433,0.0439108753972475,0.0190832667899434,0.0267858428007849,0.0197865041431439,0.00588965409929396,0.00868642450759802,0.00919393107614149,0.00790023803214823,0,0.00275388099672066,0.0615187287810372,2.04987361121067e-06,0.00780337220304996,0.0205224859365637,0.168294718136298,0.257172907702082,0.0269339158661924,0,0.000160995436474088,0.00358049290045516,0,0.177782854930184,0.00316220773331661,0,0.00678802272267221,0.00229645652718443,0.00211123005383127,0.0120441254889972,9.35985837036772e-05,0.0737330442293742
"hans10",9000,0.0148444919238339,0.0181563142551304,0.0317554701641722,0.00762962556893678,0.0263616310504547,0.0230987886358659,0.00497381247685178,0.0107651192528449,0.00950415488744108,0.00894535070452489,0,0.00233571910881331,0.0841060166472455,6.03810393607059e-05,0.00745098244412526,0.0227771890072532,0.241487049988144,0.199658793237958,0.0298522981980097,0,7.98581163521514e-05,0.00385117647151904,0,0.159525366805609,0.00265900549923024,3.05924106210421e-05,0.00772630534531084,0.00173730347562969,0.00270386008970432,0.00985947816210897,1.47813792911899e-05,0.0680490833926707
"hans11",10000,0.0179745928942562,0.0146844713170999,0.0215733286426745,0.00454915701678867,0.0275211174848551,0.0274102654882888,0.00445150852063882,0.0121376503396894,0.00893849851868087,0.00959968698452637,0,0.00181774715929514,0.103837417840004,0.00010950576640512,0.00613033933865194,0.0234079361819138,0.31397605651437,0.146558357723082,0.0329536058237409,0,1.57666146057073e-05,0.00416407066307223,2.74096110551002e-05,0.139542148399348,0.00220742344996274,8.11046920030976e-05,0.00867278859751019,0.00134566010732185,0.00317228205568462,0.00758774309605634,0,0.0555523588501585
"hans12",11000,0.0208206297856133,0.0116046558398522,0.0143275913368213,0.00360202827724216,0.0296129571911786,0.0326742150929769,0.00406550939553445,0.0133036649501487,0.00784425201720405,0.00987951303380192,0,0.00135784980573276,0.118118910841267,0.000161425138512831,0.00447092172809803,0.022754017008169,0.375432047243152,0.1049469146499,0.0358859531584591,0,0,0.00437507168735387,7.82551362612938e-05,0.121045199771599,0.00200814515782409,0.000132406431544612,0.00964498875625668,0.00101904740381895,0.00366312537174898,0.00501642515964264,0,0.0421542784096787
"hans13",12000,0.0223310503033652,0.00888560187316756,0.0131458417136646,0.0034689611287347,0.0318768178582665,0.0380495291893504,0.00401750914363573,0.0143901549874843,0.00695466356776424,0.0106797971188913,0,0.0011317281611486,0.124246497514229,0.000224565411280704,0.00322368051726377,0.0227493506890711,0.413461779481679,0.0810536200993101,0.0374529131117351,0,0,0.00415331715459637,0.000197921869529115,0.107161430909522,0.00216419845756903,0.000193201685100473,0.00967453445305494,0.000875338633135559,0.00399955451213068,0.00298172197676525,0,0.0312547183649622
"hans14",13000,0.0231277965219477,0.0067100154423234,0.0147903919673676,0.00357217762687151,0.0328548680821934,0.0446546309003335,0.00438896565873826,0.0141744254326766,0.00605747904639649,0.0105610553052436,0,0.00102717851888526,0.120955762507775,0.000311960559633184,0.0021444607580475,0.0219234691403294,0.440836858404774,0.0707532282159725,0.0388472154821526,0,0,0.00391774602825983,0.000425159637811352,0.0958039572861202,0.00271699888437457,0.000279370627739213,0.00966738039781543,0.000906376174407922,0.00394616716142643,0.0018194112080441,0,0.0228254929934497
"hans15",14000,0.0236916500808694,0.00450206843031978,0.0183249634083778,0.00425674942859517,0.0325316529574044,0.0552949535490265,0.0047120904285744,0.0137241974495813,0.00490058244843851,0.0105159734972676,0,0.000878308646954932,0.109936389765911,0.00030431476827976,0.000926509761589129,0.0206415937572672,0.46511006495782,0.0700134009269641,0.0384299547627735,0,0,0.00429862523978224,0.000811073496935192,0.0832391541461965,0.00337799736744447,0.000336368441498535,0.0094382524963534,0.000962684418205997,0.00416756301080475,0.000828487954329171,0,0.0138443745390114
"hans16",15000,0.0234469989910109,0.00313360404510145,0.0241526584779819,0.00574475908703333,0.030973410043075,0.0698097290023122,0.0050024632620093,0.0134457128008885,0.00401296000353329,0.0107352462946143,0,0.000838968675248759,0.09012298842041,0.000284630689070172,0.000272061233846873,0.0192135541776519,0.476183630923774,0.0785179313006677,0.037903874946507,0,0,0.00521553447964459,0.00139417616183004,0.0719245825188745,0.00433364673417162,0.000378840564911278,0.00886472941079733,0.000964428463718791,0.00456323254469876,0,0,0.00856564722846899
"hans17",16000,0.0219761326891454,0.00217161513218964,0.0330221022315658,0.0072093222878665,0.02734946249398,0.086608821462539,0.00560217536257018,0.0128789733849345,0.00344882351734248,0.0111072750843419,0,0.000784583988365565,0.0621762611186213,0.000226627662289457,0.000407302767061759,0.0188099412056769,0.4738564103131,0.0971519266077043,0.0366999063424517,0,0,0.00664240723384279,0.00247305130177792,0.0620917713115409,0.00574296934132876,0.000690943112102308,0.00779985973577667,0.00126237714525889,0.00500690973237679,0,0.000103181050218341,0.00669886708633812
"hans18",17000,0.0202120828093338,0.00146609839969736,0.0441166968086116,0.0078777947905905,0.0233928944286549,0.10313225526502,0.00663687434381126,0.0129491124298587,0.00270341529177701,0.0105748515611996,0,0.000560407845032156,0.0368507786273687,0.000122971622003645,0.000609793263128933,0.0179565883994222,0.467326689590673,0.114070072317605,0.0352888897773842,0.000118442282216185,6.44665518794924e-05,0.00889528340798569,0.00357237396337311,0.0516083799803969,0.00730251843893799,0.00141956658713072,0.00852346195432816,0.00175518869044262,0.00588910355727895,0,0.000481416856965987,0.00452153108051037
"hans19",18000,0.018311638919357,0.00135622942875929,0.054186993745644,0.00811810807558025,0.0226930515375107,0.11236843168203,0.00772318979781708,0.0155964748431521,0.0023897310272536,0.00996100466457361,0,0.000319030876257479,0.0265258923020909,0,0.000798653624827405,0.0180817303050825,0.448427952228384,0.122160218336939,0.0329298269877046,0.000260643409823131,0.000194722760503649,0.0107450514030179,0.00407828132954172,0.0482242975091722,0.00847178765270563,0.00211946539197186,0.00967493940762049,0.00226134858277993,0.00701597893852324,0,0.000995706410743639,0.00400961997294365
"hans20",19000,0.0164288482302484,0.00147560218730205,0.0607252792572425,0.00770903868763621,0.024331118950632,0.114762488513526,0.00911529588382973,0.0183414744280401,0.00204005047586808,0.00840197343071335,0,0.000168915594769723,0.0301762698078164,5.45849923579834e-05,0.000941872844980386,0.0172160049988668,0.427007845927357,0.123212007720035,0.033009888576609,0.000360672853116374,0.000289747491762313,0.0106415884785123,0.00435857415045765,0.0501981216691559,0.00976862256710737,0.00266810002350719,0.0107025061133517,0.00274451457884643,0.00767514255664681,0,0.00138443831474648,0.0040894118306843
"hans21",20000,0.0151893353594035,0.00167557513315288,0.065366968064156,0.00689310284612982,0.025428716978554,0.115952044064624,0.0103633400353704,0.0201915936078809,0.00166779326346885,0.00670255921058248,4.93726378116704e-05,5.00280879183801e-05,0.0342514450294363,0.000302381771485087,0.000950033563062828,0.0164870712846286,0.412252788387643,0.124110349194602,0.0319940183092499,0.000439770476289626,0.000364901434829004,0.00998882793553173,0.00467069004166884,0.0516433099482068,0.0111265725391182,0.00304090380274322,0.0114826770168653,0.00348089514015408,0.00819181058206236,0,0.00174120262068607,0.00394992259000052
"hans22",21000,0.0142801609437489,0.00160872765900091,0.0675869619541776,0.0065194009161276,0.0272960496449812,0.117001666068746,0.0115847195758172,0.0219383728176698,0.00138589265880414,0.00536112578262046,0.000234007517008141,0,0.0392121875355781,0.000702025024571414,0.000800706152446073,0.0156739444044814,0.405880867307057,0.119408869768797,0.0302513704929778,0.000525891389920555,0.000444421032761886,0.00952445114949455,0.00467398631797722,0.0521853517063974,0.0121099106494085,0.00303761413604053,0.0125425623498291,0.00408515460176599,0.00869756463725804,0,0.00205615298524239,0.00338988368775365
"hans23",22000,0.0138576565496775,0.00150264264154407,0.0662710784796,0.00680116013609682,0.0282459937816025,0.118790073579631,0.0119537605464164,0.0223488294716525,0.00105985800833394,0.00410303942507911,0.000605920507500544,0,0.044315279573085,0.00109830061173515,0.000590216731647221,0.0142651731291398,0.409592131332681,0.112805458076407,0.0287573821204194,0.000458428841703505,0.000443713821557118,0.00893358787344494,0.00486382070647632,0.0518051832469986,0.0127899993866705,0.00258598726886006,0.0127509111107568,0.00476833874734884,0.00888519998736623,0,0.00212410556226297,0.00262676943044182
"hans24",23000,0.0140310689655616,0.001489730462595,0.0619562222844447,0.0075141958957255,0.0277309758036458,0.122067267389148,0.0114510734688313,0.0215310276189058,0.000683098138485621,0.00328491151301538,0.00105964862900497,0,0.0495345996035802,0.00165325991370212,0.000411848765117277,0.0126650734392658,0.415731924062186,0.106158723987401,0.0280190766656147,0.000365927077536799,0.00036154816247128,0.00824215126732648,0.00538001452960335,0.05110396245598,0.0133812604393668,0.00216017445575277,0.0131180621788068,0.00558097169717474,0.00911774935968389,0,0.00220285414212134,0.00201159802842932
"hans25",24000,0.0152267782620432,0.00150283861852195,0.0573825704779922,0.00857583037302323,0.026478999172748,0.126807691446223,0.0103026011871577,0.0192243599616584,0.000409197286621162,0.00291531643737535,0.00165320399002837,0,0.0512329250735092,0.0024294496328193,0.000230077414679363,0.0118746226943344,0.42578798786506,0.0979364890186231,0.0273368634390607,0.000281142910592399,0.00028851029664897,0.00776830627659335,0.00587533355009691,0.0487817759554788,0.0138760292978568,0.00184853745453779,0.0135859695924834,0.00681894728973905,0.00932779820016292,0,0.00280221575256313,0.00143763112603579
"hans26",25000,0.0165515180859823,0.00143271015396317,0.0527125066966374,0.0102391075159256,0.0253706314402751,0.13219003475717,0.00889325610135328,0.0158320175620385,0.000212878921211929,0.00289212463116027,0.0024633958179254,0,0.0516169237968497,0.00290872349868475,6.61304547903527e-05,0.0110259603325516,0.439268911460273,0.0881885858035052,0.0280742886220011,0.000175091552625741,0.000243006058156118,0.00707178064707001,0.00608075162054321,0.0453488790960923,0.0140197136258676,0.00160135293376224,0.0137186201459766,0.00782696880981206,0.00938740321364054,0,0.00379433664339365,0.000792389786010839
