"","YrBP","Abies","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Brassicaceae","Caryophyllaceae","Cercocarpus","Cupressaceae","Fabaceae","Lamiaceae","Malvaceae","Picea","Pinus","Poaceae","Populus","Quercus","Ranunculaceae","Ribes","Sarcobatus.vermiculatus"
"hay01",0,0,0.0674960794154782,0.0182099773352293,0.273712835422539,0.0818415678138642,0.000108989701672784,0.00588656113236571,0,0.0402818339828238,0,0,0.00354884751721819,0.00315251605222898,0.363782209804534,0.122301611960716,0.00479992120874779,0.00716581955355992,0.0016852573699179,0,0.00602597204850234
"hay02",1000,0,0.0623370509642715,0.0168143332713158,0.323252086742843,0.076056206512924,0.000253502171562789,0.00468094953872789,0,0.0310606024654184,0.000179533881324159,0.000538601643972476,0.00325210288381633,0.00477690777400644,0.350905930905386,0.107167832297009,0.00331655660758237,0.00548462519679326,0.00196569168265626,0,0.00795748573402144
"hay03",2000,0,0.0535816150809181,0.01397072039681,0.379030012338883,0.0718508723203462,0.000371500825967711,0.00341760948739545,0,0.0212435546972768,0.000323887633670492,0.000971662901011476,0.00227582176537639,0.0071259973622058,0.335385612053725,0.0916679893552033,0.00249718547125073,0.00421114071085392,0.00248557967191208,0,0.00958923828243532
"hay04",3000,0,0.0491295323798273,0.0116571237331815,0.415462627867388,0.0698434329055698,0.000506754330828352,0.00250978569630895,0,0.0147245935475282,0.000477496939880444,0.00143249081964133,0.00173299357582313,0.00974014951695607,0.319687185005731,0.0836938819372047,0.00202625810944112,0.00370123592342727,0.00295179548217098,0,0.0107226626651485
"hay05",4000,2.98388010450006e-05,0.0451285872610959,0.009858016403135,0.449065689291578,0.0688798294491767,0.00066147344046196,0.00182316433351328,0,0.00886310428772221,0.000649217970288821,0.00194765391086646,0.00131682004546331,0.0126681689212393,0.304429822300447,0.0752704813253384,0.00146063497005746,0.00326774286170131,0.00280852787222843,0,0.0118712269023831
"hay06",5000,0.000167610221898836,0.0416365389053392,0.00805752081523485,0.478554739806002,0.0660955246998193,0.000685127991509434,0.00135241929590526,0,0.00287986906838619,0.00084670769263348,0.00254012307790044,0.000908797279767162,0.0165510712870132,0.291437373605961,0.0699121542908872,0.000856871524628663,0.00284787834735046,0.00256088010078282,0,0.0121087923117824
"hay07",6000,0.000333085601191392,0.0397582086895127,0.00682246606649375,0.490396570484536,0.0637682671201284,0.000583133988459763,0.00148752784632801,0,0,0.000854143925658893,0.00226932262675576,0.000595295617347724,0.0200161315731431,0.282618686029433,0.07276115123408,0.000864807718022553,0.00333374889123601,0.00260234753335678,0,0.0109351054106126
"hay08",7000,0.000533827354299886,0.0416065300094337,0.00758564644871016,0.47811014591585,0.0619589073769846,0.000460112148046391,0.00221051059734008,0,0,0.000895728989520776,0.00188933308028398,0.000839230895961487,0.0224507484518953,0.282496130971869,0.0822367960832989,0.00070381450470471,0.00387800272126723,0.00234342811563617,0.000188369279194729,0.00961273729988573
"hay09",8000,0.000714976686348607,0.0433670417137956,0.00911087529721801,0.454776648308107,0.0554564700551177,0.000281415869950029,0.00338222924918579,0,0.000299587414936728,0.000865756050269746,0.0012971301558561,0.000805453807025831,0.0243413013742635,0.291804601493424,0.0975427831712453,0.000441710831215971,0.00417480264937971,0.0022176348598563,0.00114393938761405,0.00797564173264053
"hay010",9000,0.000971722052369436,0.0450529737249108,0.0102255352569143,0.420813730485453,0.0502198058702857,8.8954491918297e-05,0.00477510799501928,0,0.001199025947439,0.000785569636981873,0.000637976874571969,0.000597754471396758,0.0259099471163286,0.307070118482939,0.116194866648524,0.000335151285984531,0.0046023225160796,0.00241460892038026,0.00206332372280357,0.00604150453389526
"hay011",10000,0.00139015358374428,0.0444137985261673,0.0108355164152339,0.39211087262164,0.0478298477002532,0,0.00544283564982896,0.00036035743535919,0.00219711641545604,0.000683927353725177,2.46709818072771e-05,0.000389352714025501,0.0296915365886756,0.319142170141521,0.12904504379406,0.000459051800479808,0.00548548744266738,0.0026620243331112,0.00284223333200053,0.00499400286396552
"hay012",11000,0.00184040495211251,0.0433861417065535,0.0110445706449701,0.367240379420003,0.0461784188076945,0,0.00580169560105384,0.000678625927916933,0.00297481412663451,0.000542855139245656,0,0.000195519972104376,0.034860614631216,0.328534182431433,0.138786395483892,0.00054623126157959,0.00616447490625908,0.00260962986458999,0.00345997550183065,0.00515506910240019
"hay013",12000,0.00213039228985338,0.0422301362211894,0.0108058480017388,0.347889380710347,0.0455948499956197,0,0.00591517458916958,0.000900140889522345,0.00357154195514353,0.000359942138715664,0,4.44383742664638e-05,0.0389637169638373,0.333970846300988,0.14867745199689,0.000681885799575343,0.00690615750455587,0.00245674096808386,0.00360134451059134,0.00530001022144016
"hay014",13000,0.00249199869096096,0.0403278203765746,0.0106636578312547,0.329765010585589,0.0486394861761973,0,0.00569195283639935,0.00113259081168932,0.00392673824178411,0.000234405605247568,0,0,0.0429982346258263,0.340093385217729,0.154795860544805,0.000838217718414817,0.00764547965664754,0.0021821280959092,0.00298034820722125,0.00559268416851147
"hay015",14000,0.00268726345645759,0.0385058969860331,0.0112226951976243,0.310884346276205,0.0490074333552243,0,0.00495572942109405,0.00138394012294772,0.00360422077295907,0.000129260908572293,0,0,0.0481289519653477,0.349681313466959,0.15944494279369,0.000928171943254899,0.00863380669213891,0.00214636280266324,0.00252955863863206,0.00612610452886434
"hay016",15000,0.00250252282742034,0.0388099816132795,0.0120988258743889,0.288042735928588,0.0487689287030825,0,0.00461949947631922,0.00122327866725875,0.00318881854505871,3.22036742222991e-05,0,0,0.0500826930400993,0.360649723814704,0.168598668804643,0.000787232637030982,0.00945814661254067,0.00220822543040382,0.00225080497870066,0.00667770880670261
"hay017",16000,0.00223483130090592,0.0375993615223868,0.0129304991389721,0.260436338291655,0.0497914711196341,0,0.00406569693236934,0.00102809304834495,0.00271619426656794,0,0,0,0.0505313260936585,0.380903381373519,0.17569111151392,0.000646348025609756,0.0108677009258711,0.00210295840487805,0.00176780424825784,0.00668688331651568
"hay018",17000,0.0020687696121217,0.0357601871520277,0.0139336030335251,0.230732227366467,0.0502333934792975,0,0.00333735469715999,0.000814401875278532,0.00198798162778025,0,0,0,0.0517144725430458,0.411180673243812,0.175117921682595,0.000488582722319005,0.0126768463688976,0.00212408112356683,0.00130097577146214,0.00652852725843698
"hay019",18000,0.00184474375206612,0.035067074705045,0.0147761017204614,0.205545443191377,0.047994079542503,0,0.00332792722041595,0.000485763894628099,0.0010861033881573,0,0,0,0.0520323705336709,0.441990513388748,0.171504317722142,0.000252891941467623,0.0141550722720461,0.00220987368599582,0.00142514801067115,0.00630257467616474
"hay020",19000,0.00180270305858628,0.0335438305983505,0.0150382660868194,0.183897767830214,0.0465703583450023,0,0.00410449235038006,8.04483213971767e-05,0.000891288238585242,0,0,0,0.0488171704567713,0.468314031194322,0.171799232024407,2.22883525518383e-05,0.0151377335407725,0.00244513385112984,0.00144529185898961,0.00608996377436786
"hay021",20000,0.00256709985765051,0.0292557891742803,0.0160249020366689,0.169478265655251,0.0431684018955554,0,0.00471257018715559,0.000167263820363599,0.00122195546315085,0,0,0,0.046547427573312,0.502831819439821,0.158910510253386,0,0.0156595269423186,0.00248419594175207,0.00113509416166246,0.00583517780321368
"hay022",21000,0.00312690091659776,0.0274384415752392,0.016889558662847,0.16856733011407,0.0397240859984643,0,0.00551769127189604,0.000294522698168931,0.00168370199737744,0,0,0,0.0455524303797519,0.522718130531435,0.144036431906934,0,0.0143108633342705,0.00273778675586533,0.000971766849710573,0.00643035741341996
