"","YrBP","Alnus","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Cupressaceae","Ericaceae","Picea","Plantago","Poaceae","Populus","Ranunculaceae","Rosaceae","Rumex","Salix","Thalictrum"
"joe01",0,0.39483997404538,0.00629247422299495,0,0.329847582003702,0,0,0.0864340518027718,0.0339718256609296,0.0899400194813629,0,0.0395297505038775,0.000651639440136088,0.000104319996047431,0.000719730729974483,0,0.0176686320054535,0
"joe02",1000,0.403940899305675,0.0064313985230404,0,0.327979315191368,0,0,0.0836297989622869,0.034463649116175,0.0838926840681482,0,0.0404930740559275,0.000587568155444851,0.000195282741534989,0.000814864200825095,0,0.0175416662668327,2.97994736514361e-05
"joe03",2000,0.415383789255159,0.00645642620737434,0,0.327478698191964,0,0,0.0773478194362103,0.0336902223842923,0.0786759176838955,0,0.0421679587236442,0.000488831289219577,0.000262901645535714,0.00104361378816138,0,0.0168883961367063,0.000115425386111111
"joe04",3000,0.427823660741463,0.00601809078638469,0,0.327289165444427,0,0,0.0712227964038592,0.0323631891207471,0.0727431893272924,0,0.043832475809293,0.000477988050818154,0.000335989402933004,0.00115841490441494,0,0.0165431519541216,0.000191888227107132
"joe05",4000,0.440684419172903,0.00525411462030873,5.92448540399403e-05,0.332310269013313,0,9.28294961551704e-07,0.0657851943972799,0.0285077542369161,0.0615523239543211,0,0.0470998976468208,0.00073236071743372,0.000396397559996557,0.00130344088927465,2.13842246642947e-05,0.0158622033147596,0.000430067223545277
"joe06",5000,0.42225162687563,0.00524745383580999,0.000291151342106589,0.358848199929881,3.19069395526899e-05,0.000129137282994157,0.0668889571369635,0.0232781176094348,0.0453341423651018,0,0.0542774479625982,0.00214036354296796,0.000462084508840419,0.00173380246471388,0.000120311344398549,0.018295109317701,0.000670187534631271
"joe07",6000,0.339270581338225,0.00742737913334507,0.00062571840128747,0.41742311809433,7.35814183298114e-05,0.000393427885243015,0.0732003732747906,0.0162721614915277,0.0280926251623034,0,0.065872550530778,0.015155269082492,0.000536833285454332,0.00213445026886202,0.000213228567308445,0.032590649623738,0.000718052232977225
"joe08",7000,0.251800280525326,0.0106063629339239,0.00101301338628196,0.463320823673302,0.0001270448942457,0.000701875903385143,0.0841996759834662,0.0114876526021532,0.0161732427595646,0,0.0818397033322735,0.0244983305177095,0.000961962207796625,0.00269551922152058,0.000388679449385528,0.0495347024347595,0.000651129852068206
"joe09",8000,0.184968361419476,0.0128775853530415,0.00138487478867704,0.493104957052366,0.000154490959071795,0.000912893380693952,0.0997991949577618,0.00868673696671143,0.00970273193478787,4.63898242002598e-05,0.0938019945532133,0.028011503441701,0.00134964742243676,0.00313683572720768,0.000522389739195526,0.0608295212668039,0.000709890847537483
"joe010",9000,0.126605278311856,0.0157447537512195,0.00182576660563705,0.509073233130514,0.00019262867838835,0.00115276256467176,0.117034263690716,0.00707507642907569,0.00650412860919347,0.000384709545807688,0.104860883192818,0.0303125036285631,0.00163259179904926,0.00354791195460028,0.000602311246164216,0.07235270443555,0.00109849204817567
