"","YrBP","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteraceae","Brassicaceae","Camassia","Caprifoliaceae","Caryophyllaceae","Cupressaceae","Ericaceae","Fabaceae","Gentianaceae","Lysichiton","Malvaceae","Myrica","Onagraceae","Picea","Pinus","Poaceae","Polemoniaceae","Polygonaceae","Ranunculaceae","Rosaceae","Rubiaceae","Salix","Sanguisorba","Tsuga.heterophylla","Tsuga.mertensiana"
"kala1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala2",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala3",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala4",3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala5",4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala6",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala7",6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala8",7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala9",8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala10",9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala11",10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala12",11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala13",12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kala14",13000,0.0260964514904223,0.00251142920896822,0,0.0788429993722246,0,0.208684658751197,0.00151861779669134,0,0,0,0.00415808327187636,0.0156033238561167,0,0,0,0,0,0,0.00511604173313017,0.123002005027427,0.43765820224249,0,0.0190359948826731,0.0188249496134088,0.00303723550217675,0,0,0.0118918866367,0.0182958931800174,0.025722228339791
"kala15",14000,0.0172428661023093,0.00315242966438936,0,0.0746388596374005,0.0016820873504037,0.230200448492745,0.00419681230032183,0,0,0,0.00682899245389871,0.0110389373155101,0,0,0,0,0,0,0.00525844581683699,0.119160440748348,0.418016229539495,0,0.0177152040062673,0.0172952017392581,0.00303556676060076,0,0,0.0197451811395178,0.0189981306437242,0.0317941668947547
