"","YrBP","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Carya","Caryophyllaceae","Cupressaceae","Fagaceae","Fraxinus","Juglans","Ostrya","Picea","Pinus","Poaceae","Pseudotsuga","Quercus","Salix","Tilia","Tsuga.heterophylla","Ulmus"
"kilb1",0,0.00447888774992531,0.0720434282597351,0.00608492833094313,0.0120396172457923,0.0601980875105069,0,0.00396522036988348,0.00667420567244298,0.0173441073882083,0.0116089845709591,0.00595468891484912,0.00745782084951698,0.0104429123530525,0.0307839166261329,0.00464589590020914,0.0156223810677223,0.00333710258978189,0.427550997096305,0.0182547849928294,0.00527401368031073,0.0928639794615078,0.0113589420112539,0.0342386165898815,0.105806850258142,0.0319696304819241
"kilb2",1000,0.0034666604847604,0.0742198423018022,0.0040489233760485,0.00977520370110456,0.0488760194911552,0,0.00374344537280957,0.00561704211917615,0.0178757476359937,0.0125392385247903,0.00572628032505606,0.0110941800639482,0.0112265889823935,0.0280656682038867,0.00426740077518479,0.0176831378042521,0.00280852089560668,0.413744075811311,0.0121467701281455,0.00520232525238768,0.112165643864546,0.00925124862843618,0.0318758382342829,0.115569524079562,0.0390106740859563
"kilb3",2000,0.00387501363366671,0.0736814004259359,0.00246029242944993,0.00773865784328963,0.0389477952129342,0,0.00340146463941073,0.00461237391248817,0.0203761050470334,0.0127835043211921,0.00527836541383971,0.0129940576530612,0.0116930511846195,0.0263125509910123,0.00379227630314907,0.0219944272106366,0.00230618685660224,0.406370230069604,0.00738087728834978,0.00488755408595756,0.129195853855589,0.00734784651540749,0.029659998929923,0.116790852408096,0.0461192640199351
"kilb4",3000,0.00498093206905032,0.0730300895512044,0.00151732427613823,0.00539651140906798,0.0275337804528314,0,0.00296448798549628,0.00326049133793669,0.0232047236338756,0.0122479691540547,0.00387918713292975,0.0147445431725312,0.012368391531719,0.0244654297278976,0.00275471649728843,0.027682594989469,0.00163024560751671,0.392192717913356,0.00455197282841468,0.004088958875268,0.151271111081788,0.00560628315140623,0.0249607347625804,0.121707794585383,0.0539590083886366
"kilb5",4000,0.00592899250285748,0.0713604231988452,0.000880822238732104,0.00329008642697225,0.0172585639793201,0,0.00277951818700289,0.00203999650250398,0.0260063385010311,0.0117095163537383,0.00279035727573204,0.0159026940044188,0.0121173675742061,0.0231087536316503,0.00238154415907618,0.0339405543698227,0.00121054476704177,0.387175059889589,0.00226137362870441,0.00375997103529134,0.169002264889825,0.00387860713810169,0.0206872081472338,0.119718807831497,0.0608106338676133
"kilb6",5000,0.00745157305936848,0.0654757159578549,0.000529240310999478,0.00175801814196242,0.010009528529358,0,0.00284787556850209,0.00117201218293319,0.0300055663839379,0.0107136276210204,0.0022872584529619,0.0147921079943241,0.011360461243476,0.022714328501892,0.00275973300743737,0.0422958353958768,0.00111524640246608,0.398029444717119,0.000529240310999478,0.0039631218624739,0.178375635315762,0.00237540103796973,0.0184620954621608,0.104053396518137,0.066923536259786
"kilb7",6000,0.00885572142742042,0.0562590167878748,0.000857894894135517,0.000902956417910448,0.00607776359120328,0,0.00290800823629639,0.000601970990622111,0.0358900051864351,0.00867930571754062,0.00176085131204596,0.0114192601596222,0.00993322678245939,0.0224404786208559,0.00344444429652622,0.0510153315247656,0.00115888038944657,0.425776700146876,0.000857894894135517,0.00406688844987452,0.18102418974508,0.00149320394333642,0.0161519490981376,0.0792878512633734,0.0691362064317792
"kilb8",7000,0.00853443382345172,0.047915315637511,0.0013111456917376,2.92214616965072e-05,0.0016950837659231,0,0.00325901707616672,1.94809759319049e-05,0.0403287008461256,0.00668427299963311,0.00134036715343411,0.00873843875381567,0.00819049111784561,0.0211394333602143,0.00461845931449956,0.0582537907120634,0.00132088617970355,0.456572752654241,0.0013111456917376,0.00457990298708541,0.183097003885823,0.00064646618065747,0.0129167356378045,0.0580538706225418,0.0694435838856765
"kilb9",8000,0.00675108243369525,0.0387151026381879,0.00170320797356795,0,0.00176656348940472,0,0.00367553308453763,0.000279226039385998,0.0418436603116436,0.00518485905990266,0.00170320797356795,0.00580887939745414,0.00573413374870835,0.0188633061252714,0.00644238761168102,0.0628838248186447,0.00198243401295395,0.505871953111269,0.00170320797356795,0.00537874070894796,0.173591634956795,0.000269117137401722,0.0114599460634968,0.0344809176207413,0.0639070741263946
"kilb10",9000,0.00530043013102495,0.0294982144533041,0.00171958859733398,0,0.00231403303267496,0,0.00343917719466797,0.000703500914898805,0.0443055861016012,0.00357721477696497,0.00171958859733398,0.00285550437039746,0.00353365089978054,0.0157294654143705,0.00741229480273104,0.0664839420052833,0.00242308951223279,0.557707764170771,0.00171958859733398,0.0051587654394863,0.165164466304479,0,0.00955216451044461,0.0134214002278306,0.0562605700788426
