"","YrBP","Acer","Amaranthaceae","Apiaceae","Artemisia","Asteraceae","Brassicaceae","Caryophyllaceae","Ceanothus","Eriogonum","Fabaceae","Lamiaceae","Liliaceae","Opuntia","Picea","Pinus","Poaceae","Polygonaceae","Populus","Rosaceae"
"last1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last2",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last3",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last4",3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last5",4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last6",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last7",6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last8",7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"last9",8000,0.01,0.156,0.006,0.213,0.371,0.016,0,0.006,0.003,0.076,0.013,0.003,0.003,0,0.006,0.038,0.032,0,0.029
"last10",9000,0.00654705364995602,0.16061125769569,0.0135299032541777,0.242943711521548,0.322381706244503,0.00852330694810906,0,0.00529023746701847,0.00266094986807388,0.066301671064204,0.0164639401934916,0.00147097625329815,0.00421943711521548,0,0.0111240105540897,0.0507757255936675,0.0351433597185576,0.00131002638522427,0.0355070360598065
"last11",10000,0.0042545697131421,0.165354503002001,0.0151891927951968,0.255995330220147,0.265602268178786,0.00644362908605737,0,0.00451714476317545,0.00278545697131421,0.0712572381587725,0.0153571714476318,0.000846564376250834,0.0056444296197465,0,0.0204892595063376,0.0650557705136758,0.0384457638425617,0.00222041360907272,0.0455602401601067
"last12",11000,0.00362267506483883,0.16267743608744,0.0153273805113005,0.255701000370508,0.250662393479066,0.0066168951463505,0,0.00413901444979622,0.0026585402000741,0.076181771026306,0.0144573545757688,0.000692478695813264,0.00558021489440534,0,0.024717821415339,0.0708108929233049,0.0384698777324935,0.00264112634309003,0.050201852537977
"last13",12000,0.00324283886209273,0.16048779407422,0.0151625652131115,0.260627276306723,0.23998021458805,0.00734442366374643,0,0.00411541490304164,0.00278757751747219,0.0782745348951668,0.0135398169111133,0.000607589329658431,0.00545201299340486,0,0.0264916330347475,0.0741162023821242,0.0388242937296978,0.00268933950191948,0.0517843783836992
"last14",13000,0.00297504430005907,0.159255426757236,0.0151245200826934,0.264265911104548,0.232781600708801,0.00773567631423509,0,0.00410650472533963,0.00287758417011223,0.0793673213230951,0.0129988186650916,0.000541014471352629,0.00539294152392203,0,0.0275722460129947,0.0762386665682221,0.0391122268163024,0.00271862079149439,0.0527349748966332
"last15",14000,0.00230207512477016,0.156644240872078,0.0150840228526399,0.270741364591542,0.215160099816128,0.00812247176254268,0,0.00385989624376149,0.00313225636984502,0.0827541371158392,0.0118952587339112,0.000607926188599947,0.00543873128447596,0,0.0305232794851589,0.0818651497241923,0.039787037037037,0.00284620436038876,0.0553415090622537
