"","YrBP","Abies","Acer","Alnus","Amaranthaceae","Artemisia","Asteraceae","Corylus","Cupressaceae","Fraxinus","Liquidambar","Lysichiton","Myrica","Picea","Pinus","Poaceae","Polygonaceae","Populus","Pseudotsuga","Quercus","Ranunculaceae","Rosaceae","Salix","Sambucus","Spiraea","Taxus.brevifolia","Tsuga.heterophylla","Tsuga.mertensiana"
"litt1",0,0.0388570023444266,0.0112415321426406,0.477612728843863,0.00274090104039788,0.00211432919069277,0.0191020015228613,0.0161748162177973,0.0700253292159669,0.0148190188351175,0,0.00263405430249413,0.00195924658762734,0.00851932697269214,0.0167275568995137,0.0233034393924973,0.00108033554377207,0.00208781051596502,0.190151814181596,0.0027386779857267,0.000299375388226376,0.00705315257847542,0.0132322098480781,0.000608316826409304,0.0054171300918705,0.0017802162643149,0.0695244330194871,0.000195243755098268
"litt2",1000,0.0371263744989194,0.0121216338839777,0.482585602158396,0.00224031795554874,0.00223105298357478,0.0136908241632343,0.018418352059273,0.0794275452517325,0.0143714477447817,0,0.00201874064547749,0.00190198810506281,0.00859243916045957,0.0174714372979963,0.0175280429674842,0.00112677795741714,0.00181265359708027,0.189121636673183,0.00278319664236813,0.000356251936348806,0.00605074846196963,0.0120814205557384,0.000669388264588184,0.00434730742881245,0.00162053047436523,0.0701046268482132,0.000199661832736095
"litt3",2000,0.0341341791732249,0.0128217601071697,0.493767949976479,0.00186371537377593,0.0022035975708799,0.00959787853360608,0.0219464155204261,0.08768226431378,0.0131963071551665,0,0.00146226091042355,0.00182065210330514,0.00831089023560634,0.0186738593809444,0.0135247494147473,0.00101230833297153,0.00160064020192273,0.181417527903911,0.00286575371092212,0.000416366471725569,0.005067797160844,0.010754470333556,0.000747957214088909,0.00340119192446236,0.00153375090460287,0.0699601169528143,0.000215638843282959
"litt4",3000,0.0303824683199613,0.0132957121503459,0.50300853552266,0.00160014977422214,0.00213832901194848,0.00686425143145741,0.0258005485582057,0.0960797957356256,0.0114041287010233,0,0.00114110307990975,0.0016624214291552,0.00748306683481634,0.0186253184465254,0.0110088541430249,0.00100296657702623,0.00160479698973214,0.175039854509364,0.00293251842646162,0.000509542258503793,0.00411215836172344,0.00972913276862777,0.000829384000368354,0.00297906627160338,0.00143931489522636,0.0691452177513957,0.000181364025853833
"litt5",4000,0.0291677954661821,0.0134762295211703,0.503108611573845,0.00155792562252105,0.00211031786722394,0.00444554077936883,0.0306130239463565,0.100345445314083,0.00954844481337452,0,0.000836301034114725,0.00140507349312496,0.00700311867913259,0.0195954698962869,0.00906153802668847,0.000988505572063723,0.00179869274461203,0.177137276452953,0.00319710432348416,0.000484026644581743,0.00341204779202859,0.00851135309277364,0.000958186405790781,0.00284219904954873,0.00139658674908232,0.0668538556515234,0.000145329687055545
"litt6",5000,0.0295872644848094,0.01289424059634,0.502220072323279,0.00154981874920718,0.00214039097239192,0.00183416816947873,0.0370164216312928,0.097204480510976,0.00729550506094095,0,0.000500183824233605,0.00147759140985159,0.00649979123658379,0.021616602403358,0.00737671129617935,0.000975572405733035,0.00201141506868385,0.185146492562115,0.00366672957110693,0.000420041781098557,0.00267671947961999,0.00744822344448868,0.00121036348074573,0.0028869042589613,0.00129056051090732,0.06294065544442,0.000113079735561016
"litt7",6000,0.0315357405532851,0.01166733897955,0.501867779795084,0.00176672547657375,0.0021141500958012,0.000681093428729158,0.0420090577476398,0.0866120253446411,0.00459815135515409,0,0.000278214049252728,0.00180068963458892,0.0056687101927385,0.0234428825182898,0.00700495091764009,0.00087061197426953,0.00223576025642462,0.198752914093177,0.00469442616004736,0.000339849383572823,0.00209317882321503,0.00668836944817102,0.00177838312133965,0.00372092481735847,0.0011099772822831,0.0565414250914168,0.000126670119243447
"litt8",7000,0.0375364225878701,0.00984445609042434,0.48955274066556,0.00199990035347528,0.00237787288021105,0.00027153028076292,0.0418322252454695,0.0691597575280222,0.002161992521851,0,0.000197447502349168,0.00232191688666194,0.00583447150275934,0.032913350514095,0.00664177718286226,0.000878535895256917,0.00254158921353196,0.220210646040738,0.00591551506622418,0.000259664086080245,0.00199335567361474,0.00732743474996271,0.00256635684739727,0.00514191639686032,0.000817430611510926,0.0490410550994668,0.000660639355209188
"litt9",8000,0.0500001349039179,0.00783866781426202,0.476488778775788,0.00207117175169983,0.00276269323808043,0.000135706010323383,0.037319815683893,0.0473643344990672,0.000833773214572968,0,9.18701915422886e-05,0.00308399483975954,0.0073338286962272,0.0486340565401119,0.00639297060348259,0.000935193334908789,0.00258606650201078,0.233742756008769,0.00685343362452322,0.000163596308478441,0.00249883047734245,0.00847935159693201,0.00348495486465589,0.0066646115905058,0.000572643787106136,0.0419134774402156,0.00175328833279436
"litt10",9000,0.0680959885302994,0.00600501343646906,0.464585962348481,0.00162438895905906,0.00342762276399657,0.000366821175690219,0.0292112453796042,0.0288781940951042,0.000173996686353753,0,3.49427626348042e-05,0.00378033933800435,0.0117187435905028,0.067979512889477,0.00639853386138505,0.00098669620321114,0.00229882102817984,0.227460537100639,0.00704334038715983,0.000190889972193547,0.00286251348591008,0.0101457557167739,0.0041161681083046,0.00731505533022908,0.000358158791868919,0.0408987997900459,0.00404195867706297
