"","YrBP","Amaranthaceae","Artemisia","Asteraceae","Caryophyllaceae","Cupressaceae","Eriogonum","Fabaceae","Picea","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Rosaceae","Sarcobatus.vermiculatus"
"natu1",0,0.247323991624456,0.20819468945001,0.0692086152604232,0.00172854853764779,0.00918354849771832,0.0155958722240199,0.000393108213337482,0.00360900371551545,0.167908769329289,0.244261049401162,0.0283494906077577,0,0.00251476496432275,0.00172854853764779
"natu2",1000,0.226756815001222,0.215391452985999,0.0811055335783687,0.00125289719977448,0.0117510110519639,0.0163053035128735,0.000668872053467393,0.00420332539231348,0.153460624870607,0.258030213900207,0.0272304123698553,0,0.00259064130670927,0.00125289719977448
"natu3",2000,0.212488654452734,0.217301926825244,0.0907398564863513,0.000877731852892127,0.0124264012389186,0.0162518804167471,0.000916872061177916,0.00414250147072764,0.148874091206004,0.266150538147108,0.0257973763338015,0,0.00293295697946107,0.00109921285710524
"natu4",3000,0.200881858262091,0.217684900756605,0.0995509822653384,0.000585154568594751,0.0121430153879575,0.0153886756418854,0.001208962555341,0.00356315959413675,0.150513431239358,0.269806592390942,0.0240569166655841,0,0.00351713796778724,0.00109921285710524
"natu5",4000,0.192125978104961,0.216794768036728,0.106685342931593,0.000290107310704961,0.0113569308429069,0.0142418137524804,0.00140786532697998,0.0030677820718886,0.154954757872759,0.271916959915057,0.0221620968573542,0,0.0039056638202785,0.00108993316631854
"natu6",5000,0.19018479493654,0.207276892887527,0.107635387687271,7.86393601865399e-05,0.00892597123985004,0.0128861375249634,0.00117488895455377,0.00331865910415143,0.176387757506858,0.26652125874049,0.0202910741336869,0.000267915476865399,0.00375551853035845,0.00129510385296269
"natu7",6000,0.201530876125489,0.189619895228525,0.10097434422882,0.00055592488684541,0.0056571211439545,0.010279738706773,0.000703212837506463,0.00490215148556023,0.221588512890834,0.237915947595539,0.0193705982811138,0.00148312657175567,0.00359812620193515,0.00182042364546865
"natu8",7000,0.209316122360639,0.180077738717092,0.0967272149800361,0.00091404778741628,0.00439322519435858,0.00810068937074961,0.000398828671239052,0.00620798716035549,0.252421050991048,0.214855392523442,0.0189481650206723,0.00239761576861154,0.00330454949034003,0.00193737181697579
"natu9",8000,0.214269550776814,0.174446964046041,0.0935194096422866,0.00119009590615016,0.00397754511741214,0.00660903637317435,0.000163465575479233,0.00740199147797809,0.273530069533832,0.198064018433592,0.0188080181105089,0.0031024820090712,0.00298328722535372,0.00193406569911
"natu10",9000,0.216844321867527,0.169121137301792,0.0917515029658508,0.00145512861674684,0.00388706627810964,0.00564698415895755,0,0.00848856727419781,0.291390230017445,0.183882795756304,0.0188923266853095,0.00378127777422424,0.00286484100396469,0.00199382024496485
