"","YrBP","Abies","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Cupressaceae","Fraxinus","Ostrya","Pinus","Poaceae","Quercus","Thalictrum"
"patz1",0,0.00508634130910061,0.0430224028801565,0.0202807708442402,0.00719845100297623,0.0022638324549831,0.00945624953663366,0.00209651843561985,0.00158938111246813,0.000891904654473232,0.686944311109409,0.0766858994536076,0.142500470029679,0.00198346708103397
"patz2",1000,0.00626889610382718,0.045030544265579,0.0209045674746807,0.0062905213994368,0.00242272710369918,0.00854500743693077,0.00181343586000807,0.00136265135730532,0.000921076717298622,0.685439013878154,0.0764121007713734,0.14260805313114,0.00198140434354046
"patz3",2000,0.00758894070675248,0.0477684048412272,0.0214397391399835,0.00528043702335222,0.00250819516467119,0.00783940403282109,0.00152644117391748,0.00122496409739676,0.00101691214474111,0.686210143275089,0.0733718298042142,0.142394844704313,0.00182974370060374
"patz4",3000,0.0090993253919441,0.0520394246056628,0.0211814217533542,0.0043618519355682,0.00262076915801361,0.00719713252963055,0.00132252252796786,0.00125514452234546,0.00124813483452829,0.684882509113947,0.0695520834569814,0.14362996906176,0.00160971091231931
"patz5",4000,0.0106807935047789,0.0597530243347435,0.0199276244460225,0.00352230180801773,0.00293089635707091,0.00639535134487197,0.0012176499108246,0.00127985579005506,0.00174456401095667,0.679496998020593,0.0664477463286328,0.145181318315494,0.0014218756571873
"patz6",5000,0.01253551988005,0.0733149628337694,0.0175015832529114,0.00246638361388274,0.00348431582026914,0.0051962707771947,0.00109095489976134,0.0014068850795497,0.00254634879436122,0.670862087458637,0.0619084476228542,0.146564901294965,0.0011213385099491
"patz7",6000,0.0143230453452634,0.0925883169254243,0.0137740109314898,0.00178919642989809,0.00432018567227381,0.00425916081746944,0.00124365188304105,0.00189076180575282,0.00360689415696875,0.655813224201198,0.0560326342130277,0.149671634102379,0.000687283415694991
"patz8",7000,0.0158065044989576,0.11446987128898,0.00872873329386083,0.00231977553557676,0.00560900753452209,0.00323842729273258,0.00203324959922494,0.00254117552255279,0.0049190866235069,0.635913986170881,0.0523538212781389,0.151724704631086,0.000341656688773883
"patz9",8000,0.0158109663656936,0.137734915474693,0.00380299636739622,0.00385042217277033,0.00793173871894251,0.00230499794009844,0.00633672543850416,0.00294750438559886,0.00595637614887162,0.613140393532675,0.0509187340058199,0.149018486846702,0.000245742569204099
"patz10",9000,0.0149560299113129,0.152173146967842,0.00166152453879836,0.00625168922274065,0.0110023357785514,0.00183530009442969,0.0128824115837341,0.00311909258477496,0.00546472743126839,0.595499944254899,0.0489383628455244,0.145948639109181,0.000266795612482952
"patz11",10000,0.0139268596314745,0.163899243321827,0.00156754933120598,0.00898168054165856,0.0139826654731681,0.00166436150753006,0.022732902614741,0.00268925123777095,0.00411831777725026,0.575241853570417,0.0487803735256256,0.141977701989104,0.000437239380277853
"patz12",11000,0.0125179271470527,0.179642576699382,0.0016158472631186,0.0116246827136516,0.0172705861948812,0.00145160052714979,0.0377984531946323,0.00190431082494711,0.0027486431468868,0.549262948801925,0.04937817218057,0.133998280009499,0.000785971150412743
"patz13",12000,0.010182031359436,0.20148384026872,0.00153402200277657,0.0121816984573102,0.0207954787095445,0.00144586300776573,0.0571815798563124,0.00111886482642082,0.00134340392772234,0.50950186100269,0.0522470080658568,0.129716574824165,0.00126777351509761
"patz14",13000,0.00867105526651776,0.220350480108331,0.00159667070332812,0.0119533853492071,0.0228270466012508,0.00154906959879384,0.0728177996309136,0.000527799409425955,0.000258273712307349,0.474106908559973,0.0555605433674782,0.128340958797632,0.00144000874750949
"patz15",14000,0.00776517824101776,0.230626906446016,0.00149369050020337,0.0107890751448457,0.0218727854737199,0.0019152382976906,0.0886977191789217,0.000122022855787048,0,0.451541894578524,0.0599543173947214,0.123643695873413,0.00157747579034664
"patz16",15000,0.00709505067637987,0.231471981874465,0.00147116299452194,0.00935585531897068,0.0210368485545735,0.00257017733476039,0.10298060664991,0.000125520785895134,0,0.441120038408829,0.0611111715899738,0.119931851274824,0.00172973428223542
"patz17",16000,0.00675679786158192,0.225334706746385,0.00137502481992722,0.00774986413066169,0.0198617781998468,0.00328586182198602,0.112012361180264,0.000284502634875036,0,0.444318251115676,0.0598082439990424,0.11761136884425,0.00160123840926937
"patz18",17000,0.00730448307844001,0.212941336834655,0.00149519168550597,0.0066999168969955,0.0175580594507731,0.00412852154707379,0.116107910982041,0.000448109024858094,9.49667692307692e-05,0.460797647745841,0.0572106563025054,0.113723106825455,0.00149009271305539
