"","YrBP","Abies","Acacia","Acalypha","Alnus","Alternanthera","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae","Begonia","Bignoniaceae","Brassicaceae","Brosimum","Bursera","Buxus","Byrsonima","Caesalpinia","Casearia","Cassia","Cecropia","Celtis","Connarus","Convolvulaceae","Croton","Dodonaea","Eugenia","Euphorbiaceae","Ficus","Gustavia","Hedyosmum","Hieronyma","Hymenaea","Inga","Iresine","Juglans","Lindernia","Liquidambar","Machaerium","Malpighiaceae","Mandevilla","Melastomataceae","Meliaceae","Moraceae","Myrica","Myrsine","Myrtaceae","Olacaceae","Oxalidaceae","Paullinia","Pinus","Poaceae","Portulacaceae","Protium","Psychotria","Quercus","Sapium","Schinus","Spermacoce","Spondias","Trema","Ulmus","Vitex","Vitis","Zanthoxylum"
"pete1",0,0,0.0244607050224715,0.00146650012041414,0.00399880659254944,0.000479980122378321,0.00472120542233171,0.051320379562088,0,0.0364252740842932,0.0160449453406352,0.000863183899527266,0,0.0448308821965843,0.0152606242988881,0,0.0140606804672748,0.0176615587303083,0,0.00212212901634596,0.0251522428950662,0.0133305011556695,0.000261162271755776,0.00222284789310207,0.00204312664198682,0.00196617511029363,0.00462049765806645,0.00227567137772155,0.0469030366987483,0.000935226836673547,0.00196663457623677,0.00195371008725614,0.00283794595335908,0.0049442823119715,0.0015820870538984,0.00070784596940542,0,0.00170338714418403,0.00181894776772754,0.00495215401061988,0.00031938912577402,0.0245153122076037,0.00173046613243225,0.204855369790865,0.00275910585358546,0.00258098431629935,0.00117470689097144,0,0.000516397387242826,0.00363513361675211,0.111398926514781,0.101440403766562,0.00272930681410214,0.00274790726436514,0.000640262168852787,0.134699578377722,0.00566340672814435,0,0.000784870201944204,0.007908402684999,0.0240909283010853,0.00483150327192223,0.00135845337019775,0.0023450728029496,0.00137977596171516
"pete2",1000,0,0.0256125017540358,0.00176247040703633,0.00385913728127402,0.000575231945779737,0.00522105009470609,0.0505690017017886,0,0.0371968289046277,0.0170348530244965,0.00087091440921437,0,0.0452196659508277,0.0166658897352022,0,0.0151172261382668,0.0181092916107467,0,0.00210941610416133,0.0249014669701737,0.0130987485597807,0.00033958364472403,0.00207277490383334,0.00191460350330549,0.00195798340119408,0.00410920322382514,0.00162234505519397,0.0469025354994363,0.00118392227540614,0.00192452955160662,0.00180585805814073,0.00286626558035669,0.00473825636342438,0.00160140413583252,0.000746089529775022,0,0.0018047688346487,0.00217869947704095,0.00494763125667504,0.000200233522267206,0.0236873278988367,0.00152781000650848,0.186013550613181,0.00252428065294932,0.00237470302529083,0.000993103222236458,0,0.000523589567929073,0.00376441420673397,0.111557949435223,0.111672859039615,0.00282684038748527,0.00287005696322964,0.00060918848388254,0.142473131454876,0.00507109223533029,0,0.000717470401117204,0.00835566092994414,0.022609879406037,0.00398980966878491,0.00138274273453595,0.0022386760649567,0.00137548272500384
"pete3",2000,0,0.026502988951791,0.00207369141725102,0.00372481444847437,0.000722078103761963,0.00585674427830949,0.0453474700642945,0,0.0367454924659339,0.0177524678329385,0.000875839304794845,0,0.0463012871805885,0.0173484358930162,0,0.0170650592313086,0.0178683796399365,0,0.00206814855683218,0.0244856854924666,0.0126617884661708,0.000442063638752014,0.0018755980384014,0.00164386625414574,0.00178960926312423,0.00334159593227044,0.00135843423964749,0.0474854874107126,0.00152362261252724,0.0018454176717758,0.00166557838001042,0.00284084004593481,0.00397985780913011,0.00170210424251398,0.000755570406258884,0,0.00193387272673647,0.00253384637712025,0.0045609813897233,0.000139298716952525,0.023229392815787,0.00116884815488487,0.17265924279873,0.0020882883246944,0.00201951273915,0.000902785211574908,0,0.000480391914100256,0.00358112261518052,0.112617713445916,0.121977687352649,0.00302214265900692,0.00295674083310433,0.000599988410215105,0.150381757800104,0.00484482833260684,0,0.00052755948246944,0.00880538792030702,0.0213806143793234,0.0031332805982659,0.00151559748313276,0.0018692558303563,0.00141984553743011
"pete4",3000,0,0.0259418120548921,0.00245036780950295,0.00361144629516322,0.000775148266506824,0.00652112132755441,0.0368604078276927,0,0.0350703776274437,0.018237358838436,0.000808388579537071,0,0.0483363067428762,0.0178683314212468,0,0.0183762173672077,0.017903933757216,0,0.00201620380184895,0.0245450052156953,0.0124009303768443,0.000554873416612874,0.00167440360164607,0.00142204095167835,0.00172154445349963,0.00262764329336499,0.00112795945573589,0.0491169020559987,0.00184392567198451,0.00173603782647086,0.00161700877390723,0.00285359934108724,0.00331546094916544,0.00174633741038823,0.000799321882815382,0,0.00208382326099686,0.00278942635473534,0.00417732365019827,9.09683105864994e-05,0.0235390714411656,0.000845502658474733,0.163146859214035,0.00173849771214497,0.00169729133034397,0.000836174205805054,0,0.000463920151189598,0.00347341079933604,0.1137743162971,0.132053191245896,0.00303095759041866,0.00309025832365824,0.0006196798176872,0.156772376677656,0.00483966575009222,0,0.000381286468876798,0.00904833089044633,0.0206139294658798,0.00238299635379011,0.00159306979089819,0.00162401978308281,0.00141323686181298
"pete5",4000,0,0.0221362756043172,0.0029175512234748,0.00328390742479191,0.000697966188557578,0.00613015293615659,0.0265652424191896,0,0.0283450764652657,0.0162245487599241,0.000750569295550169,3.46428156041343e-05,0.0562913512750617,0.0172057827671728,0,0.0166604678268773,0.0173447196223132,0,0.00224439781318028,0.0220200306499131,0.0128151831729626,0.000545130003132717,0.00155925601733285,0.00119562749540382,0.00160978580936157,0.0018972674147535,0.000802156387908168,0.0529410790874646,0.0019586401503933,0.00143139007701454,0.00161769717424312,0.00316208834151194,0.00247476700555657,0.00149279185134455,0.000681084120803988,1.60416331290588e-05,0.00187935735852465,0.00297847859736577,0.00332485242499771,4.59984780023781e-05,0.0233708902903823,0.000718326728894174,0.221166456969405,0.00143254331930852,0.00130478632175524,0.000812822937642916,0,0.000436361294521174,0.00318693047427513,0.103712282407299,0.124075354012256,0.00250142820890881,0.00276528717266533,0.000495332456141955,0.140142250285512,0.00603993603084698,0,0.000258261248399341,0.0089015822044041,0.0193630109457148,0.00195535857415622,0.00157661311264063,0.00115954470742248,0.00134328521453398
"pete6",5000,0,0.0169962316433441,0.00286581299121345,0.00323085703436709,0.000591309871534616,0.00469348425641137,0.0155064471209124,0,0.0191906804985175,0.0130263907653386,0.000715571481225788,9.18928433354254e-05,0.068794969016794,0.0152263312212219,0,0.0124130096740537,0.0146517671545653,0,0.00265779622899128,0.0171492014678079,0.0124035401443937,0.000415395993702253,0.00140828179126539,0.000939168581145714,0.00129868223124202,0.0011948669781202,0.000386099144198931,0.0549720357135283,0.0019432602933971,0.00109198019451598,0.00149207198692839,0.00393672843900275,0.00155126444387214,0.00109529746806761,0.000460477043976021,5.58463587768087e-05,0.0013218235653256,0.00293548680533253,0.00227944685078018,1.67440950505335e-06,0.020621374897851,0.000703874618737421,0.344051072610081,0.000996074781743026,0.000806386279286688,0.00118226375213712,0.00204185136581037,0.000330362588612115,0.00252410601084251,0.0847064217984072,0.0938729225423421,0.00183050923587335,0.00249333730672842,0.000321297638279914,0.107303890700976,0.00710877179037808,0,0.000172685760058,0.00860868377999005,0.0161631257119484,0.00201557326231956,0.00135453024559049,0.000663794308762741,0.00114190750375484
"pete7",6000,0,0.0122559944690734,0.00284621157367121,0.00373843412866494,0.00039804065212449,0.00312815363093838,0.00561759708797821,6.4025680326905e-05,0.0109494077360066,0.0118738426040295,0.000679916098091094,0.000157526860849796,0.0743294797794763,0.0130621927274812,0,0.00830757117172311,0.0116369733599679,3.05951319967074e-05,0.00301329444012622,0.0118658932310089,0.0117402298255919,0.000294600061480872,0.00143495996529084,0.00107679296056758,0.000993626391776419,0.000798229264052211,0.000230132144010662,0.0503986369321104,0.00175897723253763,0.000787346609595485,0.00149681049020069,0.00409090200778065,0.000775497144128253,0.000808198819045939,0.000332956725658514,8.73991200219504e-05,0.00106382232337723,0.00270481432129978,0.00143051602894716,0,0.0168855591341526,0.000762210563421135,0.445380727104872,0.00097093416292333,0.000432994188283945,0.00168932896148871,0.0137786821507526,0.000233165314989025,0.00198564798504625,0.0766816136050486,0.0646245251369552,0.00128696079874177,0.00226202270433521,0.000191935135740044,0.0809037923043274,0.00841934397216996,2.07836495766698e-05,0.000214331561970837,0.00855962298398793,0.0131982402738123,0.00275926902798683,0.00125967270411963,0.000244195094406554,0.000994842740083098
"pete8",7000,0,0.0099969846649094,0.00269613598301646,0.00499908538235249,0.000219384913007393,0.00179005745094754,0.00182221345114735,0.000243319952277024,0.00670683440094985,0.015554014685305,0.000634344462490202,0.000201256083303875,0.0709483611381277,0.0119232175970828,0,0.00511360068395248,0.0102121743285738,9.35396925287798e-05,0.00306479291837142,0.00766357941847133,0.0135095155122112,0.000389782567219464,0.00159908018263837,0.00156960170010605,0.000860954735241228,0.000992268337826414,9.38822144075742e-05,0.0427677218927501,0.001415887448888,0.000561155159891182,0.00141320088604891,0.00412990633790326,0.00054205994866514,0.000661068685689255,0.000396085820573905,9.74196194457679e-05,0.00119224375333139,0.00255378524931221,0.00106343434611069,1.76580971366214e-05,0.0131930971512073,0.000909010532222615,0.470501049152053,0.00158749830619553,0.000358694714707284,0.00214061031162104,0.0201610612799902,0.000256024378832824,0.00180604410794153,0.0976916134679465,0.04689110927624,0.0010082381893703,0.00236805828639934,0.000124540281972857,0.0744791403227641,0.00853878523598666,5.20425731368059e-05,0.00043475247621536,0.00911652358249697,0.011101408556061,0.00464262746753147,0.00166422828131196,0.000106682561471189,0.00115754981441065
"pete9",8000,0,0.010014101142585,0.00277599977592954,0.00607182952608249,0.000168573075402002,0.0013106817979545,0.0012049314135682,0.000335087050006349,0.00644810134016322,0.0196862167000427,0.000592993640893927,0.000221773672603862,0.0635525009484468,0.0109832544195016,1.73152191529395e-06,0.00382260345575962,0.00955963983836821,0.000122486234575027,0.00314756589542763,0.00472259644444701,0.0170841572365836,0.00111107356797377,0.00205454947678029,0.00199293604414226,0.00079151035564303,0.00135553280064413,1.95832446640271e-05,0.0351445700362927,0.00125524713302705,0.000483788245391266,0.00133593202666544,0.00400844065463067,0.0004897425907606,0.000837380148899329,0.000411243495180598,0.000127037525101294,0.00161540354724169,0.00261645780933637,0.000840275520079881,3.89143447806162e-05,0.0101383284890048,0.00127736454188551,0.449700735717554,0.00246990236981842,0.000330552789850974,0.00233795875804869,0.0221684976400513,0.000290927612693209,0.0018748600952337,0.128461496511214,0.0427831654305487,0.00115696920066029,0.00260232247591453,8.259826186381e-05,0.0773966550832285,0.00830725338774544,8.91944350967921e-05,0.000602529885384802,0.00944503146046936,0.0097978221658567,0.00656069638447864,0.00199396157393021,1.64190340070877e-05,0.0017583130145217
"pete10",9000,0,0.0117223160707507,0.00283032190332161,0.00715556621692896,0.000182775854854402,0.00194797567422251,0.00211945337798279,0.000360370959401564,0.0101072482790428,0.0238427636494982,0.000570631671730448,0.000248113845278736,0.0501616626240057,0.0107015288672976,0.000105067329592394,0.00408294984130168,0.00964211956319769,0.000155799027079848,0.00315047887900693,0.00301779314343871,0.0198112483108251,0.00238773938750725,0.00329288536489093,0.00314878922511351,0.000792248599887345,0.0029377498787765,2.87713964940429e-05,0.0261860229376728,0.00113216587153928,0.000543914373809443,0.00123708851323695,0.00380309269228143,0.000648857105434746,0.00139449359142969,0.000448930820443451,0.000351942311157956,0.00209920402973407,0.00295536438686717,0.000843296535400949,9.16775674137166e-05,0.00858027623978425,0.00150959074004882,0.358049385825334,0.00333632423524391,0.000527589438748165,0.00239932556481071,0.0215847679826238,0.000362021079302222,0.00215086675335404,0.171476374007032,0.0529111254966716,0.00161425502044857,0.00329317234342676,0.000100196128144949,0.112786787364857,0.00955769156675656,0.000111732493411395,0.000793832695541597,0.00961632728529,0.0095670842323422,0.00843311959308538,0.00253199155675417,2.36381991602089e-05,0.00244210444289591
