"","YrBP","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Cercocarpus","Cupressaceae","Pinus","Poaceae","Sarcobatus.vermiculatus"
"ruby1",0,0.129526743893155,0.0174584211255693,0.234405131389718,0.0264732407037154,0.00882611531469298,0.152547290295842,0.382791255005187,0.0375245581678686,0.0104472442826417
"ruby2",1000,0.151976875300382,0.0155264391496582,0.24374610185467,0.0303571120052624,0.00638352314123182,0.145644659821309,0.354724157995344,0.0417263069189987,0.0099148239335235
"ruby3",2000,0.169799624489089,0.0137164435680754,0.263262402162484,0.0338298155870497,0.00449061514201529,0.134352706553286,0.326020198118002,0.0445487965835196,0.00997939784619874
"ruby4",3000,0.189552435025475,0.0122972788354485,0.281132503566161,0.0368533005384301,0.00302588444007916,0.121212641318364,0.29786257453558,0.0479497200202243,0.0101136616721372
"ruby5",4000,0.208652186356681,0.0112631532795427,0.299799235177924,0.0397145150115605,0.00181212201439606,0.106926289350612,0.269681179607573,0.0516557688171495,0.010495550247992
"ruby6",5000,0.229752502956759,0.0106156975434945,0.322209400406007,0.0422473523697837,0.000709817554976341,0.0888267253799022,0.240662674345323,0.0538493783047157,0.011126450968562
"ruby7",6000,0.253234857623385,0.0111070710876826,0.335740195819839,0.0416333390419745,0.000374097783253925,0.0714984214800594,0.218029125113755,0.0565654038081856,0.0118174880833086
"ruby8",7000,0.285387554212836,0.0121824161344083,0.334138642813647,0.0390348969614276,0.00038822631267087,0.0548757967313322,0.201097480867024,0.0607028537496885,0.0121921321569864
"ruby9",8000,0.30245215732958,0.0137523844904471,0.341344652449714,0.035382332858891,0.000545875278631513,0.0376434786064947,0.193477616777208,0.0622437979554416,0.0131577043416871
"ruby10",9000,0.302908195402931,0.0153818657407962,0.358548152003019,0.030893888629246,0.000827152671460829,0.0199247879309592,0.196937698020567,0.0597544737881406,0.014823786070268
"ruby11",10000,0.277718456472842,0.0156527973397198,0.386213495328428,0.0273830088033614,0.00124280441857912,0.00799004787458832,0.212905781183726,0.0537850171156882,0.0171085918431701
"ruby12",11000,0.22446869513495,0.0141886400516618,0.423631913392962,0.029228896845287,0.00151564801327456,0.00605923204643618,0.23614076125239,0.045619602535242,0.0191466110737778
"ruby13",12000,0.167711361252663,0.0129946932071906,0.463907255594335,0.0333232104002079,0.00156115159480783,0.00554166085498311,0.256746642556044,0.037622849284955,0.0205911754733896
"ruby14",13000,0.126396542050844,0.0120379411421722,0.49067227794249,0.037533253868282,0.00164007430289069,0.00522375295593807,0.272488398552411,0.0328202054528509,0.021187553879087
"ruby15",14000,0.0934757119747976,0.0111749377838388,0.509388265525107,0.0427763003780365,0.00168303418712568,0.00587624180619041,0.283214821033587,0.0314762357386565,0.0209344516777347
"ruby16",15000,0.0701487223063742,0.0111652930005585,0.520476618898535,0.0485632641075572,0.00166474656987282,0.00699871068616252,0.288000738608078,0.0333027159655269,0.019679189892519
"ruby17",16000,0.0596530686765946,0.0112211368434381,0.519363036783191,0.0542549636924521,0.00180947224890521,0.008457444199864,0.29058346015988,0.0369628248455324,0.0176945925791378
"ruby18",17000,0.0564207388522724,0.0109696507715607,0.51498309849504,0.0576892689105967,0.00202439941798601,0.0105351035049311,0.289770498120424,0.0420979582723362,0.0155092837302391
"ruby19",18000,0.0554828093493247,0.0100002707687064,0.512830956084203,0.0609842692991423,0.00223715039873904,0.0126865732096908,0.286061842202074,0.046147746577738,0.0135683821855277
"ruby20",19000,0.0555883991879839,0.0089074443670555,0.512494590719624,0.062263680083686,0.0023545130195451,0.0132295982007157,0.28512233990895,0.0472272566044527,0.0128121779739169
"ruby21",20000,0.0554813790995314,0.00745670602190118,0.511390282288336,0.063355663103436,0.00215723781360926,0.0128302459306758,0.288632260008129,0.0459043359501988,0.0127918899231861
"ruby22",21000,0.0558245206438974,0.00669538811192788,0.513633734348336,0.0636577444367892,0.00160696445429958,0.0120365346226422,0.29014436811335,0.0429164253166436,0.0134843201288488
"ruby23",22000,0.0584333518796746,0.00636855720995012,0.511722676809234,0.065571733524959,0.00144561415353711,0.011284064945261,0.29060882622833,0.039462153134119,0.0151030223495263
"ruby24",23000,0.0620208064118523,0.00691008732605987,0.505390245087099,0.066032277592372,0.00131197799951375,0.010496766658441,0.293973852409421,0.0375245363727397,0.0163394504145874
"ruby25",24000,0.065272289600081,0.00725659471939115,0.498015512831698,0.0667292793027462,0.00151024105315855,0.0105918324693116,0.298181324854646,0.0365055630271436,0.0159373624088897
"ruby26",25000,0.068531255217458,0.00747327396411944,0.490349509068053,0.0646612816813962,0.00186578810845019,0.0111997595185536,0.302535069452619,0.0381804014769578,0.0152036616934679
"ruby27",26000,0.0726556317106635,0.00725219251585046,0.481922832211119,0.0620660273596358,0.00222880472638985,0.0119750824329701,0.306321174552462,0.041716512476176,0.013861742139909
"ruby28",27000,0.0745693387464112,0.0072527428205611,0.475628246333279,0.0582595642865018,0.00209945133175045,0.0123462816790295,0.312240662343704,0.0457461670852028,0.0118575454569347
"ruby29",28000,0.075872149349004,0.00685396180503558,0.471997058299791,0.0546107553981595,0.00199741665965534,0.0128660132786145,0.316482975775485,0.0495297528291561,0.00978991670752479
"ruby30",29000,0.0731385337277265,0.00640611804116773,0.47707317142239,0.0503032780751844,0.00141188834061527,0.012906856082027,0.317696096181805,0.0525679509429317,0.00849610733166942
"ruby31",30000,0.0683855821252222,0.00622335480015552,0.484149263328455,0.0471901071982615,0.000899729125138858,0.0127058418756665,0.321585712355116,0.0511942767743835,0.00766613260247723
"ruby32",31000,0.0620110490998965,0.00646084448317812,0.490081075973572,0.0443484437442739,0.000550811575775373,0.0123245631197807,0.329836670336801,0.046939799186453,0.00744674266409374
"ruby33",32000,0.0551753337968179,0.00637492209011143,0.497266986573133,0.0419398872216958,0.000463580922464976,0.0120788275123278,0.337952797032552,0.041275867484572,0.00747179749360943
"ruby34",33000,0.0476357630508522,0.00649754679289303,0.502605551059389,0.0395123755453201,0.000419021789379604,0.0118935905381083,0.348716623176626,0.0350935668409714,0.00762596122242426
"ruby35",34000,0.042390889457261,0.00690857616936824,0.500094715567847,0.0374198836531773,0.000649706457925636,0.0120509003877709,0.364093194265923,0.0284612787117749,0.0079308552193627
"ruby36",35000,0.0383718497307846,0.00726114730415711,0.495904838607018,0.0358958675760642,0.000917356195793042,0.0122139153126807,0.377530867611405,0.0237982339277241,0.00810592354984548
"ruby37",36000,0.034209246208257,0.00730129939072039,0.494092443614164,0.0344274086786477,0.00109920634920635,0.0123982551121032,0.388595305863401,0.0197740193125763,0.00810281519162088
