"","YrBP","Abies","Alnus","Amaranthaceae","Ambrosia","Arceuthobium","Artemisia","Asteraceae","Betula","Cupressaceae","Ericaceae","Picea","Pinus","Poaceae","Pseudotsuga","Ranunculaceae","Rosaceae","Sarcobatus.vermiculatus"
"star1",0,0.0657262371965621,0.0319769099760891,0.00545018391796167,0.00303070845693395,0,0.0173332276787307,0.00396833381356036,0.00154271807397299,0.149362510305627,0.000106686840383715,0.10768512585458,0.565845733549746,0.0165137035534125,0.028607277682295,0,0.00285064273139982,0
"star2",1000,0.0609302672185277,0.0295380880503391,0.0047019387307196,0.00273528939598015,0,0.0174750209234243,0.00341749856456576,0.00151489606117452,0.125620626304698,0.000128800466104218,0.109214605168122,0.597090338951663,0.0149700539049297,0.0301989674270141,0,0.00246360847330025,0
"star3",2000,0.0566098683474894,0.0270576619746635,0.00381043417632598,0.00251356139003442,0,0.0174129330250907,0.00273852415026735,0.00133586435538688,0.100347104084552,0.000158775723311413,0.106511601018699,0.634908542126944,0.0133646128836734,0.031164320579697,0,0.00206619584252658,0
"star4",3000,0.0533447713444904,0.0236493286165218,0.0028590566298173,0.002099364938822,0,0.0165040363561434,0.0022080030481769,0.00116305726164908,0.0789628918364093,0.000302708415446361,0.1009325702548,0.671062461340074,0.0123712914769653,0.0328551202253111,0,0.00168533796152356,0
"star5",4000,0.0501234433787105,0.0203426082126541,0.00205949553089603,0.00175421926848175,0,0.0160376938685952,0.00176033481036113,0.00106530600845666,0.0597797002586328,0.000429850997335808,0.095315814365338,0.703768756500645,0.0116486023984084,0.0345712197254679,0,0.00134295439816772,0
"star6",5000,0.0461207703430799,0.0163383013173104,0.00118841178056252,0.00131825737448322,0,0.0155021424725275,0.00126143252858642,0.000876589235610393,0.0377383162881349,0.000652955469314311,0.0886884889395497,0.742028098920099,0.01047923195101,0.0368164758708738,0,0.000990527228134439,0
"star7",6000,0.0442171929784091,0.0126785451274716,0.000421016011647727,0.000914274596107955,0,0.0146402217492614,0.000942697899829545,0.000606257562329545,0.0213163832658239,0.00102146418107955,0.0803359901908807,0.775367030215426,0.00974636728980114,0.0371203723363636,0,0.000672186268181818,0
"star8",7000,0.0426120624893335,0.00990609678883934,4.32491707042706e-05,0.000984395017877948,0,0.0139404411057009,0.000995619545377847,0.000501039999116146,0.0149262258472942,0.00168378192929171,0.0718438419547226,0.793439431614399,0.0106210545335663,0.0379355532131694,0,0.000567206384556667,0
"star9",8000,0.0386985885413892,0.0103828320736148,0.000206769859368318,0.0056781374455373,0,0.01352653944737,0.0017337542090537,0.00058960732714277,0.0107649324482253,0.00223306637412182,0.0640407550759973,0.793849704054738,0.0196565243569552,0.0374234986542244,0,0.00121528971775918,0
"star10",9000,0.0326341627874076,0.0137559370297743,0.000596185646501043,0.0155548007523232,0,0.011699563247582,0.00323747653479992,0.000704137619761047,0.00684135387929073,0.00298069708685758,0.0547675312900626,0.780938769701877,0.0381810202135407,0.0354415974793287,0,0.00266676638156647,0
"star11",10000,0.0240901469918078,0.021978627120426,0.00125479680884762,0.0326247127072638,0,0.00881383523170399,0.00569594900819224,0.00125479680884762,0.00313353565060076,0.00359309113571819,0.0446504878021573,0.74596878455325,0.0707610231084107,0.0311068339160295,0,0.00507337906335336,0
"star12",11000,0.00990714689998191,0.0330656353277265,0.00218717486489419,0.0568665389524326,0,0.0046407122825104,0.0089151444268403,0.00218717486489419,0.000332892948453608,0.00383381578549466,0.0239680643758365,0.695836734053355,0.117434129685296,0.0320761380866341,0,0.00874869795261349,0
"star13",12000,0.00340503776655263,0.0398250908599316,0.00282389458080097,0.0734212493725096,0,0.00058114318575166,0.0112955763775408,0.00282389458080097,0,0.00304182326866573,0.016257847244516,0.653337351109076,0.149811679135842,0.032079837086134,0,0.0112955763775408,0
"star14",13000,0.002902758,0.040638607,0.002902758,0.075471698,0,0,0.01161103,0.002902758,0,0.002902758,0.015965167,0.647314949,0.153846154,0.031930334,0,0.01161103,0
"star15",14000,0.002902758,0.040638607,0.002902758,0.075471698,0,0,0.01161103,0.002902758,0,0.002902758,0.015965167,0.647314949,0.153846154,0.031930334,0,0.01161103,0
"star16",15000,0.002902758,0.040638607,0.002902758,0.075471698,0,0,0.01161103,0.002902758,0,0.002902758,0.015965167,0.647314949,0.153846154,0.031930334,0,0.01161103,0
"star17",16000,0.002902758,0.040638607,0.002902758,0.075471698,0,0,0.01161103,0.002902758,0,0.002902758,0.015965167,0.647314949,0.153846154,0.031930334,0,0.01161103,0
"star18",17000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"star19",18000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"star20",19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"star21",20000,0,0.008474576,0.002824859,0.005649718,0,0.257062147,0.008474576,0,0,0,0.163841808,0.279661017,0.211864407,0.059322034,0,0,0.002824859
"star22",21000,0.000863709621980676,0.00931266708091787,0.00368002910829308,0.00390521972866345,0.00345483817914654,0.256285052489533,0.00585782890177134,0,0,0,0.158596114365942,0.316818826968196,0.186176367214976,0.0513693185410628,0,0,0.00368002910829308
"star23",22000,0.00165991822916667,0.00900861502646396,0.00427220460529279,0.0028810592728979,0.00371070364808559,0.265787330268769,0.00676239584684685,0,0,0,0.146898543186374,0.326527037407845,0.177561689050676,0.0516346226876877,0,0,0.00329588162631381
"star24",23000,0.00248229175858299,0.00820539317614258,0.00408319474491581,0.00392997681314236,0.00389002274010496,0.265941555968729,0.00722806211764706,0,0,0.00022577869330855,0.139452566738246,0.346273016497813,0.165316990462279,0.0501305952302646,0,0,0.00284055568609228
"star25",24000,0.002976222429355,0.00823222613719364,0.00360532473352774,0.00510701226876345,0.0040293449268208,0.261213988258696,0.0069885210697077,0,0,0.00033950086294522,0.137415705254114,0.366373055968548,0.15128162700604,0.0500491506770812,0,0,0.00238832099597306
"star26",25000,0.00368120700241906,0.00851166050079778,0.0033403446256112,0.00653379627850121,0.00433123884816511,0.25607288847249,0.00672208992655309,0,0,0.000397070869782284,0.13311694698353,0.390410232748829,0.134419492357301,0.0504676947998353,0,0,0.00199533709913017
"star27",26000,0.0043562288604247,0.00830528325333785,0.00299053329067944,0.00783037362569406,0.00428749029877506,0.250486238983173,0.00721915231530539,0,0,0.000446723559064129,0.127943570802145,0.414911192964651,0.118570637702285,0.0512557564537787,0,0,0.00139681823824863
