"","YrBP","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Ericaceae","Fabaceae","Liliaceae","Picea","Pinus","Plantago","Poaceae","Polygonaceae","Populus","Ranunculaceae","Rosaceae","Rumex","Salix","Saxifragaceae"
"tita1",0,0.197333472564078,0.00158900247078779,0,0.0839284086508669,0.0426902462538635,0.230866252110724,0.037957470375424,0.00824557892254052,0.0436405392856201,0.00242874915454203,0.000511550292122126,0.0246457806507727,0.00321299177035432,0.000575320002355824,0.238493515601677,0.00321299177035432,0,0.00154260609178289,0.0119017447741236,0.00167949356652846,0.0627153057794007,0.00282898089869959
"tita2",1000,0.201048493329011,0.00158049670016859,0,0.0823422072567112,0.0407304606112048,0.232566901266956,0.0371245304852808,0.00829396673622098,0.0426825232264946,0.0024319297703281,0.000660775301517313,0.023922790009467,0.00298766817254571,0.000984148999157049,0.237725947512968,0.00298766817254571,0,0.00248232938957334,0.0121500239283491,0.00170286634210868,0.0626206334367138,0.00297364026630787
"tita3",2000,0.205761308803758,0.00134297329007385,0,0.0801956215512055,0.0390377253875977,0.234104778076835,0.0371526755352954,0.00811251246340139,0.0414359948700586,0.00228510023447003,0.000881033284100782,0.0238255247996308,0.00278597284931581,0.00131677866339053,0.236953319271666,0.00271686298506733,0,0.00326861597773675,0.0123917975192767,0.00202247384057341,0.061286951705202,0.00312197964503692
"tita4",3000,0.203983742087872,0.001325604450529,0,0.0765592632456407,0.0380489215267437,0.231793430871816,0.0403506511239224,0.00874890294465125,0.0394105249893711,0.00223914788900862,0.00132482464537618,0.023306434455623,0.00265283865561324,0.00163215350044083,0.239125991986824,0.00229364325690635,0,0.00407208074951019,0.0127862853837676,0.00273881337147335,0.0637714290530466,0.00383531644274099
"tita5",4000,0.203531871595396,0.0018155170992795,0,0.0750684438688594,0.0370618438104239,0.231135099164639,0.0414900953055114,0.00876731000786002,0.0372248528136521,0.00195811782081033,0.00170940383456536,0.0208435984197623,0.00260507619505006,0.00192107057476373,0.241121997080331,0.00197842983685786,0,0.00486976561158417,0.0128928411432114,0.00290871993122485,0.0659585959834846,0.00513735042121269
"tita6",5000,0.198141185381861,0.00272699782288699,0,0.0755901614078348,0.0372532843906933,0.228267542412868,0.0440104915823362,0.0086039142662868,0.0334753010148623,0.00173968323703704,0.00179655738651472,0.0173837836953466,0.00232720639093067,0.00186400541951567,0.24819107473528,0.00140343880973409,0,0.00535547571253561,0.0127399631808642,0.0036402746348528,0.068321591558547,0.00716806720052232
"tita7",6000,0.191136805256184,0.0036299189040404,0,0.074711331256442,0.0389240093043187,0.222501753754999,0.0485443100118017,0.00839346484833024,0.030169110525974,0.00126421871918161,0.00201681094413523,0.0151991036791383,0.00220142901710987,0.0015555403079262,0.257139022088951,0.000951957616831581,0,0.00513731929014636,0.0122745213582766,0.004697865791074,0.0702495546249227,0.00930195267553082
"tita8",7000,0.180931232468571,0.00494042652140902,0,0.0753751599336295,0.0415875487470688,0.214809959629978,0.0511102135996591,0.00832665957042508,0.0283245155375755,0.000826462787407675,0.00195689510045969,0.0145593457199525,0.00195689510045969,0.00109041134936212,0.267617260007799,0.000786611874851506,0,0.00447201944661949,0.0117642992469397,0.00519393020866691,0.0731894194579825,0.0111807335192914
"tita9",8000,0.176612662139516,0.00672607556287518,0,0.0777670892626268,0.0452192337547092,0.207958719175895,0.0486065051224384,0.00825041996227489,0.0290512554987063,0.000411093243376113,0.00140058657834817,0.0177531510472469,0.00178421434754709,0.000750894150900435,0.274166200410215,0.000805719753104947,0,0.00375064712518112,0.0106984568930346,0.00474827212264541,0.0715148409675533,0.0120239626060857
"tita10",9000,0.160065283302207,0.00763468248424707,0,0.0784639523572909,0.0497605349133589,0.203226605417815,0.0465372182846927,0.00852555771846824,0.0313680428793139,0.000188290021504819,0.00106859081873769,0.0235468557975438,0.0026413094202508,0.000744593132552596,0.284945754310965,0.000858976640532698,0,0.00284511984386983,0.0110554259882371,0.00451629966328117,0.0698559753393616,0.0121509313412789
