"","YrBP","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Arecaceae","Artemisia","Asteraceae","Carya","Celtis","Ceratiola.ericoides","Combretaceae","Cupressaceae","Ericaceae","Eugenia","Fraxinus","Ilex","Iva","Liquidambar","Myrica","Ostrya","Pinus","Poaceae","Polygonaceae","Quercus","Rhus","Rumex","Sabal","Serenoa","Taxodium","Ulmus","Vitis"
"tula1",0,0.00217576513396379,0.0311695413961288,0.0141685666764185,0.000332857538972159,0.00351548233857965,0.000178711204134839,0.0210642489270102,0.00401769378188675,0.000391336483462567,6.54298283820445e-05,6.99988193581283e-05,0.00921956169946896,0.00184941047264926,0.00204827231498086,0.00391962035974448,0.00176567368429762,0.00401495430896812,0.00251994368242164,0.0574968701991611,0.00232361766927058,0.622365420340773,0.0843473888029458,0.000468215568564447,0.107157793825438,0.00171663735498239,0.000292493883410617,0.00204122286430454,0.0027701202492448,0.0125969405983395,0.00191457616801993,0.00202163361674331
"tula2",1000,0.00183974512462307,0.0313505463059377,0.0119807459872777,0.000364131283855667,0.00275688504296968,0.000206417963162799,0.0178326651295612,0.00408499299057259,0.000402970244714552,0.000176039853184821,0.000212877895942741,0.00807463795151618,0.00195564577025241,0.00153891679734881,0.00358042244340166,0.00143884879207183,0.00448163286791462,0.0023487360126207,0.0479862449863036,0.00221563134092834,0.646341187100195,0.0861462058157886,0.000397935697086227,0.10312620810443,0.00122605752318313,0.000256527826554294,0.00148473676138404,0.00201479247060817,0.0106730037597323,0.00185158878754023,0.00165302117259021
"tula3",2000,0.00150729643503177,0.0329616989101865,0.0103728673804632,0.000390727301086288,0.00219573897083829,0.000242963633785612,0.0155057640213404,0.00429119912783767,0.000432052988325477,0.000325206314630047,0.000440049312424677,0.0070016830758926,0.00216514480074605,0.00113004355068662,0.00333028273167452,0.00119961064442714,0.00515693004124616,0.00220978238479197,0.0402622110271039,0.00196547914990777,0.644898052487862,0.096545394559877,0.000374945981168272,0.109825225235556,0.000907240157302726,0.000226874615314614,0.00108394711251486,0.00147084751858987,0.00838817439100635,0.001782647659463,0.00140991826026645
"tula4",3000,0.00124114759657733,0.0348527400476752,0.00901422075409389,0.000426492274815955,0.00171282565561597,0.000379604211382701,0.0138251398946735,0.00449508822175977,0.000469333544956615,0.000472450458122825,0.000683907717990665,0.00571826083668543,0.00230185861121269,0.000753737887496191,0.00310996030569857,0.000951566785818538,0.00666881560762001,0.00205926250627917,0.0327297314138078,0.0016876289599352,0.623572922267975,0.113348221681863,0.000369175374007602,0.127547023252883,0.000614066666562415,0.000188039793765738,0.000714854095887665,0.000969918146882869,0.00623455352874144,0.0017132068189145,0.00117424478443921
"tula5",4000,0.00103354642130781,0.0361165845249378,0.00831774699581124,0.000474000920167232,0.00124620692527799,0.000582717658445471,0.012796729751075,0.00475632004296853,0.000512472266880211,0.000640939828380215,0.000943629036363492,0.00417961524088131,0.00234129462588922,0.000402980319641055,0.0027590103562112,0.000706943437657476,0.00941131568095507,0.00170250882326946,0.0249359872232202,0.00132380955063467,0.584053364814852,0.134642384755351,0.00040902844977864,0.157639732462265,0.000337684914810075,0.000142180559997774,0.000370592179735004,0.000496666322876014,0.00412384547065089,0.00169719592089053,0.000902964175546247
"tula6",5000,0.000857633796130134,0.0359247598023282,0.00866362274340177,0.000484253485210938,0.00084092234297653,0.000889733537832579,0.0124690837474982,0.00507910639038526,0.000532733611043156,0.000765289076338322,0.00115320878274076,0.00255279349150747,0.00240269459461634,6.3950070033576e-05,0.00225056787882246,0.000420929544104488,0.0131581250494611,0.00130709951251508,0.0166075528129346,0.000920153934686774,0.525105416601323,0.158885786956614,0.000513344857141684,0.203545140223293,7.45043114938471e-05,8.07757857946196e-05,4.22838729692233e-05,3.44103365486442e-05,0.00195626430037845,0.00172359788846018,0.000694260265456068
"tula7",6000,0.000902845936395615,0.0353000112560864,0.0124084403105776,0.000484269862410013,0.000881197541737565,0.00133885383580661,0.0145465275210897,0.00545064739994274,0.000526990332460733,0.000754135164626963,0.00115935836492147,0.00174572266943717,0.00227413508008835,1.96304880562827e-05,0.00192681742370746,0.000319971170083442,0.0163002091254254,0.00110444959791394,0.0135983547377291,0.000668994743447317,0.44742977540225,0.177343028997374,0.00067577493633017,0.25909540578332,8.3962763203534e-05,5.44249032477094e-05,3.33516755562827e-05,0,0.00101690527869764,0.00183449462402651,0.000721312680153796
"tula8",7000,0.00110375011599785,0.0345842106385309,0.0179758699804138,0.00048355934591913,0.000920346400842627,0.00197370309022859,0.0168858597987988,0.00595263712895886,0.000508310151439621,0.000667274693373964,0.000993181696557935,0.00136924229305396,0.00197608162979103,2.69230930748635e-05,0.00167723748133437,0.000244516910454841,0.0187710102321324,0.00103868656901418,0.0114130301598659,0.000601502085726002,0.38794823241107,0.183939574199272,0.000782252622490412,0.304305907094876,7.6887605621799e-05,7.90267149863716e-05,4.9009140408288e-05,0,0.00082182606694379,0.00210431757354088,0.000726032769990271
"tula9",8000,0.00127236415771035,0.0350023541544007,0.0274206184885816,0.000448769606373962,0.000931110415534513,0.00273738917783482,0.0192623369720857,0.00696725678083452,0.000562041259382139,0.00061983097773634,0.000819206319230862,0.00144517727642296,0.00170205630186714,5.43861108743209e-05,0.00153652688663131,0.000201478704929811,0.019990336226253,0.00101865961680349,0.00945839686077543,0.000746801399155628,0.337909907340502,0.182287051017089,0.000904653795445556,0.342139753658982,7.15365491649109e-05,0.000195684977324647,6.69936310431954e-05,0,0.000777674765940958,0.00266878301685516,0.000780863440397485
"tula10",9000,0.00139999148465483,0.0364867735473566,0.042183443006977,0.00040551152791195,0.000985026325984824,0.0034998166803481,0.0224501034175192,0.00868949924827227,0.000641387908259229,0.000560697151123331,0.000634146261152808,0.00228079659853195,0.00144463299840645,8.12795348889054e-05,0.00156920895619793,0.000189647452808534,0.0191597123205932,0.0012406917689348,0.0079338571816568,0.0011970859240544,0.295747269891704,0.172112483018355,0.00100179338445088,0.372087469222511,6.73834367408949e-05,0.000423085820762428,0.000101459028345429,0,0.000986163409667005,0.0035055046460413,0.000934078920982884
"tula11",10000,0.00150704952363726,0.0397888782575997,0.0595605565985462,0.000375343651571125,0.000985564919989079,0.00417729685194823,0.0256338892586064,0.0119003942786305,0.000928695284133471,0.000512881483768311,0.000467528535530548,0.00515459308713495,0.0011982029069952,0.00010858269956232,0.00184811204918564,0.000242791615362302,0.0165233672188313,0.00163039882187375,0.00699664634619355,0.00201399063751077,0.268467122370228,0.154193313677576,0.00100306297795391,0.386628799470902,5.37584848774412e-05,0.000688023021192912,0.000122790454487283,0,0.00137959799749166,0.00487596179870147,0.0010328060185054
"tula12",11000,0.00158967081977739,0.0428999272522283,0.0751943200084165,0.000348178689095827,0.00100000884235732,0.00450375568661257,0.0281726115938894,0.0158639916447519,0.00141903452551993,0.000520429913680103,0.000381091544969181,0.00953313233983415,0.00105069711775088,0.000141741906194847,0.00237353511566671,0.00032575568820008,0.0137597567118443,0.00202664706691499,0.00692817879156578,0.00320022626891934,0.263521907806332,0.134385698863997,0.00098988522725378,0.37847476859671,3.38006921200834e-05,0.000995561410926345,0.000137111980666046,0,0.00217210576963328,0.00694997170031484,0.00110649684186954
"tula13",12000,0.00150738509320224,0.044852100583499,0.0921514747266626,0.000331448091922595,0.00107266367299124,0.00443259932090514,0.0308170377237443,0.0210214135435171,0.0021174923593773,0.000561278578739505,0.000353741856799602,0.0156129500241015,0.000962917770999043,0.000176583606228826,0.00308292730644241,0.000471048169271984,0.0109623071492028,0.00231104133549676,0.00743350721438172,0.00466547071744734,0.26319465667393,0.112962781613888,0.00124890803986228,0.362124724003369,2.49806860362351e-05,0.00144864224547982,0.00015215768504198,0,0.00330717707650243,0.00943613427753535,0.00120244928602335
"tula14",13000,0.0013597115525313,0.0453756590006876,0.106816206274284,0.000367628890993133,0.00115344121622783,0.00384052635866067,0.0340819563127238,0.0266013364910753,0.00272590361617435,0.000626269288485231,0.000309257583397798,0.0217901522796035,0.00103750665199744,0.000167134575776676,0.0038154200670143,0.000711737424194673,0.00909539291642552,0.00250197399111824,0.0079579621463962,0.00603916275132988,0.268528140057006,0.0948993288856163,0.00196121014567993,0.338632549897602,1.54314055143302e-05,0.00215896353751826,0.000164508504331051,2.11358565166318e-06,0.00449527360958466,0.0114798506122683,0.00128829073882856
"tula15",14000,0.00132684218637812,0.0454685276921273,0.113848695672891,0.000441907045241347,0.00114509306066813,0.00317329320512973,0.0360426469536108,0.032021551155574,0.00337778038347286,0.000735402304468721,0.000250944162599695,0.0282182713704111,0.00136130104553821,0.00014555896767203,0.00455533982645609,0.000986329994181559,0.00868976301930575,0.00243087197696372,0.0084672831429674,0.00725646780052049,0.284061339399889,0.0838433112030121,0.00301133678558847,0.306182888334907,9.17878464841972e-06,0.00304592536256407,0.000125458715193255,1.84117580003562e-05,0.00542548513675315,0.0131321319091215,0.00120066191133804
"tula16",15000,0.00138796559499116,0.0456510134963573,0.12027822777075,0.000580101748147997,0.00111377526843573,0.00254312719437604,0.0381379262288616,0.0357032939190943,0.00369856306707062,0.000852232213136195,0.000218871428080967,0.0336282699813625,0.00174238335134417,0.000115244203940041,0.00517354337600008,0.00127047692768758,0.00956842183972125,0.00206337473367938,0.00890479800458786,0.00801339094283058,0.293673154185578,0.0815012106097868,0.00447947955638775,0.273612768274096,1.65995134110579e-05,0.00434196816271062,9.27184321579286e-05,3.57628152492669e-05,0.00676689987583149,0.0136790512283098,0.00115538614523792
"tula17",16000,0.00145585663967121,0.0478729717414257,0.132946186306359,0.000837148277704761,0.0010123973596612,0.00215075970911044,0.04199701246394,0.0384479362922456,0.00362426670941294,0.000950815449607794,0.000172759682980765,0.0396164700333688,0.00215709475933575,7.40868225789627e-05,0.00554393409553761,0.00166201009828097,0.0108960976826678,0.00163772383554471,0.00825493217867276,0.00814122858260316,0.276733975737566,0.0851347361121959,0.00632303199171778,0.255181048683774,2.96200148016022e-05,0.00590028383099679,6.24572829306964e-05,5.3608539241457e-05,0.00739122821405474,0.0125987599685296,0.00113956089627404
"tula18",17000,0.00158502435065933,0.0500480282665685,0.143465720393558,0.00109940893539026,0.000903731928007511,0.00189706621607349,0.045903158484605,0.0386983498822707,0.00312499955557334,0.00104959027450604,0.000135587567554304,0.0427934794900781,0.00271156365435497,3.15214814791107e-05,0.00569243470837067,0.00198041826025264,0.0122777787347971,0.00122892390330944,0.00720530586954295,0.00784492861729185,0.260781091923655,0.0932237705491401,0.00786511002255366,0.242089259742713,4.32582104190671e-05,0.00744733291042547,3.09524474032348e-05,7.23198847778774e-05,0.00734720696592412,0.0103018550481159,0.0011208215939487
"tula19",18000,0.00179135189301717,0.0511056284822786,0.149858405295874,0.00127345077850095,0.000780994012199509,0.00182741271133279,0.0475654176736768,0.0372273603419569,0.00260137579210684,0.00105070843587899,0.000121413276925593,0.0458850890349632,0.0032284969680894,1.35895740092668e-05,0.00564388403328427,0.00207256246650313,0.0130477637884328,0.0009323869508858,0.00631974290215317,0.00745008542093213,0.258416056468836,0.0988127142532243,0.00857358413845734,0.2296716091426,5.74515734968656e-05,0.00844095229296266,0,8.69491257563369e-05,0.00690327013412919,0.00821201374697193,0.00102827903512674
