"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Amaranthaceae","Chenopodium","Chenopodium strictum","plant flowering begin","8/23/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",13376
"2","Amaranthaceae","Amaranthus","Amaranthus graecizans","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15275
"3","Amaranthaceae","Amaranthus","Amaranthus graecizans","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15276
"4","Amaranthaceae","Salsola","Salsola kali","plant flowering begin","7/1/1936","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15597
"5","Amaranthaceae","Chenopodium","Chenopodium glaucum","plant flowering begin","8/18/1929","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101258
"6","Amaranthaceae","Chenopodium","Chenopodium glaucum","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102765
"7","Amaranthaceae","Amaranthus","Amaranthus graecizans","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3104364
"8","Amaranthaceae","Amaranthus","Amaranthus retroflexus","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3109200
"9","Amaranthaceae","Amaranthus","Amaranthus tuberculatus","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110121
"10","Amaranthaceae","Amaranthus","Amaranthus graecizans","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3110135
"11","Amaranthaceae","Chenopodium","Chenopodium album","plant flowering begin","6/6/1911","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111217
"12","Amaranthaceae","Kochia","Kochia scoparia","plant flowering begin","8/1/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111234
"13","Amaranthaceae","Salsola","Salsola kali","plant flowering begin","7/5/1923","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111307
"14","Amaranthaceae","Salsola","Salsola kali","plant flowering begin","7/6/1921","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3111333
"15","Amaranthaceae","Amaranthus","Amaranthus graecizans","plant flowering begin","6/19/1957","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3112243
"16","Amaranthaceae","Chenopodium","Chenopodium glaucum","whole plant height","0.45","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3117972
"17","Amaranthaceae","Froelichia","Froelichia floridana","whole plant height","0.5","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3117976
"18","Amaranthaceae","Amaranthus","Amaranthus retroflexus","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3124859
"19","Amaranthaceae","Chenopodium","Chenopodium hybridum","whole plant height","1.3","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3126518
"20","Amaranthaceae","Chenopodium","Chenopodium capitatum","whole plant height","0.6","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3139542
"21","Amaranthaceae","Chenopodium","Chenopodium leptophyllum","whole plant height","0.7","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3139586
"22","Amaranthaceae","Amaranthus","Amaranthus blitoides","whole plant height","1","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3139631
"23","Amaranthaceae","Amaranthus","Amaranthus fimbriatus","seed mass","0.193","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",3147673
"24","Amaranthaceae","Monolepis","Monolepis nuttalliana","plant flowering begin","5/20/1943","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3150009
"25","Amaranthaceae","Monolepis","Monolepis nuttalliana","plant flowering begin","5/24/1938","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3150064
"26","Amaranthaceae","Amaranthus","Amaranthus retroflexus","whole plant height","2","m","Maximum height",NA,NA,NA,NA,NA,NA,"United States","Indiana",NA,"public",3152522
"27","Amaranthaceae","Amaranthus","Amaranthus graecizans","plant flowering begin","6/25/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3152524
"28","Amaranthaceae","Atriplex","Atriplex hastata","plant flowering begin","8/14/1924","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3153195
"29","Amaranthaceae","Atriplex","Atriplex hastata","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3153227
"30","Amaranthaceae","Chenopodium","Chenopodium album","plant flowering begin","6/25/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3153228
"31","Amaranthaceae","Chenopodium","Chenopodium strictum","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3154287
"32","Amaranthaceae","Chenopodium","Chenopodium strictum","plant flowering begin","8/16/1940","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3154407
"33","Amaranthaceae","Monolepis","Monolepis nuttalliana","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3154931
"34","Amaranthaceae","Monolepis","Monolepis nuttalliana","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3154924
"35","Amaranthaceae","Chenopodium","Chenopodium strictum","plant flowering begin","8/19/1959","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3155762
"36","Amaranthaceae","Chenopodium","Chenopodium glaucum","plant flowering begin","5/30/1955","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3155185
"37","Amaranthaceae","Chenopodium","Chenopodium strictum","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3155611
"38","Amaranthaceae","Chenopodium","Chenopodium strictum","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3155751
"39","Amaranthaceae","Chenopodium","Chenopodium strictum","plant flowering begin","8/25/1936","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3155754
"40","Amaranthaceae","Chenopodium","Chenopodium strictum","plant flowering begin","8/20/1933","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3155758
"41","Amaranthaceae","Chenopodium","Chenopodium strictum","plant flowering begin","8/19/1957","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3155776
