"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Asteraceae","Solidago","Solidago missouriensis","plant flowering begin","7/25/1958","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",79
"2","Asteraceae","Psilocarphus","Psilocarphus tenellus","seed mass","0.143","mg","data compilation",NA,NA,NA,"http://ucjeps.berkeley.edu/EFT.html","D.D. Ackerly","dackerly@berkeley.edu","United States","California",NA,"public",81
"3","Asteraceae","Cirsium","Cirsium arvense","plant flowering begin","7/24/1924","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",13586
"4","Asteraceae","Helianthus","Helianthus praecox","leaf fresh mass","1.538","g",NA,NA,NA,3,"http://datadryad.org/resource/doi:10.5061/dryad.110s9","Mason CM","chasemason.evolution@gmail.com","United States","Georgia","University of Georgia Plant Biology greenhouses","public",13699
"5","Asteraceae","Achillea","Achillea millefolium","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15367
"6","Asteraceae","Cirsium","Cirsium altissimum","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15411
"7","Asteraceae","Taraxacum","Taraxacum officinale","plant flowering begin","5/2/1913","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15412
"8","Asteraceae","Ambrosia","Ambrosia trifida","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15415
"9","Asteraceae","Bidens","Bidens frondosa","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15417
"10","Asteraceae","Agoseris","Agoseris aurantiaca","leaf phosphorus content per leaf dry mass","1.34331","mg.g-1",NA,38.89702,-106.9792,2815,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","United States","Colorado","Approximately 1 mile north on Washington Gulch Road from Rte 135 north of Crested Butte CO.","public",15414
"11","Asteraceae","Coreopsis","Coreopsis tinctoria","plant flowering begin","8/1/1924","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15425
"12","Asteraceae","Lactuca","Lactuca pulchella","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15426
"13","Asteraceae","Erigeron","Erigeron philadelphicus","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15428
"14","Asteraceae","Solidago","Solidago gigantea","plant flowering begin","7/31/1961","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15430
"15","Asteraceae","Helianthus","Helianthus tuberosus","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15432
"16","Asteraceae","Lactuca","Lactuca canadensis","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15436
"17","Asteraceae","Iva","Iva axillaris","plant flowering begin","6/1/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15437
"18","Asteraceae","Wyethia","Wyethia arizonica","leaf phosphorus content per leaf dry mass","2.77342","mg.g-1",NA,38.65511,-106.86,2468,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","United States","Colorado","Several hundred meters up Forest Service Access road directly across the street from Almont Campground ~2.5 miles south of Almont on Rt. 135","public",15453
"19","Asteraceae","Cirsium","Cirsium arvense","plant flowering begin","6/27/1923","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",15635
"20","Asteraceae","Eupatorium",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,19.613,-100,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",276089
"21","Asteraceae","Liabum",NA,"diameter at breast height (1.3 m)","3","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",262772
"22","Asteraceae","Mikania",NA,"diameter at breast height (1.3 m)","4.69","cm",NA,17.487,-96.373,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",411515
"23","Asteraceae","Lasianthaea",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",478654
"24","Asteraceae","Senecio",NA,"diameter at breast height (1.3 m)","2.59","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",748153
"25","Asteraceae","Liabum",NA,"diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",977302
"26","Asteraceae","Senecio",NA,"diameter at breast height (1.3 m)","2.7","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",990829
"27","Asteraceae",NA,NA,"diameter at breast height (1.3 m)","2.5","cm",NA,17.385,-96.4369,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1031830
"28","Asteraceae","Mikania",NA,"diameter at breast height (1.3 m)","3.5","cm",NA,17.5833,-96.35,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1517840
"29","Asteraceae","Mikania",NA,"diameter at breast height (1.3 m)","5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",1517978
"30","Asteraceae","Mikania",NA,"diameter at breast height (1.3 m)","2.7","cm",NA,10.2131,-84.1014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Costa Rica",NA,NA,"public",1599161
"31","Asteraceae","Senecio",NA,"diameter at breast height (1.3 m)","2.7","cm",NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1599179
"32","Asteraceae",NA,NA,"whole plant growth form","tree",NA,NA,15.3333,-92.2,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1760470
"33","Asteraceae","Neomirandea",NA,"whole plant growth form","liana",NA,NA,17.487,-96.373,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1777951
"34","Asteraceae",NA,NA,"whole plant growth form","tree",NA,NA,17.487,-96.373,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1783274
"35","Asteraceae",NA,NA,"whole plant growth form","tree",NA,NA,17.385,-96.4369,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1783343
"36","Asteraceae","Liabum",NA,"whole plant growth form","liana",NA,NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1796349
"37","Asteraceae","Mikania",NA,"whole plant growth form","liana",NA,NA,17.487,-96.373,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1800212
"38","Asteraceae","Lasianthaea",NA,"whole plant growth form","liana",NA,NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1809232
"39","Asteraceae","Mikania",NA,"whole plant growth form","liana",NA,NA,17.487,-96.373,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1819996
"40","Asteraceae","Mikania",NA,"whole plant growth form","liana",NA,NA,17.5833,-96.35,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1832677
"41","Asteraceae","Lasianthaea",NA,"whole plant growth form","tree",NA,NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1876647
"42","Asteraceae","Liabum",NA,"whole plant growth form","hemiepiphyte",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",1876763
"43","Asteraceae","Senecio",NA,"whole plant growth form","tree",NA,NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1880393
"44","Asteraceae","Mikania",NA,"whole plant growth form","liana",NA,NA,17.5711,-96.3589,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1884065
"45","Asteraceae","Liabum",NA,"whole plant growth form","liana",NA,NA,17.5931,-96.4764,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1911346
"46","Asteraceae","Mikania",NA,"whole plant growth form","liana",NA,NA,17.6639,-96.3014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1928128
"47","Asteraceae","Eupatorium",NA,"whole plant growth form","tree",NA,NA,13,-85.9167,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",1937299
"48","Asteraceae","Lasianthaea",NA,"whole plant growth form","tree",NA,NA,19.5,-105.05,NA,NA,"James S. MIller",NA,"Mexico",NA,NA,"public",1955950
"49","Asteraceae","Liabum",NA,"whole plant growth form","hemiepiphyte",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"Nicaragua",NA,NA,"public",1956972
"50","Asteraceae","Mikania",NA,"whole plant growth form","liana",NA,NA,17.5833,-96.35,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1968368
"51","Asteraceae","Symphyotrichum","Symphyotrichum novae-angliae","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101367
"52","Asteraceae","Cirsium","Cirsium vulgare","plant flowering begin","7/19/1910","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3101373
"53","Asteraceae","Lactuca","Lactuca pulchella","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102302
"54","Asteraceae","Arctium","Arctium minus","plant flowering begin","7/22/1921","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102547
"55","Asteraceae","Erigeron","Erigeron glabellus","plant flowering begin","6/5/1956","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102556
"56","Asteraceae","Symphyotrichum","Symphyotrichum ericoides","plant flowering begin","8/24/1917","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102567
"57","Asteraceae","Tanacetum","Tanacetum coccineum","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102568
"58","Asteraceae","Cirsium","Cirsium altissimum","plant flowering begin","7","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102569
"59","Asteraceae","Bidens","Bidens frondosa","plant flowering begin","8","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102576
"60","Asteraceae","Sonchus","Sonchus arvensis","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102577
"61","Asteraceae","Bidens","Bidens frondosa","plant flowering begin","8/13/1911","date","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102578
"62","Asteraceae","Erigeron","Erigeron philadelphicus","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Steven Travers","steven.travers@ndsu.edu","United States","North Dakota",NA,"public",3102580
