"","scrubbed_family","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"1","Bignoniaceae","Tabebuia","Tabebuia rosea","diameter at breast height (1.3 m)","47","cm","Measured at 1.3m from the ground",NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.56cn4","Auspurger CK","carolaug@illinois.edu","Panama","Panama",NA,"public",15160
"2","Bignoniaceae",NA,NA,"leaf phosphorus content per leaf dry mass","1.27876982","mg.g-1",NA,10.54316,-85.16853,431,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Alajuela","Area de Concervacion Guanacaste Sector Rincon Rainforest (Caribe)","public",15235
"3","Bignoniaceae",NA,NA,"diameter at breast height (1.3 m)","4.09","cm",NA,17.6639,-96.3014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",328263
"4","Bignoniaceae",NA,NA,"diameter at breast height (1.3 m)","5.09","cm",NA,17.6167,-96.2833,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1558677
"5","Bignoniaceae",NA,NA,"diameter at breast height (1.3 m)","7.3","cm",NA,17.6167,-96.2833,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1679482
"6","Bignoniaceae",NA,NA,"whole plant growth form","liana",NA,NA,17.6639,-96.3014,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1869056
"7","Bignoniaceae",NA,NA,"whole plant growth form","liana",NA,NA,17.6167,-96.2833,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1971882
"8","Bignoniaceae",NA,NA,"whole plant growth form","liana",NA,NA,17.6167,-96.2833,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","Mexico",NA,NA,"public",1975624
"9","Bignoniaceae","Jacaranda","Jacaranda copaia","leaf area","170","mm2","Area of dry blade calculated on photographies",NA,NA,NA,NA,"Dana Royer","droyer@wesleyan.edu","Panama",NA,NA,"public",3101486
"10","Bignoniaceae","Tabebuia","Tabebuia ochracea","leaf phosphorus content per leaf dry mass","1.75843687","mg.g-1",NA,10.92575,-85.72903,3,NA,"Cyrille Violle/Brian Enquist ","cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu","Costa Rica","Guanacaste","Area de Concervacion Guanacaste","public",3102627
